GRIDCODE,CVENTMUN,Fur,Frur,Fpob,Suma de Pob_Urb_Cel,Suma de POB  RURAL en CELL,Promedio de POB_TOTxMUN rur,
6305496,02002,,0.000111438,0.000111438,,11,98710,
6305497,02002,,9.11762E-05,9.11762E-05,,9,98710,
6305498,02002,,6.07841E-05,6.07841E-05,,6,98710,
6305500,02002,,0.000131699,0.000131699,,13,98710,
6305501,02002,,6.07841E-05,6.07841E-05,,6,98710,
6305502,02002,0.000100127,3.03921E-05,9.27795E-05,83.91825854,3,98710,838116
6305503,02002,0.001965379,0.000131699,0.001772171,1647.21548,13,98710,838116
6305504,02002,0.004097988,,0.004097988,3434.589188,,,838116
6305505,02002,0.003864497,,0.003864497,3238.896434,,,838116
6305506,02002,1.45003E-05,1.01307E-05,1.40399E-05,12.15297259,1,98710,838116
6305510,02002,,4.05227E-05,4.05227E-05,,4,98710,
6305511,02002,,0.000212744,0.000212744,,21,98710,
6305512,02002,,0.000496404,0.000496404,,49,98710,
6305513,02002,,0.000263398,0.000263398,,26,98710,
6305513,26055,,0.002415459,0.002415459,,26,10764,
6305514,26055,,0.009661836,0.009661836,,104,10764,
6305515,26055,,0.000557414,0.000557414,,6,10764,
6305517,26055,,0.001579339,0.001579339,,17,10764,
6305518,26055,,0.002601263,0.002601263,,28,10764,
6305522,26055,,0.003530286,0.003530286,,38,10764,
6308670,02002,,0.015266944,0.015266944,,1507,98710,
6308674,02002,,9.11762E-05,9.11762E-05,,9,98710,
6308675,02002,,0.000263398,0.000263398,,26,98710,
6308676,02002,,6.07841E-05,6.07841E-05,,6,98710,
6308677,02002,,0.000111438,0.000111438,,11,98710,
6308679,02002,,5.06534E-05,5.06534E-05,,5,98710,
6308681,02002,0.000293673,,0.000293673,246.1319666,,,838116
6308682,02002,0.003441669,,0.003441669,2884.517717,,,838116
6308683,02002,0.000766916,,0.000766916,642.7644515,,,838116
6308684,02002,6.95521E-05,,6.95521E-05,58.29271751,,,838116
6308690,02002,,1.01307E-05,1.01307E-05,,1,98710,
6308691,02002,,0.000334313,0.000334313,,33,98710,
6308692,26055,,9.29023E-05,9.29023E-05,,1,10764,
6308695,26055,,0.002415459,0.002415459,,26,10764,
6308696,26055,,0.001672241,0.001672241,,18,10764,
6308698,26055,,0.000371609,0.000371609,,4,10764,
6311802,02002,,5.06534E-05,5.06534E-05,,5,98710,
6311839,02002,,0.000982677,0.000982677,,97,98710,
6311842,02002,,0.008621214,0.008621214,,851,98710,
6311846,02002,,6.07841E-05,6.07841E-05,,6,98710,
6311854,02002,,6.07841E-05,6.07841E-05,,6,98710,
6311856,02002,,0.000253267,0.000253267,,25,98710,
6311857,02002,,5.06534E-05,5.06534E-05,,5,98710,
6311858,02002,,2.02614E-05,2.02614E-05,,2,98710,
6311860,02002,,1.01307E-05,1.01307E-05,,1,98710,
6311861,02002,,3.03921E-05,3.03921E-05,,3,98710,
6311862,02002,,7.09148E-05,7.09148E-05,,7,98710,
6311863,02002,,0.000162091,0.000162091,,16,98710,
6311865,02002,,9.11762E-05,9.11762E-05,,9,98710,
6311866,02002,,0.002289535,0.002289535,,226,98710,
6311867,02002,,0.000192483,0.000192483,,19,98710,
6311868,02002,,2.02614E-05,2.02614E-05,,2,98710,
6311869,02002,,1.01307E-05,1.01307E-05,,1,98710,
6311872,26055,,0.00083612,0.00083612,,9,10764,
6311873,26055,,0.001765143,0.001765143,,19,10764,
6311874,26055,,0.000929023,0.000929023,,10,10764,
6311875,26055,,0.000371609,0.000371609,,4,10764,
6311876,26055,,0.000371609,0.000371609,,4,10764,
6311877,26055,,0.007525084,0.007525084,,81,10764,
6311878,26055,,0.000743218,0.000743218,,8,10764,
6311879,26055,,0.011148272,0.011148272,,120,10764,
6311880,26055,,0.09466741,0.09466741,,1019,10764,
6315017,02002,,2.02614E-05,2.02614E-05,,2,98710,
