month,iday,Day_type,cday
11,21,7,dom
11,22,1,lun
11,23,2,mar
11,24,3,mie
11,25,4,jue
11,26,5,vie
11,27,6,sab
11,28,7,dom
11,29,1,lun
11,30,2,mar
12,1,3,mie
12,2,4,jue
12,3,5,vie
12,4,6,sab
12,5,7,dom
12,6,1,lun
12,7,2,mar
12,8,3,mie
12,9,4,jue
12,10,5,vie
12,11,6,sab
12,12,7,dom
12,13,1,lun
12,14,2,mar
12,15,3,mie
12,16,4,jue
12,17,5,vie
12,18,6,sab
12,19,7,dom
12,20,1,lun
12,21,2,mar
12,22,3,mie
12,23,4,jue
12,24,5,vie
12,25,6,sab
12,26,7,dom
12,27,1,lun
12,28,2,mar
12,29,3,mie
12,30,4,jue
12,31,5,vie
