GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Suma de POB  en CELL (rur+urb),Promedio de POBTOT en MUN Rur,Promedio de POBTOT en MUN URB,Pot Tot
3783607,19031,,0.000626006,0.000626006,7,11182,,11182
3783608,19009,0,,0,0,,68113,68113
3783609,19009,0,,0,0,,68113,68113
3786743,19048,,0.034539474,0.034539474,21,608,,608
3786745,19048,,0.172697368,0.172697368,105,608,,608
3786750,19019,0.000203867,,0.000203867,25,,122629,122629
3786751,19019,0.004403526,0.40625,0.00450836,553,32,122629,122661
3786752,19019,0.015396032,0.1875,0.015440931,1894,32,122629,122661
3786753,19019,0.020345921,,0.020345921,2495,,122629,122629
3786754,19019,0.015396032,,0.015396032,1888,,122629,122629
3786755,19019,0.008676577,,0.008676577,1064,,122629,122629
3786756,19019,0.010136265,,0.010136265,1243,,122629,122629
3786757,19019,0.019318432,,0.019318432,2369,,122629,122629
3786758,19019,0.017247144,,0.017247144,2115,,122629,122629
3786758,19039,8.80662E-07,,8.80662E-07,1,,1135510,1135510
3786759,19019,0.002014205,,0.002014205,247,,122629,122629
3786759,19039,0.001746352,,0.001746352,1983,,1135510,1135510
3786760,19039,0.006095939,,0.006095939,6922,,1135510,1135510
3786761,19039,0.011098978,,0.011098978,12603,,1135510,1135510
3786762,19039,0.009859006,,0.009859006,11195,,1135510,1135510
3786763,19026,8.85546E-05,,8.85546E-05,60,,677548,677548
3786763,19039,0.003385263,,0.003385263,3844,,1135510,1135510
3786764,19026,0.003905258,,0.003905258,2646,,677548,677548
3786764,19039,0.000198149,,0.000198149,225,,1135510,1135510
3786769,19026,0.000572653,,0.000572653,388,,677548,677548
3786770,19026,0.002635976,,0.002635976,1786,,677548,677548
3786771,19026,0.008952871,,0.008952871,6066,,677548,677548
3786771,19031,0.000117988,,0.000117988,29,,245788,245788
3786772,19026,0.008414164,,0.008414164,5701,,677548,677548
3786772,19031,0.010631113,,0.010631113,2613,,245788,245788
3786773,19031,0.02015965,,0.02015965,4955,,245788,245788
3786774,19031,0.005630869,0.003040601,0.005518154,1418,11182,245788,256970
3786775,19031,0.004613732,0.15981041,0.011367086,2921,11182,245788,256970
3786776,19031,0.015297736,,0.015297736,3760,,245788,245788
3786777,19031,0.000821846,,0.000821846,202,,245788,245788
3786778,19031,0.015810373,,0.015810373,3886,,245788,245788
3786779,19031,0.002412648,0.000715436,0.002338794,601,11182,245788,256970
3786780,19031,0.027845135,0.000804865,0.026668483,6853,11182,245788,256970
3786781,19031,0.019313392,0.000536577,0.018496323,4753,11182,245788,256970
3786782,19031,0.022413625,,0.022413625,5509,,245788,245788
3786783,19031,,0.000626006,0.000626006,7,11182,,11182
3786788,19009,,5.45435E-05,5.45435E-05,1,18334,,18334
3789905,19048,,0.003289474,0.003289474,2,608,,608
3789917,19048,,0.003289474,0.003289474,2,608,,608
3789923,19048,0.000696856,0.011513158,0.000721308,194,608,268348,268956
3789924,19048,0.000327932,,0.000327932,88,,268348,268348
3789927,19019,0.000839932,,0.000839932,103,,122629,122629
3789928,19019,0.010788639,,0.010788639,1323,,122629,122629
3789929,19019,0.01950599,,0.01950599,2392,,122629,122629
3789930,19019,0.035374993,,0.035374993,4338,,122629,122629
3789931,19019,0.026086815,,0.026086815,3199,,122629,122629
3789932,19019,0.017997374,,0.017997374,2207,,122629,122629
3789933,19019,0.007551232,,0.007551232,926,,122629,122629
3789934,19019,0.005357623,,0.005357623,657,,122629,122629
3789935,19019,0.012346182,,0.012346182,1514,,122629,122629
3789936,19019,0.010601081,,0.010601081,1300,,122629,122629
3789937,19019,0.017271608,,0.017271608,2118,,122629,122629
3789937,19039,0.0039665,,0.0039665,4504,,1135510,1135510
3789938,19039,0.010945742,,0.010945742,12429,,1135510,1135510
3789939,19039,0.005738391,,0.005738391,6516,,1135510,1135510
3789940,19039,0.004130303,,0.004130303,4690,,1135510,1135510
3789941,19026,0.002193203,,0.002193203,1486,,677548,677548
3789941,19039,0.003615116,,0.003615116,4105,,1135510,1135510
3789942,19026,0.005695537,,0.005695537,3859,,677548,677548
3789942,19039,0.000128577,,0.000128577,146,,1135510,1135510
3789943,19026,0.00016235,,0.00016235,110,,677548,677548
3789946,19026,0.001064131,,0.001064131,721,,677548,677548
3789947,19026,0.013993105,,0.013993105,9481,,677548,677548
3789948,19026,0.013888315,,0.013888315,9410,,677548,677548
3789949,19026,0.013858797,,0.013858797,9390,,677548,677548
3789950,19026,0.018831138,,0.018831138,12759,,677548,677548
3789950,19031,0,,0,0,,245788,245788
3789951,19026,0.005258668,,0.005258668,3563,,677548,677548
3789951,19031,0.006794473,,0.006794473,1670,,245788,245788
3789952,19026,0.00059184,,0.00059184,401,,677548,677548
3789952,19031,0.01181506,,0.01181506,2904,,245788,245788
3789953,19031,0.011050173,,0.011050173,2716,,245788,245788
3789954,19031,0.012494507,,0.012494507,3071,,245788,245788
3789955,19031,0.003856982,0.002235736,0.003786434,973,11182,245788,256970
3789956,19031,0.007331521,0.005365766,0.007245982,1862,11182,245788,256970
3789957,19031,0.024504858,,0.024504858,6023,,245788,245788
3789958,19031,0.028911094,,0.028911094,7106,,245788,245788
3789959,19031,0.011721484,,0.011721484,2881,,245788,245788
3789960,19031,0.015484889,,0.015484889,3806,,245788,245788
3789961,19031,0.001537911,,0.001537911,378,,245788,245788
3789962,19031,,0.026471114,0.026471114,296,11182,,11182
3789963,19031,,0.213825791,0.213825791,2391,11182,,11182
3793091,19048,,0.001644737,0.001644737,1,608,,608
3793100,19048,0.000331659,,0.000331659,89,,268348,268348
3793101,19048,0.014507282,,0.014507282,3893,,268348,268348
3793102,19048,0.001881885,,0.001881885,505,,268348,268348
