GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
3688238,-100.3493813,25.35473911,6,12,2665321.774,1479649.062,14
3688239,-100.339398,25.35463439,6,0,2666321.774,1479649.062,14
3688240,-100.3294146,25.35452904,6,14,2667321.774,1479649.062,14
3688241,-100.3194312,25.35442305,6,0,2668321.774,1479649.062,14
3688242,-100.3094479,25.35431643,6,0,2669321.774,1479649.062,14
3688243,-100.2994646,25.35420918,6,125,2670321.774,1479649.062,14
3688244,-100.2894813,25.3541013,6,0,2671321.774,1479649.062,14
3688245,-100.279498,25.35399279,6,0,2672321.774,1479649.062,14
3688246,-100.2695147,25.35388365,6,0,2673321.774,1479649.062,14
3688247,-100.2595314,25.35377387,6,0,2674321.774,1479649.062,14
3688248,-100.2495482,25.35366347,6,0,2675321.774,1479649.062,14
3688249,-100.239565,25.35355243,6,0,2676321.774,1479649.062,14
3688250,-100.2295818,25.35344076,6,0,2677321.774,1479649.062,14
3688251,-100.2195986,25.35332846,6,0,2678321.774,1479649.062,14
3688252,-100.2096154,25.35321553,6,0,2679321.774,1479649.062,14
3688253,-100.1996322,25.35310196,6,0,2680321.774,1479649.062,14
3688254,-100.1896491,25.35298777,6,0,2681321.774,1479649.062,14
3688255,-100.179666,25.35287294,6,0,2682321.774,1479649.062,14
3688256,-100.1696829,25.35275748,6,2,2683321.774,1479649.062,14
3688257,-100.1596998,25.35264139,6,354,2684321.774,1479649.062,14
3688258,-100.1497167,25.35252467,6,0,2685321.774,1479649.062,14
3688259,-100.1397337,25.35240732,6,0,2686321.774,1479649.062,14
3688260,-100.1297507,25.35228934,6,8,2687321.774,1479649.062,14
3688261,-100.1197676,25.35217072,6,9,2688321.774,1479649.062,14
3688262,-100.1097846,25.35205148,6,2,2689321.774,1479649.062,14
3688263,-100.0998017,25.3519316,6,22,2690321.774,1479649.062,14
3688264,-100.0898187,25.35181109,6,112,2691321.774,1479649.062,14
3688265,-100.0798358,25.35168995,6,47,2692321.774,1479649.062,14
3688266,-100.0698529,25.35156818,6,0,2693321.774,1479649.062,14
3688267,-100.05987,25.35144577,6,0,2694321.774,1479649.062,14
3688268,-100.0498871,25.35132274,6,0,2695321.774,1479649.062,14
3688269,-100.0399042,25.35119907,6,0,2696321.774,1479649.062,14
3688270,-100.0299214,25.35107477,6,0,2697321.774,1479649.062,14
3688271,-100.0199385,25.35094984,6,4,2698321.774,1479649.062,14
3688272,-100.0099557,25.35082428,6,139,2699321.774,1479649.062,14
3688273,-99.99997294,25.35069809,6,0,2700321.774,1479649.062,14
3688274,-99.98999017,25.35057127,6,215,2701321.774,1479649.062,14
3688275,-99.98000743,25.35044381,6,0,2702321.774,1479649.062,14
3688276,-99.9700247,25.35031573,6,0,2703321.774,1479649.062,14
3688277,-99.96004199,25.35018701,6,0,2704321.774,1479649.062,14
3688278,-99.9500593,25.35005766,6,0,2705321.774,1479649.062,14
3688279,-99.94007663,25.34992768,6,0,2706321.774,1479649.062,14
3688280,-99.93009398,25.34979707,6,0,2707321.774,1479649.062,14
3688281,-99.92011135,25.34966583,6,0,2708321.774,1479649.062,14
3688282,-99.91012874,25.34953395,6,0,2709321.774,1479649.062,14
3688283,-99.90014615,25.34940144,6,0,2710321.774,1479649.062,14
3691384,-100.668765,25.36682838,6,0,2633321.774,1480649.062,14
3691385,-100.6587805,25.36674386,6,0,2634321.774,1480649.062,14
3691386,-100.648796,25.36665871,6,2,2635321.774,1480649.062,14
3691387,-100.6388114,25.36657293,6,33,2636321.774,1480649.062,14
3691388,-100.6288269,25.36648651,6,0,2637321.774,1480649.062,14
3691389,-100.6188424,25.36639946,6,217,2638321.774,1480649.062,14
3691390,-100.6088579,25.36631178,6,79,2639321.774,1480649.062,14
3691391,-100.5988735,25.36622347,6,0,2640321.774,1480649.062,14
3691392,-100.588889,25.36613453,6,0,2641321.774,1480649.062,14
3691393,-100.5789046,25.36604496,6,0,2642321.774,1480649.062,14
3691394,-100.5689202,25.36595475,6,0,2643321.774,1480649.062,14
3691395,-100.5589357,25.36586392,6,0,2644321.774,1480649.062,14
3691396,-100.5489513,25.36577245,6,0,2645321.774,1480649.062,14
3691397,-100.538967,25.36568035,6,0,2646321.774,1480649.062,14
3691398,-100.5289826,25.36558762,6,0,2647321.774,1480649.062,14
3691399,-100.5189982,25.36549426,6,0,2648321.774,1480649.062,14
3691400,-100.5090139,25.36540026,6,0,2649321.774,1480649.062,14
3691401,-100.4990296,25.36530564,6,0,2650321.774,1480649.062,14
3691402,-100.4890452,25.36521038,6,0,2651321.774,1480649.062,14
3691403,-100.4790609,25.36511449,6,27,2652321.774,1480649.062,14
3691404,-100.4690767,25.36501797,6,16,2653321.774,1480649.062,14
3691405,-100.4590924,25.36492082,6,1,2654321.774,1480649.062,14
3691406,-100.4491081,25.36482304,6,14,2655321.774,1480649.062,14
3691407,-100.4391239,25.36472462,6,0,2656321.774,1480649.062,14
3691408,-100.4291397,25.36462558,6,34,2657321.774,1480649.062,14
3691409,-100.4191555,25.3645259,6,0,2658321.774,1480649.062,14
3691410,-100.4091713,25.36442559,6,65,2659321.774,1480649.062,14
3691411,-100.3991871,25.36432465,6,0,2660321.774,1480649.062,14
3691412,-100.3892029,25.36422308,6,0,2661321.774,1480649.062,14
3691413,-100.3792188,25.36412087,6,4,2662321.774,1480649.062,14
3691414,-100.3692347,25.36401804,6,7,2663321.774,1480649.062,14
3691415,-100.3592505,25.36391457,6,0,2664321.774,1480649.062,14
3691416,-100.3492664,25.36381047,6,0,2665321.774,1480649.062,14
3691417,-100.3392824,25.36370574,6,0,2666321.774,1480649.062,14
3691418,-100.3292983,25.36360038,6,0,2667321.774,1480649.062,14
3691419,-100.3193142,25.36349439,6,0,2668321.774,1480649.062,14
3691420,-100.3093302,25.36338776,6,0,2669321.774,1480649.062,14
3691421,-100.2993462,25.36328051,6,0,2670321.774,1480649.062,14
3691422,-100.2893622,25.36317262,6,0,2671321.774,1480649.062,14
3691423,-100.2793782,25.3630641,6,0,2672321.774,1480649.062,14
3691424,-100.2693942,25.36295495,6,0,2673321.774,1480649.062,14
3691425,-100.2594103,25.36284517,6,0,2674321.774,1480649.062,14
3691426,-100.2494263,25.36273476,6,0,2675321.774,1480649.062,14
3691427,-100.2394424,25.36262371,6,0,2676321.774,1480649.062,14
3691428,-100.2294585,25.36251204,6,0,2677321.774,1480649.062,14
3691429,-100.2194746,25.36239973,6,0,2678321.774,1480649.062,14
3691430,-100.2094908,25.36228679,6,0,2679321.774,1480649.062,14
3691431,-100.1995069,25.36217322,6,0,2680321.774,1480649.062,14
3691432,-100.1895231,25.36205902,6,0,2681321.774,1480649.062,14
3691433,-100.1795393,25.36194418,6,0,2682321.774,1480649.062,14
3691434,-100.1695555,25.36182872,6,1,2683321.774,1480649.062,14
3691435,-100.1595717,25.36171262,6,80,2684321.774,1480649.062,14
3691436,-100.1495879,25.36159589,6,0,2685321.774,1480649.062,14
3691437,-100.1396042,25.36147853,6,0,2686321.774,1480649.062,14
3691438,-100.1296205,25.36136054,6,9,2687321.774,1480649.062,14
3691439,-100.1196367,25.36124192,6,52,2688321.774,1480649.062,14
3691440,-100.1096531,25.36112267,6,792,2689321.774,1480649.062,14
3691441,-100.0996694,25.36100278,6,733,2690321.774,1480649.062,14
3691442,-100.0896857,25.36088226,6,37,2691321.774,1480649.062,14
3691443,-100.0797021,25.36076111,6,24,2692321.774,1480649.062,14
3691444,-100.0697185,25.36063933,6,0,2693321.774,1480649.062,14
3691445,-100.0597349,25.36051692,6,0,2694321.774,1480649.062,14
3691446,-100.0497513,25.36039388,6,0,2695321.774,1480649.062,14
3691447,-100.0397678,25.36027021,6,0,2696321.774,1480649.062,14
3691448,-100.0297842,25.3601459,6,0,2697321.774,1480649.062,14
3691449,-100.0198007,25.36002096,6,0,2698321.774,1480649.062,14
3691450,-100.0098172,25.3598954,6,2,2699321.774,1480649.062,14
3691451,-99.99983371,25.3597692,6,8,2700321.774,1480649.062,14
3691452,-99.98985025,25.35964236,6,802,2701321.774,1480649.062,14
3691453,-99.9798668,25.3595149,6,0,2702321.774,1480649.062,14
3691454,-99.96988338,25.35938681,6,0,2703321.774,1480649.062,14
3691455,-99.95989998,25.35925808,6,20,2704321.774,1480649.062,14
3691456,-99.94991659,25.35912872,6,0,2705321.774,1480649.062,14
3691457,-99.93993323,25.35899873,6,331,2706321.774,1480649.062,14
3691458,-99.92994988,25.35886811,6,557,2707321.774,1480649.062,14
3691459,-99.91996656,25.35873686,6,133,2708321.774,1480649.062,14
3691460,-99.90998325,25.35860498,6,21,2709321.774,1480649.062,14
3691461,-99.89999997,25.35847247,6,0,2710321.774,1480649.062,14
3694562,-100.6686724,25.37589988,6,0,2633321.774,1481649.062,14
3694563,-100.6586871,25.37581535,6,0,2634321.774,1481649.062,14
3694564,-100.6487019,25.37573019,6,0,2635321.774,1481649.062,14
3694565,-100.6387167,25.3756444,6,0,2636321.774,1481649.062,14
3694566,-100.6287315,25.37555798,6,0,2637321.774,1481649.062,14
3694567,-100.6187463,25.37547093,6,0,2638321.774,1481649.062,14
3694568,-100.6087611,25.37538324,6,0,2639321.774,1481649.062,14
3694569,-100.5987759,25.37529493,6,0,2640321.774,1481649.062,14
3694570,-100.5887908,25.37520598,6,0,2641321.774,1481649.062,14
3694571,-100.5788056,25.3751164,6,0,2642321.774,1481649.062,14
3694572,-100.5688205,25.37502619,6,0,2643321.774,1481649.062,14
3694573,-100.5588354,25.37493535,6,0,2644321.774,1481649.062,14
3694574,-100.5488503,25.37484388,6,0,2645321.774,1481649.062,14
3694575,-100.5388652,25.37475177,6,0,2646321.774,1481649.062,14
3694576,-100.5288802,25.37465903,6,0,2647321.774,1481649.062,14
3694577,-100.5188951,25.37456567,6,0,2648321.774,1481649.062,14
3694578,-100.5089101,25.37447167,6,0,2649321.774,1481649.062,14
3694579,-100.4989251,25.37437703,6,0,2650321.774,1481649.062,14
3694580,-100.48894,25.37428177,6,2,2651321.774,1481649.062,14
3694581,-100.4789551,25.37418588,6,0,2652321.774,1481649.062,14
3694582,-100.4689701,25.37408935,6,0,2653321.774,1481649.062,14
3694583,-100.4589851,25.37399219,6,0,2654321.774,1481649.062,14
3694584,-100.4490002,25.3738944,6,0,2655321.774,1481649.062,14
3694585,-100.4390152,25.37379598,6,30,2656321.774,1481649.062,14
3694586,-100.4290303,25.37369693,6,3,2657321.774,1481649.062,14
3694587,-100.4190454,25.37359725,6,2,2658321.774,1481649.062,14
3694588,-100.4090605,25.37349693,6,0,2659321.774,1481649.062,14
3694589,-100.3990756,25.37339598,6,0,2660321.774,1481649.062,14
3694590,-100.3890908,25.3732944,6,0,2661321.774,1481649.062,14
3694591,-100.3791059,25.37319219,6,0,2662321.774,1481649.062,14
3694592,-100.3691211,25.37308935,6,0,2663321.774,1481649.062,14
3694593,-100.3591363,25.37298588,6,0,2664321.774,1481649.062,14
3694594,-100.3491515,25.37288177,6,0,2665321.774,1481649.062,14
3694595,-100.3391667,25.37277704,6,0,2666321.774,1481649.062,14
3694596,-100.329182,25.37267167,6,0,2667321.774,1481649.062,14
3694597,-100.3191972,25.37256567,6,0,2668321.774,1481649.062,14
3694598,-100.3092125,25.37245904,6,3,2669321.774,1481649.062,14
3694599,-100.2992278,25.37235178,6,0,2670321.774,1481649.062,14
3694600,-100.2892431,25.37224388,6,0,2671321.774,1481649.062,14
3694601,-100.2792584,25.37213536,6,0,2672321.774,1481649.062,14
3694602,-100.2692737,25.3720262,6,0,2673321.774,1481649.062,14
3694603,-100.2592891,25.37191641,6,0,2674321.774,1481649.062,14
3694604,-100.2493045,25.37180599,6,0,2675321.774,1481649.062,14
3694605,-100.2393198,25.37169494,6,0,2676321.774,1481649.062,14
3694606,-100.2293352,25.37158326,6,0,2677321.774,1481649.062,14
3694607,-100.2193507,25.37147094,6,0,2678321.774,1481649.062,14
3694608,-100.2093661,25.37135799,6,0,2679321.774,1481649.062,14
3694609,-100.1993816,25.37124442,6,0,2680321.774,1481649.062,14
3694610,-100.189397,25.37113021,6,0,2681321.774,1481649.062,14
3694611,-100.1794125,25.37101537,6,0,2682321.774,1481649.062,14
3694612,-100.169428,25.37089989,6,0,2683321.774,1481649.062,14
3694613,-100.1594436,25.37078379,6,400,2684321.774,1481649.062,14
3694614,-100.1494591,25.37066705,6,237,2685321.774,1481649.062,14
3694615,-100.1394747,25.37054969,6,9,2686321.774,1481649.062,14
3694616,-100.1294902,25.37043169,6,89,2687321.774,1481649.062,14
3694617,-100.1195058,25.37031306,6,585,2688321.774,1481649.062,14
3694618,-100.1095215,25.3701938,6,1755,2689321.774,1481649.062,14
3694619,-100.0995371,25.3700739,6,213,2690321.774,1481649.062,14
3694620,-100.0895527,25.36995338,6,0,2691321.774,1481649.062,14
3694621,-100.0795684,25.36983222,6,0,2692321.774,1481649.062,14
3694622,-100.0695841,25.36971044,6,0,2693321.774,1481649.062,14
3694623,-100.0595998,25.36958802,6,0,2694321.774,1481649.062,14
3694624,-100.0496155,25.36946497,6,0,2695321.774,1481649.062,14
3694625,-100.0396313,25.36934128,6,0,2696321.774,1481649.062,14
3694626,-100.029647,25.36921697,6,0,2697321.774,1481649.062,14
3694627,-100.0196628,25.36909203,6,0,2698321.774,1481649.062,14
3694628,-100.0096786,25.36896645,6,0,2699321.774,1481649.062,14
3694629,-99.99969446,25.36884024,6,7,2700321.774,1481649.062,14
3694630,-99.9897103,25.3687134,6,0,2701321.774,1481649.062,14
3694631,-99.97972616,25.36858593,6,5,2702321.774,1481649.062,14
3694632,-99.96974205,25.36845783,6,42,2703321.774,1481649.062,14
3694633,-99.95975795,25.36832909,6,0,2704321.774,1481649.062,14
3694634,-99.94977387,25.36819973,6,195,2705321.774,1481649.062,14
3694635,-99.93978981,25.36806973,6,0,2706321.774,1481649.062,14
3694636,-99.92980577,25.3679391,6,0,2707321.774,1481649.062,14
3694637,-99.91982175,25.36780784,6,0,2708321.774,1481649.062,14
3694638,-99.90983775,25.36767595,6,0,2709321.774,1481649.062,14
3694639,-99.89985377,25.36754343,6,0,2710321.774,1481649.062,14
3697740,-100.6685797,25.38497131,6,0,2633321.774,1482649.062,14
3697741,-100.6585937,25.38488678,6,1,2634321.774,1482649.062,14
3697742,-100.6486078,25.38480162,6,9,2635321.774,1482649.062,14
3697743,-100.6386219,25.38471582,6,2,2636321.774,1482649.062,14
3697744,-100.628636,25.3846294,6,0,2637321.774,1482649.062,14
