GRIDCODE,CVENTMUN,Fpav
3745457,19039,0.012198184
3745457,19049,0.010263675
3745464,19009,0.009664315
3745465,19009,0.001368471
3745474,19009,0.005460418
3745475,19009,0.005605963
3745476,19009,0.008510836
3745483,19009,0.009010572
3748633,19039,0.000876116
3748634,19039,0.025698708
3748643,19009,0.004864166
3748643,19031,0.009240532
3748653,19009,0.005837552
3748654,19009,0.011197164
3748660,19009,0.001396655
3748661,19009,0.00923141
3751811,19039,0.024917237
3751821,19031,0.018680653
3751832,19009,0.008436936
3751838,19009,0.010170582
3754988,19039,0.015418995
3754989,19039,0.00738116
3754999,19031,0.017573171
3755010,19009,0.008436595
3755014,19009,0.005297613
3755015,19009,0.007217437
3755016,19009,0.00660267
3758165,19039,0.005607393
3758166,19039,0.018374165
3758176,19031,0.009676041
3758177,19031,0.007555562
3758188,19009,0.008432699
3758192,19009,0.009203292
3758193,19009,0.003046381
3761343,19039,0.022694213
3761354,19031,0.017529051
3761366,19009,0.008418869
3761369,19009,0.007091407
3761370,19009,0.007221269
3764520,19039,0.013727076
3764521,19039,0.00926331
3764532,19031,0.017593383
3764544,19009,0.00840356
3764546,19009,0.00750059
3764547,19009,0.003707621
3767697,19039,0.02286242
3767698,19039,0.015531398
3767710,19031,0.017521559
3767722,19009,0.008419498
3767723,19009,0.00591437
3767724,19009,0.00466577
3770875,19039,0.021821709
3770888,19031,0.017920614
3770900,19009,0.009918967
3770901,19009,0.015100438
3770910,19009,0.004161968
3770911,19009,0.009812461
3774052,19039,0.01793579
3774053,19039,0.006622845
3774066,19031,0.003667343
3774067,19031,0.014753723
3774075,19009,0.001030468
3774076,19009,0.010167763
3774077,19009,0.008442607
3774078,19009,0.007845949
3774079,19009,0.001690857
3774080,19009,0.014016043
3774082,19009,0.00559178
3774083,19009,0.023920257
3774084,19009,0.016774958
3774085,19009,0.011951743
3774086,19009,0.008690067
3774087,19009,0.008661263
3774088,19009,0.004740012
3777229,19039,0.001968386
3777230,19039,0.019452323
3777245,19031,0.018558126
3777252,19009,0.005000418
3777253,19009,0.009314186
3777256,19009,0.013486246
3777257,19009,0.016930938
3777258,19009,0.026866287
3777259,19009,0.017405136
3777260,19009,0.011725091
3777262,19009,0.021693219
3777263,19009,0.016840111
3777264,19009,0.016836897
3777265,19009,0.016911334
3777266,19009,0.01739801
3777267,19009,0.017358413
3780407,19039,0.00895734
3780408,19039,0.011984645
3780423,19031,0.002903523
3780424,19031,0.015632154
3780429,19009,0.008563831
3780429,19031,0.000594017
3780430,19009,0.005368667
3780432,19009,0.001689242
3780433,19009,0.021075649
3780434,19009,0.005187823
3780440,19009,0.008598265
3783585,19039,0.024083409
3783602,19031,0.018449341
3783605,19031,0.00249011
3783606,19031,0.021111226
3783607,19031,0.003013662
3783610,19009,0.022462818
3783618,19009,0.008598265
3786762,19039,0.016749046
3786763,19039,0.005790027
3786772,19026,0.006222416
3786772,19031,0.005711984
3786780,19031,0.002677033
3786781,19031,0.015772308
3786782,19031,0.008163259
3786783,19031,0.018574499
3786787,19009,0.02293591
3786788,19009,0.00090991
3786796,19009,0.008598265
3789939,19039,0.001480875
3789940,19039,0.02115311
3789949,19026,0.00249288
3789950,19026,0.015121601
3789959,19031,0.025875362
3789960,19031,0.014523951
3789963,19031,0.02134874
3789964,19031,0.039257562
3789965,19009,0.000134968
3789965,19031,0.001138165
3789974,19009,0.004211613
3789975,19009,0.004386652
3793106,19019,0.037671023
3793116,19039,0.002173755
3793117,19039,0.023427799
3793128,19026,0.019793483
3793134,19031,0.014281189
3793135,19031,0.016825485
3793136,19031,0.017194401
3793137,19031,0.044849392
3793139,19031,0.007674304
3793140,19031,0.039904379
3793141,19031,0.017259573
3793153,19009,0.008607653
3796282,19019,0.005562336
3796282,19048,0.00800358
3796283,19019,0.276494283
3796284,19019,0.17521155
3796286,19019,0.002398708
3796286,19039,0.000850874
3796287,19019,0.12801284
3796287,19039,0.000498842
3796288,19019,0.035627813
3796290,19039,0.002423755
3796291,19039,0.009953918
3796292,19039,0.009865159
3796293,19039,0.010149492
