GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de LONG_CARR_x_CELDA x CARRILES
3815400,19041,141304.0095,2050.886172
3818516,19018,421468.398,4549.980412
3818517,19048,140507.5733,2168.229892
3818518,19048,140507.5733,2756.604016
3818520,19048,140507.5733,2195.156676
3818521,19048,140507.5733,134.8494895
3818533,19039,212564.5489,1106.549688
3818534,19039,212564.5489,4479.841257
3818536,19039,212564.5489,2187.34418
3818540,19046,53512.71424,4240.51063
3818544,19046,53512.71424,983.5809902
3818545,19046,53512.71424,1925.405022
3818549,19046,53512.71424,4431.45164
3818554,19006,251903.3758,2303.042478
3818558,19041,141304.0095,3203.62516
3818559,19041,141304.0095,3365.489131
3818560,19041,141304.0095,2217.555598
3818561,19041,141304.0095,733.1015145
3818578,19041,141304.0095,314.8934233
3818579,19041,141304.0095,1735.792035
3821694,19018,421468.398,295.7873686
3821695,19018,421468.398,4319.750967
3821696,19018,421468.398,5575.431343
3821696,19048,140507.5733,2521.400873
3821697,19048,140507.5733,2507.321494
3821698,19048,140507.5733,1700.043521
3821711,19039,212564.5489,5136.950766
3821713,19039,212564.5489,1234.783831
3821714,19039,212564.5489,1207.388894
3821718,19046,53512.71424,4162.945492
3821723,19046,53512.71424,648.1488089
3821724,19046,53512.71424,2542.354368
3821725,19046,53512.71424,79.9356874
3821727,19046,53512.71424,1413.267972
3821728,19006,251903.3758,2678.270448
3821728,19046,53512.71424,324.5361449
3821732,19006,251903.3758,2075.924904
3821735,19041,141304.0095,1522.798556
3821736,19006,251903.3758,2658.330387
3821736,19041,141304.0095,791.2601451
3821739,19041,141304.0095,1388.310726
3821740,19041,141304.0095,2948.469817
3821757,19041,141304.0095,2049.88938
3824873,19018,421468.398,187.9502499
3824874,19018,421468.398,4390.718563
3824875,19018,421468.398,6043.373529
3824875,19048,140507.5733,2129.535984
3824876,19018,421468.398,366.6911709
3824876,19048,140507.5733,34.81128244
3824888,19039,212564.5489,5359.76886
3824889,19039,212564.5489,92.85284856
3824890,19039,212564.5489,737.5759567
3824891,19039,212564.5489,1917.986781
3824896,19046,53512.71424,4105.345208
3824897,19046,53512.71424,87.48471285
3824903,19006,251903.3758,1015.343632
3824903,19046,53512.71424,3525.444992
3824904,19006,251903.3758,647.4407808
3824906,19006,251903.3758,4415.390985
3824910,19006,251903.3758,2216.668105
3824913,19006,251903.3758,2349.088309
3824913,19041,141304.0095,2623.300541
3824918,19041,141304.0095,796.2188548
3824919,19041,141304.0095,2046.691497
3824935,19041,141304.0095,2015.852863
3828050,19018,421468.398,699.7987554
3828051,19018,421468.398,2495.443215
3828053,19018,421468.398,201.1683464
3828054,19018,421468.398,6677.515274
3828055,19018,421468.398,2844.764016
3828064,19039,212564.5489,954.7469352
3828065,19039,212564.5489,5097.156502
3828066,19039,212564.5489,495.2017095
3828068,19039,212564.5489,2328.371798
3828074,19046,53512.71424,1072.53266
3828075,19046,53512.71424,7779.422798
3828076,19046,53512.71424,946.5707808
3828081,19006,251903.3758,2055.280366
3828082,19006,251903.3758,1904.129918
3828083,19006,251903.3758,1337.513963
3828084,19006,251903.3758,2081.87407
3828085,19006,251903.3758,2310.093493
3828087,19006,251903.3758,920.4015427
3828088,19006,251903.3758,1400.994452
3828090,19006,251903.3758,4599.178547
3828091,19006,251903.3758,238.4706827
3828097,19041,141304.0095,726.3475133
3828098,19041,141304.0095,2723.977046
3828110,19041,141304.0095,891.712452
3828111,19041,141304.0095,2048.25359
3828112,19041,141304.0095,2022.137968
3828113,19041,141304.0095,2839.019873
3828114,19041,141304.0095,2010.938634
3828115,19041,141304.0095,2019.494381
3831227,19018,421468.398,1767.659501
3831228,19018,421468.398,1740.345968
3831233,19018,421468.398,7567.549834
3831234,19018,421468.398,2319.664574
3831241,19039,212564.5489,2976.656368
3831242,19039,212564.5489,4111.660204
3831245,19039,212564.5489,605.456881
3831246,19039,212564.5489,1521.965169
3831251,19021,206759.7475,662.3363745
3831251,19046,53512.71424,1185.265109
3831252,19021,206759.7475,2028.55392
3831252,19046,53512.71424,128.5028258
3831253,19021,206759.7475,199.6457284
3831253,19046,53512.71424,4162.292303
3831259,19006,251903.3758,2122.540057
3831261,19006,251903.3758,1202.358418
3831262,19006,251903.3758,1984.519433
3831263,19006,251903.3758,4437.580542
3831265,19006,251903.3758,2177.618719
3831267,19006,251903.3758,2079.789447
3831268,19006,251903.3758,2711.064375
3831276,19041,141304.0095,2025.973715
3831283,19041,141304.0095,1279.92761
3831284,19041,141304.0095,2016.1973
3831285,19041,141304.0095,2000.3873
3831286,19041,141304.0095,2085.994014
3831287,19041,141304.0095,2186.141757
3831288,19041,141304.0095,1280.475464
3834403,19018,421468.398,537.2890588
3834404,19018,421468.398,2400.863606
3834405,19018,421468.398,663.6022862
3834412,19018,421468.398,5358.834529
3834413,19018,421468.398,2833.820905
3834414,19018,421468.398,2148.447632
3834415,19018,421468.398,748.6667432
3834416,19018,421468.398,1711.420896
3834417,19018,421468.398,4125.244137
3834418,19018,421468.398,3175.601512
3834418,19039,212564.5489,1247.381221
3834419,19039,212564.5489,1623.424026
3834423,19039,212564.5489,2243.413869
3834429,19021,206759.7475,2026.243858
3834431,19021,206759.7475,4740.307096
3834431,19046,53512.71424,260.2974177
3834437,19006,251903.3758,1490.785975
3834438,19006,251903.3758,648.7803728
3834440,19006,251903.3758,601.995573
3834441,19006,251903.3758,5225.14343
3834442,19006,251903.3758,2838.454489
3834443,19006,251903.3758,1535.84564
3834444,19006,251903.3758,29.67663047
3834445,19006,251903.3758,4862.134051
3834454,19041,141304.0095,831.0892937
3834455,19041,141304.0095,1843.555887
3834459,19041,141304.0095,604.9870601
3834460,19041,141304.0095,2357.064698
3834461,19041,141304.0095,860.0563923
3837580,19018,421468.398,922.6902578
3837581,19018,421468.398,1935.876764
3837590,19018,421468.398,1053.445048
3837591,19018,421468.398,6698.557114
3837592,19018,421468.398,4998.747881
3837593,19018,421468.398,5550.68811
3837594,19018,421468.398,4526.155683
3837595,19018,421468.398,1540.751833
3837601,19039,212564.5489,2185.912431
3837606,19021,206759.7475,822.7736923
3837607,19021,206759.7475,1272.109232
3837609,19021,206759.7475,4004.748647
3837616,19006,251903.3758,2110.058268
3837619,19006,251903.3758,361.8001959
3837620,19006,251903.3758,7930.239594
3837621,19006,251903.3758,4282.44661
3837622,19006,251903.3758,7167.559281
3837625,19006,251903.3758,198.9293054
3837626,19006,251903.3758,2282.528312
3837627,19006,251903.3758,852.7955619
3837633,19041,141304.0095,2020.808731
3837635,19041,141304.0095,820.6174697
3837636,19041,141304.0095,2166.520287
3837637,19041,141304.0095,1847.654999
