GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
6435642,02004,0,0.000884006,0.000884006,,1516958,1516958
6435643,02004,0,2.63686E-06,2.63686E-06,,1516958,1516958
6435646,02004,0.000372865,0,0.000372865,40229,,40229
6435647,02004,0.001093738,0,0.001093738,40229,,40229
6435648,02004,0.000845161,0,0.000845161,40229,,40229
6435649,02004,0.002311765,0,0.002311765,40229,,40229
6435650,02004,0.002808919,0,0.002808919,40229,,40229
6435651,02004,0.000248577,0,0.000248577,40229,,40229
6435652,02004,9.94308E-05,0,9.94308E-05,40229,,40229
6435653,02004,4.97154E-05,0,4.97154E-05,40229,,40229
6435654,02004,0.000298292,0,0.000298292,40229,,40229
6438792,02004,0,0.000765347,0.000765347,,1516958,1516958
6438793,02004,0,0.000437718,0.000437718,,1516958,1516958
6438794,02004,0,0.000353339,0.000353339,,1516958,1516958
6438795,02004,0,0.00101519,0.00101519,,1516958,1516958
6438796,02004,0,0.002336914,0.002336914,,1516958,1516958
6438797,02004,0,0.003644794,0.003644794,,1516958,1516958
6438798,02004,0,0.004687671,0.004687671,,1516958,1516958
6438799,02004,0,0.004969155,0.004969155,,1516958,1516958
6438800,02004,0,0.003139177,0.003139177,,1516958,1516958
6438801,02004,0,0.001549812,0.001549812,,1516958,1516958
6438802,02004,0,0.002008625,0.002008625,,1516958,1516958
6438803,02004,0,0.001385009,0.001385009,,1516958,1516958
6438804,02004,0,0.001356003,0.001356003,,1516958,1516958
6438805,02004,0,0.002731124,0.002731124,,1516958,1516958
6438806,02004,0,0.004460242,0.004460242,,1516958,1516958
6438807,02004,0,0.001665834,0.001665834,,1516958,1516958
6438808,02004,0,0.002508969,0.002508969,,1516958,1516958
6438809,02004,0,0.004290165,0.004290165,,1516958,1516958
6438810,02004,0,0.003227512,0.003227512,,1516958,1516958
6438811,02004,0,0.002605873,0.002605873,,1516958,1516958
6438812,02004,0,0.002806933,0.002806933,,1516958,1516958
6438813,02004,0,0.002724532,0.002724532,,1516958,1516958
6438814,02004,0,0.002400198,0.002400198,,1516958,1516958
6438815,02004,0,0.001527399,0.001527399,,1516958,1516958
6438816,02004,0,0.00493158,0.00493158,,1516958,1516958
6438817,02004,0,0.00282671,0.00282671,,1516958,1516958
6438818,02004,0,0.002230121,0.002230121,,1516958,1516958
6438819,02004,0,0.001466751,0.001466751,,1516958,1516958
6438820,02004,0,0.001315132,0.001315132,,1516958,1516958
6438821,02004,0,2.24133E-05,2.24133E-05,,1516958,1516958
6438826,02004,0.001267742,0,0.001267742,40229,,40229
6438827,02004,0.001392031,0,0.001392031,40229,,40229
6438828,02004,0.000174004,0,0.000174004,40229,,40229
6438829,02004,0.000621442,0,0.000621442,40229,,40229
6441970,02004,0,0.001728459,0.001728459,,1516958,1516958
6441971,02004,0,0.003363969,0.003363969,,1516958,1516958
6441972,02004,0,0.000340154,0.000340154,,1516958,1516958
6441973,02004,0,0.002371852,0.002371852,,1516958,1516958
6441974,02004,0,0.003971105,0.003971105,,1516958,1516958
6441975,02004,0,0.003613811,0.003613811,,1516958,1516958
6441976,02004,0,0.005698905,0.005698905,,1516958,1516958
6441977,02004,0,0.005150439,0.005150439,,1516958,1516958
6441978,02004,0,0.004961904,0.004961904,,1516958,1516958
6441979,02004,0,0.002999424,0.002999424,,1516958,1516958
6441980,02004,0,0.002133876,0.002133876,,1516958,1516958
6441981,02004,0,0.001304585,0.001304585,,1516958,1516958
6441982,02004,0,0.002848464,0.002848464,,1516958,1516958
6441983,02004,0,0.004522867,0.004522867,,1516958,1516958
6441984,02004,0,0.003376494,0.003376494,,1516958,1516958
6441985,02004,0,0.00170275,0.00170275,,1516958,1516958
6441986,02004,0,0.001902492,0.001902492,,1516958,1516958
6441987,02004,0,0.002513583,0.002513583,,1516958,1516958
6441988,02004,0,0.004703492,0.004703492,,1516958,1516958
6441989,02004,0,0.003493175,0.003493175,,1516958,1516958
6441990,02004,0,0.002086412,0.002086412,,1516958,1516958
6441991,02004,0,0.000925537,0.000925537,,1516958,1516958
6441992,02004,0.000472296,0.00110748,0.00109107,40229,1516958,1557187
6441993,02004,0.000149146,0.000722499,0.000707686,40229,1516958,1557187
6441994,02004,0,0.002080479,0.002080479,,1516958,1516958
