GRIDCODE	CVENTMUN	Fr
485497	05034	1
487694	05008	1
488523	08030	1
491988	28027	1
493825	08065	1
494046	05026	1
500118	26018	1
506548	08009	1
506761	05028	1
506460	26029	1
507808	05020	1
508744	08016	1
515096	08062	1
519474	05037	1
520212	26025	1
521445	08021	1
525711	08011	1
527952	05022	1
528852	08055	1
530931	08017	1
532184	05038	1
534093	08031	1
536237	08054	1
538370	08019	1
539609	05025	1
546847	08002	1
548905	08043	1
549867	26021	1
552305	05014	1
554198	08063	1
562660	08040	1
563952	05002	1
564688	26030	1
575280	26056	1
587986	26020	1
599634	26045	1
601849	08013	1
607044	26016	1
611384	08050	1
612386	26041	1
616563	26064	1
616724	08001	1
620812	26058	1
625053	26036	1
625097	26027	1
630352	26035	1
630314	26047	1
630310	26017	1
636724	26019	1
638932	08005	1
646246	26059	1
648397	26002	1
649444	26039	1
650472	26043	1
657802	26048	1
695883	26055	1
712767	02004	1
714932	02002	1
