GRIDCODE	CVE_ENTCVE_MUN	Fpav
193190	14015	0.094272364
193191	14015	0.014113449
193191	14037	0.025756363
193196	14054	0.039159211
193197	14054	0.145818694
193197	14102	0.104287229
193198	14102	0.241280873
193199	14102	0.257963517
193200	14102	0.097741052
193209	14113	0.04166885
193210	14113	0.018041891
193216	14079	0.089969212
193217	14079	0.07805971
193230	14085	0.062585659
193244	16019	0.089626082
193245	16019	0.1852453
193246	16019	0.127378123
193250	16084	0.023447246
193250	16091	0.167583895
193258	16085	0.015385108
193259	16085	0.043174604
193260	16021	0.066810246
193260	16085	0.058821364
193261	16021	0.003159881
193267	16025	0.085849433
193275	16107	0.052840748
193276	16107	0.075384586
193280	16016	0.006914094
193281	16016	0.078075174
193282	16016	0.092942051
193283	16016	0.003577483
194213	14100	0.013648017
194214	14100	0.029434308
194245	14015	0.065280884
194246	14015	0.041722009
194249	14037	0.03926655
194250	14037	0.208203563
194251	14037	0.109119365
194252	14037	0.07442829
194252	14054	0.205996701
194253	14037	0.071380658
194253	14054	0.073752587
194254	14037	0.006092022
194254	14054	0.200169183
194255	14054	0.255449162
194268	14113	0.006225976
194269	14086	0.048197727
194269	14113	0.021236239
194270	14082	0.056719694
194270	14086	0.029011308
194270	14113	0.01413319
194271	14082	0.101915629
194275	14079	0.199984327
194276	14079	0.099509457
194289	14059	0.019400186
194289	14085	0.052646216
194305	16019	0.121594553
194306	16019	0.160288986
194306	16095	0.033923347
194309	16084	0.033245124
194310	16084	0.095278904
194319	16085	0.050386696
194320	16085	0.027451986
194326	16025	0.081899531
194328	16107	0.074659596
194329	16107	0.085162277
194330	16107	0.067727432
194331	16107	0.066154713
194332	16107	0.075225647
194333	16107	0.077104907
194334	16107	0.074041578
194335	16107	0.085282542
194342	16016	0.085701509
195271	14100	0.010813033
195272	14100	0.043361696
195305	14015	0.043696781
195306	14015	0.091044803
195307	14015	0.026668915
195307	14037	0.115782852
195308	14037	0.180275919
195309	14037	0.037966418
195330	14082	0.07249689
195333	14082	0.036965015
195334	14079	0.22155091
195334	14082	0.007911296
195335	14079	0.043286539
195336	14079	0.046320743
195348	14059	0.087009083
195353	14069	0.078705849
195354	14069	0.01864556
195365	16095	0.024636038
195366	16091	0.092171474
195366	16095	0.063173037
195369	16084	0.020982913
195370	16084	0.102304284
195371	16084	0.109100424
195372	16084	0.065675037
195372	16085	0.010480966
195379	16085	0.086524549
195380	16025	0.028954972
195380	16085	0.052128503
195381	16025	0.087497
195381	16085	0.004197564
195382	16025	0.093848948
195383	16025	0.078019388
195384	16025	0.084485129
195385	16025	0.152805908
195386	16025	0.081987839
195386	16070	0.016916537
195386	16107	0.002944016
195387	16070	0.047736238
195387	16107	0.00454209
195394	16107	0.064030192
195401	16016	0.058335355
195402	16016	0.085800168
195403	16016	0.034982784
195403	16037	0.019602207
196330	14100	0.042407457
196365	14110	0.065677381
196366	14015	0.000535126
196366	14037	0.048079124
196366	14110	0.004830308
196368	14034	0.101195523
196368	14037	0.083648876
196373	14034	0.073997286
196373	14054	0.067914817
196389	14082	0.041298335
196390	14082	0.101859786
196391	14082	0.067853466
196392	14082	0.145337242
196393	14079	0.096443235
196393	14082	0.003853496
196395	14014	6.91489E-06
196395	14079	0.085983922
196407	14059	0.080674569
196408	14059	0.033515579
196413	14069	0.135985158
196416	14069	0.004758407
196425	16091	0.183638468
196431	16085	0.035159874
196432	16084	0.073068976
196432	16085	0.010719401
196438	16085	0.170820521
196439	16085	0.00150934
196453	16044	0.004544928
196453	16107	0.066674476
196460	16037	0.096927517
196461	16037	0.15456536
196462	16037	0.220970447
197388	14100	0.04855235
197389	14100	0.009111422
197423	14110	0.080425532
197424	14110	0.008176249
197427	14034	0.024901909
197428	14034	0.191938492
197429	14034	0.144120147
197432	14034	0.189035291
