ID,Lon,lat,cst,pob,UTMX,UTMY,UTMZ
249277,-105.4322,21.20394,6,0,2145321.7742,1025649.0616,13
249278,-105.40318,21.20459,6,0,2148321.7742,1025649.0616,13
249279,-105.37416,21.20524,6,0,2151321.7742,1025649.0616,13
249280,-105.34514,21.20587,6,0,2154321.7742,1025649.0616,13
249281,-105.31612,21.20651,6,0,2157321.7742,1025649.0616,13
249282,-105.2871,21.20713,6,0,2160321.7742,1025649.0616,13
249283,-105.25808,21.20775,6,0,2163321.7742,1025649.0616,13
249284,-105.22906,21.20837,6,0,2166321.7742,1025649.0616,13
249285,-105.20004,21.20898,6,0,2169321.7742,1025649.0616,13
249286,-105.17102,21.20958,6,23,2172321.7742,1025649.0616,13
249287,-105.14199,21.21018,6,0,2175321.7742,1025649.0616,13
249288,-105.11297,21.21078,6,0,2178321.7742,1025649.0616,13
249289,-105.08395,21.21136,6,673,2181321.7742,1025649.0616,13
249290,-105.05492,21.21195,6,10,2184321.7742,1025649.0616,13
249291,-105.0259,21.21252,6,296,2187321.7742,1025649.0616,13
249292,-104.99688,21.2131,6,12,2190321.7742,1025649.0616,13
249293,-104.96785,21.21366,6,5,2193321.7742,1025649.0616,13
249294,-104.93883,21.21422,6,10,2196321.7742,1025649.0616,13
249295,-104.90981,21.21478,6,457,2199321.7742,1025649.0616,13
249296,-104.88078,21.21533,6,11,2202321.7742,1025649.0616,13
249297,-104.85176,21.21587,6,0,2205321.7742,1025649.0616,13
249298,-104.82273,21.21641,6,325,2208321.7742,1025649.0616,13
249299,-104.79371,21.21694,6,0,2211321.7742,1025649.0616,13
249300,-104.76468,21.21747,6,2779,2214321.7742,1025649.0616,13
249301,-104.73565,21.21799,6,1022,2217321.7742,1025649.0616,13
249302,-104.70663,21.21851,6,0,2220321.7742,1025649.0616,13
249303,-104.6776,21.21902,6,0,2223321.7742,1025649.0616,13
249304,-104.64858,21.21952,6,130,2226321.7742,1025649.0616,13
249305,-104.61955,21.22002,6,0,2229321.7742,1025649.0616,13
249306,-104.59052,21.22052,6,15,2232321.7742,1025649.0616,13
249307,-104.5615,21.22101,6,1138,2235321.7742,1025649.0616,13
249308,-104.53247,21.22149,6,0,2238321.7742,1025649.0616,13
249309,-104.50344,21.22197,6,35,2241321.7742,1025649.0616,13
249310,-104.47441,21.22244,6,0,2244321.7742,1025649.0616,13
249311,-104.44539,21.22291,6,0,2247321.7742,1025649.0616,13
249312,-104.41636,21.22337,6,0,2250321.7742,1025649.0616,13
249313,-104.38733,21.22383,6,10,2253321.7742,1025649.0616,13
249314,-104.3583,21.22428,6,108,2256321.7742,1025649.0616,13
249315,-104.32927,21.22472,6,0,2259321.7742,1025649.0616,13
249316,-104.30024,21.22516,6,122,2262321.7742,1025649.0616,13
249317,-104.27121,21.22559,6,31,2265321.7742,1025649.0616,13
249318,-104.24218,21.22602,6,0,2268321.7742,1025649.0616,13
249319,-104.21316,21.22644,6,89,2271321.7742,1025649.0616,13
249320,-104.18413,21.22686,6,23,2274321.7742,1025649.0616,13
249321,-104.1551,21.22727,6,13,2277321.7742,1025649.0616,13
249322,-104.12607,21.22768,6,0,2280321.7742,1025649.0616,13
249323,-104.09704,21.22808,6,0,2283321.7742,1025649.0616,13
249324,-104.06801,21.22848,6,26,2286321.7742,1025649.0616,13
249325,-104.03898,21.22887,6,21,2289321.7742,1025649.0616,13
249326,-104.00994,21.22925,6,0,2292321.7742,1025649.0616,13
249327,-103.98091,21.22963,6,0,2295321.7742,1025649.0616,13
249328,-103.95188,21.23,6,12,2298321.7742,1025649.0616,13
249329,-103.92285,21.23037,6,0,2301321.7742,1025649.0616,13
249330,-103.89382,21.23073,6,0,2304321.7742,1025649.0616,13
249331,-103.86479,21.23109,6,0,2307321.7742,1025649.0616,13
249332,-103.83576,21.23144,6,0,2310321.7742,1025649.0616,13
249333,-103.80673,21.23179,6,16,2313321.7742,1025649.0616,13
249334,-103.77769,21.23213,6,0,2316321.7742,1025649.0616,13
249335,-103.74866,21.23246,6,7,2319321.7742,1025649.0616,13
249336,-103.71963,21.23279,6,13,2322321.7742,1025649.0616,13
249337,-103.6906,21.23311,6,31,2325321.7742,1025649.0616,13
249338,-103.66157,21.23343,6,10,2328321.7742,1025649.0616,13
249339,-103.63253,21.23374,6,0,2331321.7742,1025649.0616,13
249340,-103.6035,21.23405,6,864,2334321.7742,1025649.0616,13
249341,-103.57447,21.23435,6,0,2337321.7742,1025649.0616,13
249342,-103.54543,21.23465,6,0,2340321.7742,1025649.0616,13
249343,-103.5164,21.23494,6,0,2343321.7742,1025649.0616,13
249344,-103.48737,21.23522,6,0,2346321.7742,1025649.0616,13
249345,-103.45833,21.2355,6,322,2349321.7742,1025649.0616,13
249346,-103.4293,21.23578,6,0,2352321.7742,1025649.0616,13
249347,-103.40027,21.23605,6,0,2355321.7742,1025649.0616,13
249348,-103.37123,21.23631,6,8,2358321.7742,1025649.0616,13
249349,-103.3422,21.23657,6,158,2361321.7742,1025649.0616,13
249350,-103.31317,21.23682,6,9,2364321.7742,1025649.0616,13
249351,-103.28413,21.23707,6,0,2367321.7742,1025649.0616,13
