GRIDCODE,CVE_ENTCVE_MUN,LTMxC,Lcelda,Frac
164608,06001,1340125.102,3512.826127,0.002621267
164610,06009,713084.0604,6276.097124,0.008801343
164613,06004,788131.5091,2405.510195,0.003052169
164613,06009,713084.0604,11873.57438,0.016651016
164614,06006,249121.6321,6565.070398,0.026352872
164619,06002,2321767.063,1818.223404,0.000783121
164620,06002,2321767.063,5067.025124,0.0021824
164622,06002,2321767.063,8912.231699,0.003838555
164627,14065,1038395.646,3226.13684,0.003106847
164642,16089,2071585.463,4543.887461,0.002193435
164643,16089,2071585.463,7326.608638,0.003536716
164644,16089,2071585.463,5021.530555,0.002424004
164652,16002,676399.0071,2186.176239,0.003232081
164653,16012,1642052.455,7579.164164,0.004615665
164654,16012,1642052.455,2118.091439,0.001289905
164663,16006,916516.9126,5432.323422,0.005927139
164664,16006,916516.9126,4458.933657,0.004865086
164666,16064,505674.2737,670.4464693,0.001325847
164666,16064,505674.2737,3511.003178,0.006943211
164667,16064,505674.2737,2816.29266,0.005569381
164672,16055,287900.4486,6088.005024,0.021146216
164673,16033,876946.2688,981.04541,0.001118706
164673,16055,287900.4486,471.4610543,0.001637584
164682,16009,1182044.004,1739.098583,0.001471264
164683,16009,1182044.004,1988.544902,0.001682293
164683,16059,265363.6908,4609.406979,0.017370149
164691,16097,42883.3978,5.65360156,0.000131837
165653,06007,3365013.159,1720.81713,0.000511385
165654,06007,3365013.159,5140.047135,0.001527497
165654,06007,3365013.159,374.382767,0.000111257
165654,06007,3365013.159,3223.930585,0.000958074
165654,06007,3365013.159,3178.553325,0.000944589
165654,06007,3365013.159,7025.616336,0.002087842
165655,06007,3365013.159,12433.72989,0.003695002
165664,06001,1340125.102,6693.34382,0.004994566
165669,06009,713084.0604,2350.548742,0.003296314
165669,06009,713084.0604,5987.020505,0.008395953
165672,06002,2321767.063,8842.397189,0.003808477
165672,06009,713084.0604,4353.828489,0.006105631
165673,06002,2321767.063,5866.076652,0.002526557
165673,06006,249121.6321,396.3512464,0.001590995
165678,06002,2321767.063,7885.018246,0.003396128
165680,06002,2321767.063,6233.857884,0.002684963
165681,06002,2321767.063,209.7357471,9.03345E-05
165685,14065,1038395.646,647.3874975,0.00062345
165686,14065,1038395.646,2957.251757,0.002847905
165703,16089,2071585.463,6815.904086,0.003290187
165710,16012,1642052.455,1740.599547,0.001060015
165711,16012,1642052.455,3339.60157,0.002033797
165713,16012,1642052.455,1298.290434,0.000790651
165713,16012,1642052.455,3442.803576,0.002096647
165714,16012,1642052.455,6596.12573,0.004017001
165715,16012,1642052.455,2948.162814,0.001795413
165716,16006,916516.9126,2165.159851,0.002362379
165717,16006,916516.9126,7072.176163,0.007716362
165718,16006,916516.9126,6226.371279,0.006793515
165719,16006,916516.9126,6019.770965,0.006568096
165720,16006,916516.9126,6024.075388,0.006572792
165721,16006,916516.9126,748.4510299,0.000816625
165721,16006,916516.9126,624.371731,0.000681244
165721,16006,916516.9126,6018.342806,0.006566538
165722,16006,916516.9126,2445.126683,0.002667847
165722,16006,916516.9126,2766.014261,0.003017963
165722,16006,916516.9126,412.4381011,0.000450006
165726,16064,505674.2737,6282.181899,0.012423377
165727,16064,505674.2737,2383.410213,0.004713331
165731,16055,287900.4486,1445.819325,0.005021942
165731,16055,287900.4486,1119.499606,0.003888496
165731,16055,287900.4486,1709.538853,0.005937951
165731,16055,287900.4486,5109.327163,0.017746854
165732,16033,876946.2688,2081.662041,0.002373762
165732,16033,876946.2688,2068.804939,0.002359101
165732,16033,876946.2688,2319.823573,0.002645343
165732,16055,287900.4486,2793.571962,0.009703257
165732,16055,287900.4486,783.5505021,0.002721602
165732,16055,287900.4486,2342.253697,0.008135638
165740,16059,265363.6908,692.5001295,0.002609627
165742,16009,1182044.004,2145.683778,0.001815232
165743,16009,1182044.004,6740.141797,0.005702107
165751,16082,178541.7659,1701.704257,0.009531127
165751,16097,42883.3978,3523.426828,0.082162958
165751,16097,42883.3978,1916.923244,0.044700825
166711,06007,3365013.159,4045.934116,0.001202353
166712,06007,3365013.159,6221.893323,0.001848995
166712,06007,3365013.159,2238.046205,0.000665093
166713,06007,3365013.159,56.47710744,1.67836E-05
166713,06007,3365013.159,14421.60467,0.00428575
166714,06007,3365013.159,788.8320199,0.000234422
166714,06007,3365013.159,6512.143816,0.001935251
166714,06007,3365013.159,1798.942681,0.000534602
166714,06007,3365013.159,1597.24496,0.000474662
166722,06001,1340125.102,6614.380825,0.004935644
166723,06001,1340125.102,128.57053,9.59392E-05
166728,06004,788131.5091,3592.75344,0.004558571
166728,06009,713084.0604,2051.013891,0.002876258
166729,06004,788131.5091,700.1533082,0.000888371
166729,06009,713084.0604,786.0282849,0.001102294
