GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),Suma de LONG VIALIDAD x SENTIDO x CELDA
1997225,14097,3089957.561,3886.347397
1997226,14097,3089957.561,4408.994267
1997227,14097,3089957.561,13062.23729
1997228,14097,3089957.561,33454.82723
1997229,14097,3089957.561,8898.41799
1997230,14097,3089957.561,994.8275013
1997231,14097,3089957.561,16787.25776
1997232,14097,3089957.561,29329.47343
1997233,14097,3089957.561,50402.97133
1997234,14097,3089957.561,33583.34002
1997235,14097,3089957.561,40354.91916
1997236,14097,3089957.561,21836.31985
1997237,14097,3089957.561,3166.026893
1997238,14097,3089957.561,11070.94631
1997243,14097,3089957.561,7953.323667
1997244,14097,3089957.561,69.92389772
1997247,14070,1337046.111,172.795117
1997248,14070,1337046.111,5747.361864
1997249,14070,1337046.111,1729.413284
1997253,14070,1337046.111,783.0315948
1997254,14070,1337046.111,22702.64512
1997255,14070,1337046.111,6751.137854
1997256,14051,178263.2078,5552.082387
1997257,14051,178263.2078,9215.601054
2000399,14097,3089957.561,1924.253037
2000400,14097,3089957.561,9892.2752
2000401,14097,3089957.561,21982.76722
2000402,14097,3089957.561,17532.10292
2000403,14097,3089957.561,15646.58393
2000404,14097,3089957.561,16767.22755
2000404,14098,2811583.951,326.7864222
2000405,14097,3089957.561,10004.58402
2000405,14098,2811583.951,2084.211483
2000406,14097,3089957.561,22725.64061
2000406,14098,2811583.951,1249.715451
2000407,14097,3089957.561,13278.917
2000408,14097,3089957.561,1190.459885
2000409,14097,3089957.561,3993.814676
2000410,14097,3089957.561,11509.39999
2000411,14097,3089957.561,9515.153456
2000412,14097,3089957.561,11567.28829
2000413,14097,3089957.561,21293.91543
2000414,14097,3089957.561,1765.245218
2000415,14097,3089957.561,12944.05624
2000416,14097,3089957.561,12233.85635
2000417,14097,3089957.561,2629.338684
2000418,14070,1337046.111,411.2484144
2000419,14070,1337046.111,3451.065569
2000420,14070,1337046.111,10331.23551
2000421,14070,1337046.111,20925.48122
2000422,14070,1337046.111,14914.65496
2000423,14070,1337046.111,6202.039913
2000425,14070,1337046.111,9085.301654
2000426,14070,1337046.111,4828.69547
2000435,14051,178263.2078,3755.948088
2003576,14097,3089957.561,456.4428312
2003577,14097,3089957.561,4910.324509
2003578,14097,3089957.561,4249.634049
2003579,14097,3089957.561,7811.622399
2003580,14097,3089957.561,23574.61873
2003581,14097,3089957.561,14626.18843
2003581,14098,2811583.951,550.8042042
2003582,14097,3089957.561,1435.628184
2003582,14098,2811583.951,8738.016741
2003583,14097,3089957.561,991.0779403
2003583,14098,2811583.951,21022.9224
2003584,14097,3089957.561,69.51877608
2003584,14098,2811583.951,9652.614429
2003585,14097,3089957.561,1356.321819
2003586,14097,3089957.561,7686.007331
2003587,14097,3089957.561,2941.531207
2003590,14097,3089957.561,15254.97306
2003591,14097,3089957.561,32401.49361
2003592,14097,3089957.561,19284.99705
2003593,14097,3089957.561,23831.70055
2003594,14070,1337046.111,182.071988
2003594,14097,3089957.561,28975.61669
2003595,14070,1337046.111,13031.94009
2003595,14097,3089957.561,2901.431033
2003596,14070,1337046.111,26047.49302
2003597,14070,1337046.111,27997.55661
2003598,14070,1337046.111,20251.81369
2003599,14070,1337046.111,42084.19916
2003600,14070,1337046.111,42276.15275
2003601,14070,1337046.111,30574.04675
2003602,14070,1337046.111,4728.442385
2003609,14070,1337046.111,248.3259626
2003610,14070,1337046.111,1785.133283
2003610,14101,2273956.049,2709.018314
2003611,14101,2273956.049,41.40807931
2003613,14051,178263.2078,3144.502112
2003614,14051,178263.2078,4479.44868
2003616,14124,616296.689,1700.211733
2006756,14097,3089957.561,3442.855262
2006757,14097,3089957.561,15846.56819
2006758,14097,3089957.561,6952.984565
2006759,14097,3089957.561,13849.08085
2006759,14098,2811583.951,520.1014927
2006760,14097,3089957.561,7120.73757
2006760,14098,2811583.951,21134.05704
2006761,14098,2811583.951,24795.73625
2006762,14097,3089957.561,2179.782606
2006762,14098,2811583.951,7434.227786
2006763,14097,3089957.561,1633.20138
2006763,14098,2811583.951,54.53394533
2006764,14097,3089957.561,2679.175428
2006764,14098,2811583.951,1468.243487
2006765,14098,2811583.951,41.0403715
2006768,14097,3089957.561,275.3931304
2006769,14097,3089957.561,14409.4378
2006769,14098,2811583.951,9287.649683
2006770,14097,3089957.561,9883.396052
