GRIDCODE,CVENTMUN,Furb,Frur,Fpob
2009934,14097,7.12467E-05,5.31053E-05,6.96068E-05
2009935,14097,0.001385352,0.000106211,0.001269724
2009936,14097,0.002343224,,0.002343224
2009937,14097,0.001915744,,0.001915744
2009938,14097,0.00183922,,0.00183922
2009938,14098,4.65912E-05,0.000559754,5.26214E-05
2009939,14097,0.000271793,,0.000271793
2009939,14098,0.002134875,,0.002134875
2009940,14098,0.000916848,0.044220543,0.00142571
2009942,14098,,0.124265323,0.124265323
2009944,14097,,0.000982449,0.000982449
2009944,14098,0.003797182,,0.003797182
2009945,14098,0.004033466,,0.004033466
2009946,14097,,0.055176442,0.055176442
2009947,14097,,0.000770027,0.000770027
2009947,14098,0.004289717,,0.004289717
2009948,14098,0.007071877,,0.007071877
2009949,14097,0.000153048,,0.000153048
2009949,14098,0.00908029,,0.00908029
2009950,14097,0.008330585,,0.008330585
2009950,14098,0.001817056,,0.001817056
2009951,14070,0.04546198,,0.04546198
2009951,14097,0.005124484,,0.005124484
2009951,14098,0.002011741,,0.002011741
2009952,14070,0.038956791,,0.038956791
2009953,14070,0.030845749,,0.030845749
2009954,14070,0.023440985,,0.023440985
2009955,14070,0.014214768,,0.014214768
2009956,14070,0.016772237,,0.016772237
2009957,14070,0.003397567,,0.003397567
2009961,14101,0.000494109,0.000877963,0.00050256
2009962,14101,0.00010541,0.11842747,0.002710388
2009963,14101,0.00572947,0.001560823,0.005637693
2009964,14101,0.002628661,,0.002628661
2009965,14101,0.007833277,0.017169057,0.008038813
2009966,14101,0.0023849,,0.0023849
2009967,14101,0.000461169,9.75515E-05,0.000453163
2009968,14101,0.003204023,,0.003204023
2009969,14101,0.005452769,,0.005452769
2009970,14051,,0.0249694,0.0249694
2009970,14101,2.19604E-06,0.000975515,2.36246E-05
2009971,14051,,0.004651163,0.004651163
2009972,14124,,0.001768381,0.001768381
2013112,14097,,0.043811901,0.043811901
2013113,14097,0.000155687,0.006638167,0.000741672
2013114,14097,0.002807647,,0.002807647
2013115,14097,0.001799638,,0.001799638
2013116,14097,0.00222448,,0.00222448
2013117,14097,0.005544048,,0.005544048
2013117,14098,,0.075706689,0.075706689
2013118,14097,0.001092449,,0.001092449
2013118,14098,0.001196395,0.05695494,0.001851614
2013121,14098,,0.006017352,0.006017352
2013122,14098,0.00079205,0.023369717,0.001057361
2013123,14098,0.007328128,0.008956059,0.007347258
2013124,14098,0.002674001,0.084662748,0.003637452
2013125,14098,0.006562702,,0.006562702
2013126,14098,0.004121656,,0.004121656
2013127,14098,0.003986875,,0.003986875
2013128,14097,0.001512013,,0.001512013
2013128,14098,0.01195896,,0.01195896
2013129,14070,0.027433313,,0.027433313
2013129,14097,0.000176797,,0.000176797
2013129,14098,0.006968711,,0.006968711
2013130,14070,0.004906771,,0.004906771
2013130,14098,0.000996719,,0.000996719
2013131,14070,0.003070449,,0.003070449
2013131,14098,0.001058286,,0.001058286
2013132,14070,0.000988789,0.001613771,0.0010056
2013133,14070,0.001628156,,0.001628156
2013134,14070,8.9214E-05,,8.9214E-05
2013134,14098,,0.170584943,0.170584943
2013135,14098,,0.015253289,0.015253289
2013136,14098,0,,0
2013137,14098,0.000394361,,0.000394361
2013138,14098,1.66397E-06,0.047719004,0.000562391
2013138,14101,5.05089E-05,,5.05089E-05
2013139,14101,0.002448585,,0.002448585
2013140,14101,0.001671187,,0.001671187
2013141,14101,0.001293468,,0.001293468
2013142,14101,0.000109802,0.002438786,0.000161077
2013143,14101,0.00032721,,0.00032721
2013144,14101,0.000296465,,0.000296465
2013145,14101,0.000118586,9.75515E-05,0.000118123
2013146,14101,0.000164703,0.00068286,0.000176111
2013147,14101,0.001155117,,0.001155117
2013149,14124,,0.000550163,0.000550163
2013150,14124,0.038335646,,0.038335646
2016291,14097,2.63877E-06,,2.63877E-06
2016292,14097,0.000303458,,0.000303458
2016293,14097,0.000672885,,0.000672885
2016294,14097,0.004580898,,0.004580898
2016295,14097,0.00609555,,0.00609555
2016296,14097,0.01289565,,0.01289565
2016296,14098,0.000976751,,0.000976751
2016296,14120,4.08916E-06,,4.08916E-06
2016297,14098,0.000292859,0.043240974,0.000797543
2016297,14120,0.000526684,,0.000526684
2016299,14098,0.000289531,,0.000289531
2016300,14098,0.004976937,,0.004976937
2016301,14098,0.011068735,,0.011068735
2016302,14098,0.000658933,,0.000658933
2016303,14098,0.000279547,,0.000279547
2016304,14098,0.006655884,,0.006655884
2016305,14098,0.008927205,,0.008927205
2016306,14098,0.011062079,,0.011062079
2016307,14070,0.000237904,,0.000237904
2016307,14098,0.003359558,,0.003359558
2016308,14070,0.000736016,,0.000736016
2016308,14098,0.004912042,,0.004912042
2016309,14070,0.000185863,,0.000185863
2016309,14098,0.006061846,,0.006061846
2016310,14070,0.000170994,,0.000170994
2016310,14098,,0.018471872,0.018471872
2016311,14070,4.4607E-05,,4.4607E-05
2016311,14098,,0.001679261,0.001679261
2016312,14098,6.82228E-05,0.035824237,0.000488392
2016313,14098,0.000116478,0.204310104,0.002515959
2016314,14098,0.001233003,,0.001233003
2016314,14101,0.001095824,,0.001095824
2016315,14098,0.001184747,,0.001184747
2016315,14101,0.003656407,,0.003656407
2016316,14098,2.99515E-05,,2.99515E-05
2016316,14101,0.005187048,,0.005187048
2016317,14101,0.008406443,,0.008406443
2016318,14101,0.004238358,,0.004238358
2016327,14124,,0.032656109,0.032656109
2016328,14124,0.014375867,0.003222384,0.009915771
2019469,14097,0.000258599,,0.000258599
2019470,14097,0.001493542,,0.001493542
2019471,14097,0.001504097,,0.001504097
2019472,14097,0.004615202,,0.004615202
2019472,14120,0.000121857,,0.000121857
2019473,14097,0.003926484,,0.003926484
2019473,14120,0.00150154,,0.00150154
2019474,14097,0.002596546,,0.002596546
2019474,14098,3.99353E-05,,3.99353E-05
2019474,14120,0.004144773,,0.004144773
2019475,14098,0.003602497,,0.003602497
2019475,14120,0.004544692,,0.004544692
2019476,14098,0.006940423,,0.006940423
2019477,14098,0.002868686,,0.002868686
2019478,14098,0.011366586,,0.011366586
2019479,14098,0.011023808,,0.011023808
2019482,14098,0.008396398,0.000139938,0.008299376
2019483,14098,0.015301878,,0.015301878
2019484,14098,0.016435042,,0.016435042
2019485,14098,0.008441325,,0.008441325
2019486,14098,0.006101782,,0.006101782
2019487,14098,0.004910379,,0.004910379
2019488,14098,0.001144812,,0.001144812
2019489,14098,0.007647611,,0.007647611
2019490,14098,0.008428013,,0.008428013
2019491,14098,0.004690734,,0.004690734
2019492,14098,0.005213221,,0.005213221
2019492,14101,0.00368276,,0.00368276
2019493,14101,0.014386262,,0.014386262
2019494,14101,0.014155677,,0.014155677
2019495,14101,0.011307413,,0.011307413
2019496,14101,0.000825711,,0.000825711
2019497,14101,,0.009462491,0.009462491
2019502,14101,,0.001170618,0.001170618
2022647,14097,7.12467E-05,,7.12467E-05
2022647,14120,1.63566E-06,,1.63566E-06
2022648,14097,0.000279709,,0.000279709
2022649,14097,0.000250683,,0.000250683
2022650,14097,6.59692E-05,,6.59692E-05
2022650,14120,0.001660199,,0.001660199
2022651,14120,0.002137813,,0.002137813
2022652,14120,0.003694965,,0.003694965
2022653,14098,0.00468907,,0.00468907
2022653,14120,0.003034975,,0.003034975
2022654,14098,0.01285584,,0.01285584
2022655,14098,0.0055144,,0.0055144
2022656,14039,6.01935E-06,,6.01935E-06
2022656,14098,0.012509734,,0.012509734
2022657,14039,0.000104335,,0.000104335
2022657,14098,0.02538887,,0.02538887
2022658,14098,0.023947871,,0.023947871
2022659,14098,0.008928869,,0.008928869
2022660,14098,0.011143614,,0.011143614
2022661,14098,0.019516716,,0.019516716
2022662,14098,0.02114408,,0.02114408
2022663,14098,0.018108997,,0.018108997
2022664,14098,0.012381608,,0.012381608
2022665,14098,0.007168387,,0.007168387
2022666,14098,0.006569358,,0.006569358
2022667,14098,0.016473313,,0.016473313
2022668,14098,0.0101236,,0.0101236
2022669,14098,0.007398015,,0.007398015
2022670,14098,0.006684172,,0.006684172
2022670,14101,0.003179867,,0.003179867
2022671,14101,0.013323378,,0.013323378
2022672,14101,0.006436595,,0.006436595
2022673,14101,0.001695343,,0.001695343
2022674,14101,0.000171291,0.011998829,0.000431686
2022675,14101,,0.01736416,0.01736416
2022679,14101,,0.229831236,0.229831236
2025821,14120,,9.52154E-05,9.52154E-05
2025822,14120,,0.000142823,0.000142823
2025825,14120,0.000660808,,0.000660808
2025826,14120,0.000729506,,0.000729506
2025827,14120,0.001328159,,0.001328159
2025828,14120,0.00221796,,0.00221796
2025829,14120,0.00253119,,0.00253119
2025830,14120,0.00475324,,0.00475324
2025831,14098,0.000237948,,0.000237948
2025831,14120,0.003124936,,0.003124936
2025832,14098,0.000474232,,0.000474232
2025833,14098,0.001289578,,0.001289578
2025834,14039,0.000813281,,0.000813281
2025834,14098,0.015027322,,0.015027322
2025835,14039,0.003716614,,0.003716614
2025835,14098,0.012343337,,0.012343337
2025836,14039,0.00565217,,0.00565217
2025836,14098,0.02058665,,0.02058665
2025837,14039,0.001240655,,0.001240655
2025837,14098,0.009120225,,0.009120225
2025838,14039,0.001087496,,0.001087496
2025838,14098,0.012543014,,0.012543014
2025839,14039,0.006250092,,0.006250092
2025839,14098,0.014852605,,0.014852605
2025840,14039,0.000151153,,0.000151153
2025840,14098,0.019729705,,0.019729705
2025841,14098,0.011391546,,0.011391546
2025842,14098,0.010368204,,0.010368204
2025843,14098,0.022991088,,0.022991088
2025844,14098,0.020320414,,0.020320414
2025845,14098,0.017579854,,0.017579854
2025845,14101,0.000107606,,0.000107606
2025846,14098,0.006987014,,0.006987014
2025846,14101,0.00279556,,0.00279556
2025847,14098,0.004068409,,0.004068409
2025847,14101,0.00597323,,0.00597323
2025848,14098,0.002857038,,0.002857038
2025848,14101,0.004956463,,0.004956463
2025849,14101,0.004150517,,0.004150517
2025850,14101,0.007866217,,0.007866217
2025851,14101,4.39208E-06,0.064579065,0.001426068
2025852,14101,,0.001170618,0.001170618
2025856,14101,,0.001170618,0.001170618
2025857,14101,,0.001755926,0.001755926
2025859,14101,,0.052775339,0.052775339
2029000,14120,,0.000238039,0.000238039
2029002,14120,,9.52154E-05,9.52154E-05
2029003,14120,0.000257617,0.000285646,0.00025809
2029004,14120,0.001483547,,0.001483547
2029005,14120,0.004380308,,0.004380308
2029006,14120,0.0060585,,0.0060585
2029007,14120,0.005262749,,0.005262749
2029008,14120,0.007175658,,0.007175658
2029009,14098,0.000154749,,0.000154749
2029009,14120,0.005436129,,0.005436129
2029010,14098,0.000174717,,0.000174717
2029010,14120,0.005803336,,0.005803336
2029011,14098,0.011557943,,0.011557943
2029011,14120,0.002059301,,0.002059301
2029012,14039,0.002754856,,0.002754856
2029012,14098,0.01689097,,0.01689097
2029013,14039,0.010010848,,0.010010848
2029014,14039,0.013529493,,0.013529493
2029015,14039,0.013032562,,0.013032562
2029016,14039,0.009816223,,0.009816223
2029016,14098,5.8239E-05,,5.8239E-05
2029017,14039,0.006490866,,0.006490866
2029018,14039,0.001031984,,0.001031984
