GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5899542,08037,0.006705934,,0.006705934,1324497,,8881.988879,1324497
5899543,08037,0.003915013,,0.003915013,1324497,,5185.42339,1324497
5899544,08037,0.00708817,,0.00708817,1324497,,9388.260382,1324497
5899545,08037,0.007946223,,0.007946223,1324497,,10524.74839,1324497
5899546,08037,0.005355236,,0.005355236,1324497,,7092.993791,1324497
5899547,08037,0.000914955,,0.000914955,1324497,,1211.855574,1324497
5899548,08037,0.000657908,,0.000657908,1324497,,871.397378,1324497
5899549,08037,0.002786536,,0.002786536,1324497,,3690.757925,1324497
5899550,08037,0.00282851,,0.00282851,1324497,,3746.352895,1324497
5899551,08037,0.00086533,,0.00086533,1324497,,1146.127204,1324497
5902701,08037,,0.000130822,0.000130822,,7644,1,7644
5902703,08037,1.59085E-05,0.001439037,2.40745E-05,1324497,7644,32.0706943,1332141
5902704,08037,0.000535978,,0.000535978,1324497,,709.9006138,1324497
5902705,08037,1.71278E-05,,1.71278E-05,1324497,,22.68568107,1324497
5902706,08037,8.54278E-06,,8.54278E-06,1324497,,11.31488536,1324497
5902707,08037,0.000331634,,0.000331634,1324497,,439.2477137,1324497
5902708,08037,0.000132826,,0.000132826,1324497,,175.9271029,1324497
5902709,08037,0.00011518,,0.00011518,1324497,,152.5552349,1324497
5902710,08037,0.000116458,,0.000116458,1324497,,154.248238,1324497
5902711,08037,0.000122108,,0.000122108,1324497,,161.7318919,1324497
5902712,08037,0.000202558,,0.000202558,1324497,,268.2874287,1324497
5902713,08037,0.000152157,,0.000152157,1324497,,201.5308674,1324497
5902714,08037,0.000127954,,0.000127954,1324497,,169.4750383,1324497
5902715,08037,0.000195285,,0.000195285,1324497,,258.6547208,1324497
5902716,08037,0.001354699,,0.001354699,1324497,,1794.294316,1324497
5902717,08037,0.00345898,,0.00345898,1324497,,4581.409038,1324497
5902718,08037,0.001829767,,0.001829767,1324497,,2423.521157,1324497
5902719,08037,0.002996972,,0.002996972,1324497,,3969.479942,1324497
5902720,08037,0.004453918,,0.004453918,1324497,,5899.201502,1324497
5902721,08037,0.002374601,,0.002374601,1324497,,3145.151785,1324497
