GRIDCODE,LONG,LATITUDE,Huso,Pobl,X_long(NALCC),Y_lat(NALCC),UMTz
42,42,"EI Frontera Cd Juarez V4.0" ,,,,,
5851883,-106.2718809,31.46141893,7,0,2092321.774,2160649.062,13
5851884,-106.2614085,31.46168606,7,0,2093321.774,2160649.062,13
5851885,-106.2509361,31.46195253,7,0,2094321.774,2160649.062,13
5851886,-106.2404636,31.46221835,7,0,2095321.774,2160649.062,13
5855023,-106.6701379,31.45975824,7,0,2054321.774,2161649.062,13
5855024,-106.6596665,31.4600503,7,0,2055321.774,2161649.062,13
5855025,-106.6491952,31.4603417,7,0,2056321.774,2161649.062,13
5855026,-106.6387237,31.46063244,7,0,2057321.774,2161649.062,13
5855027,-106.6282522,31.46092253,7,0,2058321.774,2161649.062,13
5855028,-106.6177807,31.46121196,7,0,2059321.774,2161649.062,13
5855029,-106.6073091,31.46150074,7,0,2060321.774,2161649.062,13
5855030,-106.5968375,31.46178886,7,0,2061321.774,2161649.062,13
5855031,-106.5863658,31.46207633,7,0,2062321.774,2161649.062,13
5855032,-106.575894,31.46236314,7,0,2063321.774,2161649.062,13
5855033,-106.5654223,31.4626493,7,0,2064321.774,2161649.062,13
5855034,-106.5549504,31.4629348,7,0,2065321.774,2161649.062,13
5855035,-106.5444785,31.46321964,7,0,2066321.774,2161649.062,13
5855036,-106.5340066,31.46350383,7,0,2067321.774,2161649.062,13
5855037,-106.5235346,31.46378736,7,0,2068321.774,2161649.062,13
5855038,-106.5130626,31.46407024,7,0,2069321.774,2161649.062,13
5855039,-106.5025905,31.46435246,7,0,2070321.774,2161649.062,13
5855040,-106.4921184,31.46463403,7,0,2071321.774,2161649.062,13
5855041,-106.4816462,31.46491494,7,0,2072321.774,2161649.062,13
5855042,-106.471174,31.4651952,7,0,2073321.774,2161649.062,13
5855043,-106.4607018,31.4654748,7,0,2074321.774,2161649.062,13
5855044,-106.4502294,31.46575374,7,0,2075321.774,2161649.062,13
5855045,-106.4397571,31.46603203,7,0,2076321.774,2161649.062,13
5855046,-106.4292847,31.46630966,7,0,2077321.774,2161649.062,13
5855047,-106.4188122,31.46658664,7,0,2078321.774,2161649.062,13
5855048,-106.4083397,31.46686296,7,0,2079321.774,2161649.062,13
5855049,-106.3978672,31.46713862,7,0,2080321.774,2161649.062,13
5855050,-106.3873946,31.46741363,7,0,2081321.774,2161649.062,13
5855051,-106.3769219,31.46768799,7,0,2082321.774,2161649.062,13
5855052,-106.3664492,31.46796169,7,0,2083321.774,2161649.062,13
5855053,-106.3559765,31.46823473,7,0,2084321.774,2161649.062,13
5855054,-106.3455037,31.46850712,7,0,2085321.774,2161649.062,13
5855055,-106.3350309,31.46877885,7,0,2086321.774,2161649.062,13
5855056,-106.324558,31.46904992,7,0,2087321.774,2161649.062,13
5855057,-106.3140851,31.46932034,7,0,2088321.774,2161649.062,13
5855058,-106.3036121,31.46959011,7,0,2089321.774,2161649.062,13
5855059,-106.2931391,31.46985922,7,0,2090321.774,2161649.062,13
5855060,-106.2826661,31.47012767,7,0,2091321.774,2161649.062,13
5855061,-106.272193,31.47039547,7,0,2092321.774,2161649.062,13
5855062,-106.2617198,31.47066261,7,0,2093321.774,2161649.062,13
5855063,-106.2512466,31.4709291,7,0,2094321.774,2161649.062,13
5855064,-106.2407734,31.47119493,7,0,2095321.774,2161649.062,13
5858201,-106.670479,31.46873404,7,0,2054321.774,2162649.062,13
5858202,-106.6600069,31.46902611,7,0,2055321.774,2162649.062,13
5858203,-106.6495347,31.46931752,7,0,2056321.774,2162649.062,13
5858204,-106.6390625,31.46960828,7,0,2057321.774,2162649.062,13
5858205,-106.6285903,31.46989839,7,0,2058321.774,2162649.062,13
5858206,-106.618118,31.47018783,7,0,2059321.774,2162649.062,13
5858207,-106.6076456,31.47047663,7,0,2060321.774,2162649.062,13
5858208,-106.5971732,31.47076476,7,0,2061321.774,2162649.062,13
5858209,-106.5867008,31.47105224,7,0,2062321.774,2162649.062,13
5858210,-106.5762283,31.47133907,7,0,2063321.774,2162649.062,13
5858211,-106.5657557,31.47162524,7,0,2064321.774,2162649.062,13
5858212,-106.5552831,31.47191075,7,0,2065321.774,2162649.062,13
5858213,-106.5448105,31.47219561,7,0,2066321.774,2162649.062,13
5858214,-106.5343378,31.47247981,7,0,2067321.774,2162649.062,13
5858215,-106.5238651,31.47276336,7,0,2068321.774,2162649.062,13
5858216,-106.5133923,31.47304625,7,0,2069321.774,2162649.062,13
5858217,-106.5029194,31.47332849,7,0,2070321.774,2162649.062,13
5858218,-106.4924465,31.47361007,7,0,2071321.774,2162649.062,13
5858219,-106.4819736,31.47389099,7,0,2072321.774,2162649.062,13
5858220,-106.4715006,31.47417126,7,0,2073321.774,2162649.062,13
5858221,-106.4610276,31.47445088,7,0,2074321.774,2162649.062,13
5858222,-106.4505545,31.47472983,7,0,2075321.774,2162649.062,13
5858223,-106.4400814,31.47500814,7,0,2076321.774,2162649.062,13
5858224,-106.4296082,31.47528578,7,0,2077321.774,2162649.062,13
5858225,-106.419135,31.47556277,7,0,2078321.774,2162649.062,13
5858226,-106.4086617,31.47583911,7,0,2079321.774,2162649.062,13
5858227,-106.3981884,31.47611479,7,0,2080321.774,2162649.062,13
5858228,-106.3877151,31.47638981,7,0,2081321.774,2162649.062,13
5858229,-106.3772417,31.47666418,7,0,2082321.774,2162649.062,13
5858230,-106.3667682,31.47693789,7,0,2083321.774,2162649.062,13
5858231,-106.3562947,31.47721095,7,0,2084321.774,2162649.062,13
5858232,-106.3458212,31.47748335,7,0,2085321.774,2162649.062,13
5858233,-106.3353476,31.47775509,7,0,2086321.774,2162649.062,13
5858234,-106.3248739,31.47802618,7,0,2087321.774,2162649.062,13
5858235,-106.3144002,31.47829661,7,0,2088321.774,2162649.062,13
5858236,-106.3039265,31.47856639,7,0,2089321.774,2162649.062,13
5858237,-106.2934527,31.47883551,7,0,2090321.774,2162649.062,13
5858238,-106.2829789,31.47910398,7,0,2091321.774,2162649.062,13
5858239,-106.272505,31.47937179,7,0,2092321.774,2162649.062,13
5858240,-106.2620311,31.47963895,7,0,2093321.774,2162649.062,13
5858241,-106.2515572,31.47990545,7,0,2094321.774,2162649.062,13
5858242,-106.2410832,31.48017129,7,0,2095321.774,2162649.062,13
5861379,-106.6708202,31.47770962,7,0,2054321.774,2163649.062,13
5861380,-106.6603473,31.47800171,7,0,2055321.774,2163649.062,13
5861381,-106.6498744,31.47829314,7,0,2056321.774,2163649.062,13
5861382,-106.6394014,31.47858391,7,0,2057321.774,2163649.062,13
5861383,-106.6289284,31.47887403,7,0,2058321.774,2163649.062,13
5861384,-106.6184553,31.47916349,7,0,2059321.774,2163649.062,13
5861385,-106.6079822,31.4794523,7,0,2060321.774,2163649.062,13
5861386,-106.5975091,31.47974045,7,0,2061321.774,2163649.062,13
5861387,-106.5870358,31.48002794,7,0,2062321.774,2163649.062,13
5861388,-106.5765626,31.48031478,7,0,2063321.774,2163649.062,13
5861389,-106.5660893,31.48060097,7,0,2064321.774,2163649.062,13
5861390,-106.5556159,31.48088649,7,0,2065321.774,2163649.062,13
5861391,-106.5451425,31.48117137,7,0,2066321.774,2163649.062,13
5861392,-106.534669,31.48145558,7,0,2067321.774,2163649.062,13
5861393,-106.5241955,31.48173914,7,0,2068321.774,2163649.062,13
5861394,-106.513722,31.48202205,7,0,2069321.774,2163649.062,13
5861395,-106.5032484,31.4823043,7,0,2070321.774,2163649.062,13
5861396,-106.4927747,31.48258589,7,0,2071321.774,2163649.062,13
5861397,-106.482301,31.48286683,7,0,2072321.774,2163649.062,13
5861398,-106.4718273,31.48314711,7,0,2073321.774,2163649.062,13
5861399,-106.4613535,31.48342674,7,0,2074321.774,2163649.062,13
5861400,-106.4508797,31.48370571,7,0,2075321.774,2163649.062,13
5861401,-106.4404058,31.48398403,7,0,2076321.774,2163649.062,13
5861402,-106.4299318,31.48426169,7,0,2077321.774,2163649.062,13
5861403,-106.4194578,31.48453869,7,0,2078321.774,2163649.062,13
5861404,-106.4089838,31.48481504,7,0,2079321.774,2163649.062,13
5861405,-106.3985097,31.48509073,7,0,2080321.774,2163649.062,13
5861406,-106.3880356,31.48536577,7,0,2081321.774,2163649.062,13
5861407,-106.3775614,31.48564015,7,0,2082321.774,2163649.062,13
5861408,-106.3670872,31.48591388,7,0,2083321.774,2163649.062,13
5861409,-106.356613,31.48618695,7,0,2084321.774,2163649.062,13
5861410,-106.3461386,31.48645936,7,0,2085321.774,2163649.062,13
5861411,-106.3356643,31.48673112,7,0,2086321.774,2163649.062,13
5861412,-106.3251899,31.48700222,7,0,2087321.774,2163649.062,13
5861413,-106.3147154,31.48727267,7,0,2088321.774,2163649.062,13
5861414,-106.3042409,31.48754246,7,0,2089321.774,2163649.062,13
5861415,-106.2937664,31.4878116,7,0,2090321.774,2163649.062,13
5861416,-106.2832918,31.48808008,7,0,2091321.774,2163649.062,13
5861417,-106.2728172,31.4883479,7,0,2092321.774,2163649.062,13
5861418,-106.2623425,31.48861507,7,0,2093321.774,2163649.062,13
5861419,-106.2518678,31.48888158,7,0,2094321.774,2163649.062,13
5861420,-106.241393,31.48914744,7,0,2095321.774,2163649.062,13
5864557,-106.6711614,31.48668499,7,0,2054321.774,2164649.062,13
5864558,-106.6606878,31.48697709,7,0,2055321.774,2164649.062,13
5864559,-106.6502141,31.48726854,7,0,2056321.774,2164649.062,13
5864560,-106.6397403,31.48755932,7,0,2057321.774,2164649.062,13
5864561,-106.6292666,31.48784946,7,0,2058321.774,2164649.062,13
5864562,-106.6187927,31.48813893,7,0,2059321.774,2164649.062,13
5864563,-106.6083189,31.48842775,7,0,2060321.774,2164649.062,13
5864564,-106.5978449,31.48871592,7,0,2061321.774,2164649.062,13
5864565,-106.5873709,31.48900343,7,0,2062321.774,2164649.062,13
5864566,-106.5768969,31.48929028,7,0,2063321.774,2164649.062,13
5864567,-106.5664228,31.48957648,7,0,2064321.774,2164649.062,13
5864568,-106.5559487,31.48986202,7,0,2065321.774,2164649.062,13
5864569,-106.5454746,31.49014691,7,0,2066321.774,2164649.062,13
5864570,-106.5350003,31.49043114,7,0,2067321.774,2164649.062,13
5864571,-106.5245261,31.49071471,7,0,2068321.774,2164649.062,13
5864572,-106.5140517,31.49099763,7,0,2069321.774,2164649.062,13
5864573,-106.5035774,31.4912799,7,0,2070321.774,2164649.062,13
5864574,-106.493103,31.4915615,7,0,2071321.774,2164649.062,13
5864575,-106.4826285,31.49184246,7,0,2072321.774,2164649.062,13
5864576,-106.472154,31.49212275,7,0,2073321.774,2164649.062,13
5864577,-106.4616794,31.49240239,7,333,2074321.774,2164649.062,13
5864578,-106.4512048,31.49268138,7,0,2075321.774,2164649.062,13
5864579,-106.4407302,31.49295971,7,0,2076321.774,2164649.062,13
5864580,-106.4302555,31.49323738,7,0,2077321.774,2164649.062,13
5864581,-106.4197807,31.4935144,7,0,2078321.774,2164649.062,13
5864582,-106.4093059,31.49379076,7,0,2079321.774,2164649.062,13
5864583,-106.3988311,31.49406647,7,0,2080321.774,2164649.062,13
5864584,-106.3883562,31.49434152,7,0,2081321.774,2164649.062,13
5864585,-106.3778813,31.49461591,7,0,2082321.774,2164649.062,13
5864586,-106.3674063,31.49488965,7,0,2083321.774,2164649.062,13
5864587,-106.3569313,31.49516273,7,0,2084321.774,2164649.062,13
5864588,-106.3464562,31.49543516,7,0,2085321.774,2164649.062,13
5864589,-106.3359811,31.49570693,7,0,2086321.774,2164649.062,13
5864590,-106.3255059,31.49597805,7,0,2087321.774,2164649.062,13
5864591,-106.3150307,31.49624851,7,0,2088321.774,2164649.062,13
5864592,-106.3045554,31.49651831,7,0,2089321.774,2164649.062,13
5864593,-106.2940801,31.49678746,7,0,2090321.774,2164649.062,13
5864594,-106.2836048,31.49705596,7,0,2091321.774,2164649.062,13
5864595,-106.2731294,31.49732379,7,0,2092321.774,2164649.062,13
5864596,-106.2626539,31.49759097,7,0,2093321.774,2164649.062,13
5864597,-106.2521784,31.4978575,7,0,2094321.774,2164649.062,13
5864598,-106.2417029,31.49812337,7,0,2095321.774,2164649.062,13
5867735,-106.6715027,31.49566015,7,0,2054321.774,2165649.062,13
5867736,-106.6610283,31.49595226,7,0,2055321.774,2165649.062,13
5867737,-106.6505538,31.49624372,7,0,2056321.774,2165649.062,13
5867738,-106.6400793,31.49653452,7,0,2057321.774,2165649.062,13
5867739,-106.6296048,31.49682467,7,0,2058321.774,2165649.062,13
5867740,-106.6191302,31.49711416,7,0,2059321.774,2165649.062,13
5867741,-106.6086555,31.49740299,7,0,2060321.774,2165649.062,13
5867742,-106.5981808,31.49769117,7,0,2061321.774,2165649.062,13
5867743,-106.5877061,31.4979787,7,0,2062321.774,2165649.062,13
5867744,-106.5772313,31.49826556,7,0,2063321.774,2165649.062,13
5867745,-106.5667565,31.49855178,7,0,2064321.774,2165649.062,13
5867746,-106.5562816,31.49883733,7,0,2065321.774,2165649.062,13
5867747,-106.5458067,31.49912223,7,0,2066321.774,2165649.062,13
5867748,-106.5353317,31.49940648,7,0,2067321.774,2165649.062,13
5867749,-106.5248566,31.49969007,7,0,2068321.774,2165649.062,13
5867750,-106.5143815,31.499973,7,0,2069321.774,2165649.062,13
5867751,-106.5039064,31.50025528,7,0,2070321.774,2165649.062,13
5867752,-106.4934312,31.5005369,7,0,2071321.774,2165649.062,13
5867753,-106.482956,31.50081786,7,0,2072321.774,2165649.062,13
5867754,-106.4724807,31.50109817,7,0,2073321.774,2165649.062,13
5867755,-106.4620054,31.50137783,7,0,2074321.774,2165649.062,13
5867756,-106.45153,31.50165683,7,0,2075321.774,2165649.062,13
5867757,-106.4410546,31.50193517,7,0,2076321.774,2165649.062,13
5867758,-106.4305792,31.50221286,7,0,2077321.774,2165649.062,13
5867759,-106.4201037,31.50248989,7,0,2078321.774,2165649.062,13
5867760,-106.4096281,31.50276626,7,0,2079321.774,2165649.062,13
5867761,-106.3991525,31.50304198,7,0,2080321.774,2165649.062,13
5867762,-106.3886768,31.50331705,7,0,2081321.774,2165649.062,13
5867763,-106.3782011,31.50359146,7,0,2082321.774,2165649.062,13
5867764,-106.3677254,31.50386521,7,0,2083321.774,2165649.062,13
5867765,-106.3572496,31.50413831,7,0,2084321.774,2165649.062,13
5867766,-106.3467738,31.50441075,7,0,2085321.774,2165649.062,13
5867767,-106.3362979,31.50468253,7,0,2086321.774,2165649.062,13
5867768,-106.3258219,31.50495366,7,0,2087321.774,2165649.062,13
5867769,-106.315346,31.50522413,7,0,2088321.774,2165649.062,13
5867770,-106.3048699,31.50549395,7,0,2089321.774,2165649.062,13
5867771,-106.2943939,31.50576311,7,0,2090321.774,2165649.062,13
5867772,-106.2839177,31.50603162,7,0,2091321.774,2165649.062,13
5867773,-106.2734416,31.50629947,7,0,2092321.774,2165649.062,13
5867774,-106.2629654,31.50656667,7,0,2093321.774,2165649.062,13
5867775,-106.2524891,31.5068332,7,0,2094321.774,2165649.062,13
5867776,-106.2420128,31.50709909,7,0,2095321.774,2165649.062,13
5870913,-106.671844,31.50463509,7,0,2054321.774,2166649.062,13
5870914,-106.6613688,31.50492722,7,0,2055321.774,2166649.062,13
5870915,-106.6508936,31.50521869,7,0,2056321.774,2166649.062,13
5870916,-106.6404184,31.5055095,7,0,2057321.774,2166649.062,13
5870917,-106.629943,31.50579967,7,0,2058321.774,2166649.062,13
5870918,-106.6194677,31.50608917,7,0,2059321.774,2166649.062,13
5870919,-106.6089923,31.50637802,7,0,2060321.774,2166649.062,13
5870920,-106.5985168,31.50666621,7,0,2061321.774,2166649.062,13
5870921,-106.5880413,31.50695375,7,0,2062321.774,2166649.062,13
5870922,-106.5775658,31.50724063,7,0,2063321.774,2166649.062,13
5870923,-106.5670902,31.50752686,7,0,2064321.774,2166649.062,13
5870924,-106.5566145,31.50781243,7,0,2065321.774,2166649.062,13
5870925,-106.5461388,31.50809734,7,0,2066321.774,2166649.062,13
5870926,-106.535663,31.5083816,7,0,2067321.774,2166649.062,13
5870927,-106.5251873,31.5086652,7,0,2068321.774,2166649.062,13
5870928,-106.5147114,31.50894815,7,0,2069321.774,2166649.062,13
5870929,-106.5042355,31.50923044,7,0,2070321.774,2166649.062,13
5870930,-106.4937596,31.50951208,7,0,2071321.774,2166649.062,13
5870931,-106.4832836,31.50979306,7,0,2072321.774,2166649.062,13
5870932,-106.4728075,31.51007338,7,0,2073321.774,2166649.062,13
5870933,-106.4623314,31.51035305,7,0,2074321.774,2166649.062,13
5870934,-106.4518553,31.51063206,7,0,2075321.774,2166649.062,13
5870935,-106.4413791,31.51091042,7,0,2076321.774,2166649.062,13
5870936,-106.4309029,31.51118812,7,0,2077321.774,2166649.062,13
5870937,-106.4204266,31.51146517,7,0,2078321.774,2166649.062,13
5870938,-106.4099503,31.51174155,7,0,2079321.774,2166649.062,13
5870939,-106.3994739,31.51201729,7,0,2080321.774,2166649.062,13
5870940,-106.3889975,31.51229237,7,0,2081321.774,2166649.062,13
5870941,-106.3785211,31.51256679,7,0,2082321.774,2166649.062,13
5870942,-106.3680445,31.51284055,7,0,2083321.774,2166649.062,13
5870943,-106.357568,31.51311366,7,0,2084321.774,2166649.062,13
5870944,-106.3470914,31.51338612,7,0,2085321.774,2166649.062,13
5870945,-106.3366147,31.51365792,7,0,2086321.774,2166649.062,13
5870946,-106.326138,31.51392906,7,0,2087321.774,2166649.062,13
5870947,-106.3156613,31.51419955,7,0,2088321.774,2166649.062,13
5870948,-106.3051845,31.51446938,7,0,2089321.774,2166649.062,13
5870949,-106.2947077,31.51473855,7,0,2090321.774,2166649.062,13
5870950,-106.2842308,31.51500707,7,0,2091321.774,2166649.062,13
5870951,-106.2737539,31.51527493,7,0,2092321.774,2166649.062,13
5870952,-106.2632769,31.51554214,7,1359,2093321.774,2166649.062,13
5870953,-106.2527999,31.51580869,7,0,2094321.774,2166649.062,13
5870954,-106.2423228,31.51607459,7,0,2095321.774,2166649.062,13
5874091,-106.6721854,31.51360981,7,0,2054321.774,2167649.062,13
5874092,-106.6617094,31.51390196,7,0,2055321.774,2167649.062,13
5874093,-106.6512335,31.51419344,7,0,2056321.774,2167649.062,13
5874094,-106.6407574,31.51448427,7,0,2057321.774,2167649.062,13
5874095,-106.6302814,31.51477445,7,0,2058321.774,2167649.062,13
5874096,-106.6198052,31.51506397,7,0,2059321.774,2167649.062,13
5874097,-106.6093291,31.51535283,7,0,2060321.774,2167649.062,13
5874098,-106.5988528,31.51564104,7,0,2061321.774,2167649.062,13
5874099,-106.5883766,31.51592859,7,0,2062321.774,2167649.062,13
5874100,-106.5779002,31.51621548,7,0,2063321.774,2167649.062,13
5874101,-106.5674239,31.51650172,7,0,2064321.774,2167649.062,13
5874102,-106.5569475,31.51678731,7,0,2065321.774,2167649.062,13
5874103,-106.546471,31.51707224,7,0,2066321.774,2167649.062,13
5874104,-106.5359945,31.51735651,7,0,2067321.774,2167649.062,13
5874105,-106.5255179,31.51764013,7,0,2068321.774,2167649.062,13
