DB,Prof ID.,Chem.,Wt.,Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,in DB,Code,Fract.,Description,Seq,Profile Start,,APIN,BCARY,BENZENE,BIGALD2,BIGALK,BIGENE,BPIN,BZALD,BZOOH,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H8,CH2O,CH3CHO,CH3COCH3,CH3COCHO,CH3COOH,CH3COOOH,CH3OH,CH4,CO,CRESOL,GLYALD,GLYOXAL,HCOOH,HYAC,ISOP,LIMON,MACR,MBO,MEK,MVK,MYRC,PHENOL,TERPROD1,TERPROD2,TOLUENE,XYLENES,NROG,NVOL
EPA,0,43776,0.0067,HEXAMETHYLENEDIAMINE,19491,,C124-09-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43374,0.0066,DIPROPYLENE GLYCOL,19492,,C110-98-5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,45731,0.0066,TOLUENE DIISOCYANATE,19493,,C584-84-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.2,0
EPA,0,43804,0.0065,CARBON TETRACHLORIDE,19494,,C56-23-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,0
EPA,0,45203,0.0065,ETHYLBENZENE,19495,,C100-41-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EPA,0,43118,0.0064,MINERAL SPIRITS,19496,,C64475-85-0,0.0006554,0,0,0,0.7684,0.06133,0.0002521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004897,0,0,0,0,0,0.0001008,0,0,0.006181,0,0,0,0,0,0.01198,0.142,0.4945,0
EPA,0,43351,0.0062,ETHYL ETHER,19497,,C60-29-7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA,0,43811,0.0061,TRICHLOROFLUOROMETHANE,19498,,C75-69-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.4,0
EPA,0,45204,0.0059,O-XYLENE,19499,,C95-47-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EPA,0,43435,0.0058,N-BUTYLACETATE,19500,,C123-86-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
