GRIDCODE,LONG,LATITUDE,Pob,UTMX,UTMY,UTMZ,
255,216,"Emisiones Guanajauto EI 2016 V4.0",,,,,
1775153,-99.73549622,19.88323068,6,226,2736321.774,877649.0616,14
1775154,-99.72591553,19.88308726,6,8,2737321.774,877649.0616,14
1775155,-99.71633486,19.88294324,6,403,2738321.774,877649.0616,14
1775156,-99.70675422,19.88279861,6,497,2739321.774,877649.0616,14
1775157,-99.69717359,19.88265338,6,0,2740321.774,877649.0616,14
1775158,-99.68759298,19.88250754,6,0,2741321.774,877649.0616,14
1775159,-99.6780124,19.88236109,6,0,2742321.774,877649.0616,14
1775160,-99.66843183,19.88221404,6,0,2743321.774,877649.0616,14
1778084,-102.1023372,19.90917254,6,0,2489321.774,878649.0616,14
1778085,-102.0927535,19.90917871,6,0,2490321.774,878649.0616,14
1778086,-102.0831697,19.90918427,6,0,2491321.774,878649.0616,14
1778087,-102.073586,19.90918922,6,0,2492321.774,878649.0616,14
1778088,-102.0640023,19.90919357,6,0,2493321.774,878649.0616,14
1778089,-102.0544186,19.90919731,6,0,2494321.774,878649.0616,14
1778090,-102.0448348,19.90920045,6,0,2495321.774,878649.0616,14
1778091,-102.0352511,19.90920298,6,0,2496321.774,878649.0616,14
1778092,-102.0256674,19.9092049,6,73,2497321.774,878649.0616,14
1778093,-102.0160837,19.90920622,6,1761,2498321.774,878649.0616,14
1778094,-102.0064999,19.90920694,6,4219,2499321.774,878649.0616,14
1778095,-101.9969162,19.90920704,6,2359,2500321.774,878649.0616,14
1778096,-101.9873325,19.90920655,6,119,2501321.774,878649.0616,14
1778097,-101.9777488,19.90920544,6,0,2502321.774,878649.0616,14
1778098,-101.968165,19.90920373,6,0,2503321.774,878649.0616,14
1778099,-101.9585813,19.90920142,6,0,2504321.774,878649.0616,14
1778100,-101.9489976,19.9091985,6,0,2505321.774,878649.0616,14
1778101,-101.9394138,19.90919497,6,0,2506321.774,878649.0616,14
1778102,-101.9298301,19.90919084,6,0,2507321.774,878649.0616,14
1778103,-101.9202464,19.9091861,6,0,2508321.774,878649.0616,14
1778104,-101.9106627,19.90918076,6,0,2509321.774,878649.0616,14
1778105,-101.901079,19.90917481,6,0,2510321.774,878649.0616,14
1778106,-101.8914952,19.90916825,6,0,2511321.774,878649.0616,14
1778107,-101.8819115,19.90916109,6,0,2512321.774,878649.0616,14
1778108,-101.8723278,19.90915333,6,0,2513321.774,878649.0616,14
1778109,-101.8627441,19.90914495,6,0,2514321.774,878649.0616,14
1778110,-101.8531604,19.90913598,6,0,2515321.774,878649.0616,14
1778111,-101.8435766,19.90912639,6,0,2516321.774,878649.0616,14
1778112,-101.8339929,19.9091162,6,0,2517321.774,878649.0616,14
1778113,-101.8244092,19.90910541,6,0,2518321.774,878649.0616,14
1778114,-101.8148255,19.90909401,6,0,2519321.774,878649.0616,14
1778115,-101.8052418,19.909082,6,0,2520321.774,878649.0616,14
1778116,-101.7956581,19.90906939,6,0,2521321.774,878649.0616,14
