GRIDCODE,CVENTMUN,Fterraceria
1829011,11046,0.00801181
1829013,11046,0.007118194
1829014,11021,0.035648279
1829014,11046,0.001012448
1829015,11021,0.015230637
1829045,16078,0.012169698
1829046,16078,0.026470832
1829062,11002,0.003602385
1829063,11002,0.001057764
1829075,11002,0.000175676
1829077,11002,0.000152798
1829078,11002,0.001949316
1829079,11002,0.003592922
1829080,11002,0.004200931
1829081,11002,0.002647657
1829101,11019,0.005137602
1829102,11019,0.00125889
1829106,11019,0.010037968
1829117,16031,0.005338436
1829118,16031,0.021594893
1829132,16017,0.004426764
1829133,16017,0.008214764
1829135,15085,0.002131742
1829136,15085,0.007037129
1829137,15085,0.000219808
1829147,15001,0.002961101
1829147,22001,0.002233868
1829148,15001,0.005766999
1829149,15001,0.005477516
1829150,15001,0.00556948
1829151,15001,0.002035108
1829165,15003,0.002903129
1829166,15003,0.012014333
1829167,15003,0.003563173
1829179,15003,0.00893134
1829180,15003,0.010492238
1829181,15003,0.006906511
1832126,16067,0.00537795
1832127,16067,0.002460559
1832140,16063,0.013390309
1832162,16071,0.004213584
1832163,16071,0.009362039
1832169,16071,0.004022049
1832187,11046,0.00598134
1832188,11046,0.00478999
1832193,11021,0.028425006
1832194,11021,0.037120059
1832195,11021,0.003706271
1832224,16078,0.007498447
1832225,11028,0.002919652
1832225,16078,0.020102519
1832241,11002,0.00427249
1832242,11002,0.00014443
1832252,11002,0.008180113
1832253,11002,0.003389511
1832259,11002,0.004195337
1832280,11019,0.006521869
1832283,11019,0.008287077
1832284,11019,0.002494886
1832311,16017,0.01116305
1832313,15085,0.001526136
1832313,16017,0.004622753
1832322,22001,0.001565647
1832323,22001,0.004519124
1832324,22001,0.004396589
1832325,22001,0.001109752
1832343,15003,0.00498058
1832359,15003,0.014401255
1835304,16067,0.000879991
1835305,16067,0.006966893
1835318,16063,0.013276481
1835341,16071,0.003776864
1835342,16071,0.004476196
1835347,16071,0.004315795
1835362,11046,0.007018528
1835362,16071,0.004745482
1835363,11046,0.002264039
1835364,11046,0.009808366
1835365,11046,0.008241728
1835373,11021,0.03311826
1835374,11021,0.043747287
1835375,11021,0.036276451
1835376,11021,0.035096415
1835395,16078,0.001975972
1835396,16078,0.015806881
1835402,16078,0.004491924
1835403,16078,0.023218924
1835420,11002,0.004275569
1835428,11002,0.002410313
1835429,11002,0.008771779
1835430,11002,0.000505464
1835458,11019,0.005205989
1835459,11019,0.003352784
1835461,11019,0.010393913
1835486,16017,0.0122777
1835487,16017,0.010916151
1835488,16017,0.011289833
1835489,16017,0.004541789
1835491,16017,0.000308678
1835491,22001,0.000933368
1835492,22001,0.005576992
1835493,22001,0.000668474
1835537,15003,0.011429161
1838483,16067,0.007248735
1838496,16063,0.015609193
1838520,16071,0.007980423
1838525,16071,0.001576832
1838526,16071,0.004608818
1838527,16071,0.001973258
1838540,11046,0.00429401
1838540,16071,0.009120082
1838541,11046,0.007042146
1838554,11021,0.002043935
1838555,11021,0.0071599
1838572,16078,0.016304326
1838573,11046,0.000446742
1838573,16078,0.030788215
1838580,16078,0.001285292
1838598,11002,0.001589192
1838599,11002,0.001342087
1838604,11002,0.005683892
1838605,11002,0.008470665
1838606,11002,0.005464343
1838637,11019,0.002232561
1838638,11019,0.01289978
1838639,11019,0.001196341
1838664,16017,0.009447777
1838664,16031,0.00346411
1838670,22001,0.005163182
1838671,22001,0.005350503
1838715,15003,0.010295375
1838716,15003,0.002842345
1841661,16067,0.006922491
1841674,16063,0.015924991
1841698,16071,0.008553165
1841705,16071,0.00183108
1841707,16071,0.002569091
1841711,16071,0.001189472
1841712,16071,0.004910242
1841713,16071,0.0039982
1841714,16071,0.00395033
