GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Pob total,Suma de POB  RURAL EN CELL,Suma de POB URBANA en CELL
1775078,16050,0.05572494,,0.029604525,2376,,2376
1775079,16050,0.127914067,,0.067955842,5454,,5454
1775080,16050,0.084009569,,0.044631065,3582,,3582
1775081,16050,0.035719311,,0.018976301,1523,,1523
1775082,16050,0.001758994,0.000239234,0.001046625,84,9,75
1775083,16050,,0.000132908,6.22991E-05,5,5,
1775087,16050,,0.020255183,0.009494381,762,762,
1775090,16050,,0.050425306,0.023636273,1897,1897,
1775100,16050,,0.010180755,0.00477211,383,383,
1775102,16017,,0.022141119,0.019329975,637,637,
1775103,16017,,0.040180744,0.035079201,1156,1156,
1775107,16017,,0.007646854,0.006675973,220,220,
1775139,15014,,0.010134986,0.010134986,458,458,
1775151,15102,,0.024838687,0.023260347,358,358,
1775152,15102,,0.025671269,0.024040023,370,370,
1775153,15102,0.231083845,,0.014683906,226,,226
1775154,15102,0.008179959,,0.000519784,8,,8
1775155,15102,,0.027960869,0.026184134,403,403,
1775156,15102,,0.034482759,0.032291599,497,497,
1778092,16070,0.005268476,,0.004769371,73,,73
1778093,16070,0.127092956,,0.11505292,1761,,1761
1778094,16070,0.30448903,,0.275643538,4219,,4219
1778095,16070,0.170251155,,0.154122566,2359,,2359
1778096,16070,0.008588337,,0.007774729,119,,119
1778120,16044,,0.016175493,0.010998117,146,146,
1778122,16044,,0.000997119,0.000677966,9,9,
1778124,16044,,0.103922003,0.070659134,938,938,
1778140,16037,,0.011814658,0.008017036,64,64,
1778144,16037,,0.030828872,0.020919454,167,167,
1778146,16037,0.014809041,,0.004760115,38,,38
1778147,16037,0.016367888,0.001107624,0.006012777,48,6,42
1778161,16027,,0.035141974,0.024196671,125,125,
1778164,16027,0.078931013,,0.024583817,127,,127
1778165,16027,0.075201989,0.001405679,0.024390244,126,5,121
1778170,16018,,0.021232877,0.013851653,124,124,
1778171,16018,,0.001541096,0.001005362,9,9,
1778172,16018,,0.165924658,0.108243968,969,969,
1778201,16003,,0.005451842,0.005451842,66,66,
1778219,16110,,0.005041732,0.002550036,119,119,
1778231,16110,0.00940901,0.005507774,0.007435821,347,130,217
1778232,16110,0.029311018,,0.014485921,676,,676
1778233,16110,0.001127347,0.000804982,0.000964299,45,19,26
1778237,16110,,0.008770072,0.004435778,207,207,
1778239,16110,,0.004787527,0.002421463,113,113,
1778243,16050,,0.012626263,0.005918413,475,475,
1778246,16050,,0.005608719,0.002629021,211,211,
1778251,16050,,0.005741627,0.00269132,216,216,
1778254,16050,7.03598E-05,,3.73795E-05,3,,3
1778255,16050,0.011890802,,0.006317127,507,,507
1778256,16050,0.047094141,,0.025019313,2008,,2008
1778257,16050,0.067850274,,0.036046251,2893,,2893
1778258,16050,0.011093391,5.31632E-05,0.005918413,475,2,473
1778259,16050,0.009897275,0.001834131,0.00611777,491,69,422
1778260,16050,,0.000478469,0.000224277,18,18,
1778262,16050,,0.001807549,0.000847268,68,68,
1778263,16050,0.000422159,,0.000224277,18,,18
1778264,16050,0.004221586,,0.002242767,180,,180
1778265,16050,0.003963601,,0.002105709,169,,169
1778272,16017,,0.015119917,0.013200218,435,435,
