GRIDCODE,CVENTMUN,Fpav
1806820,11002,0.007305469
1806821,11002,0.00758834
1806822,11002,0.005455581
1806827,11002,0.002251968
1806828,11002,0.007849548
1806850,11038,0.054628793
1806851,11038,0.043857166
1806882,16017,0.001440087
1806883,16017,0.01133506
1806898,15085,0.011526649
1806899,15085,0.011532716
1806900,15085,0.01663608
1806901,15085,0.009538108
1806919,15001,0.015907818
1809869,16094,0.065980839
1809886,16067,0.025324802
1809887,16063,0.006853519
1809887,16067,0.022436319
1809888,16063,0.022109458
1809889,16063,0.003920961
1809890,16063,0.027805662
1809891,16063,0.026394322
1809892,16063,0.026954304
1809893,16063,0.02623601
1809894,16063,0.020639366
1809933,16054,0.015732721
1809934,16054,0.023503079
1809935,16054,0.023049489
1809936,16054,0.023036571
1809937,16054,0.023585242
1809941,16054,0.017440575
1809942,16054,0.023759547
1809943,16054,0.023084487
1809944,16036,0.011261933
1809944,16054,0.017944273
1809945,16036,0.048521294
1809963,16020,0.029701242
1809978,16078,0.005313414
1809979,16078,0.028118115
1809980,16078,0.028448658
1809981,16078,0.009070795
1810000,11002,0.002375171
1810001,11002,0.007870325
1810006,11002,0.002231539
1810007,11002,0.006635981
1810028,11038,0.052184241
1810060,16017,0.014859132
1810075,15085,0.01142047
1810076,15085,0.00246192
1810078,15085,0.002131274
1810079,15085,0.010487728
1810096,15001,0.003068116
1810097,15001,0.009157395
1813047,16094,0.066938028
1813063,16067,0.03198314
1813064,16067,0.010270936
1813110,16054,0.043075658
1813111,16054,0.023370435
1813115,16054,7.64515E-05
1813116,16054,0.024291635
1813117,16054,0.02464683
1813118,16054,0.015025821
1813119,16054,0.017994395
1813120,16054,0.02394232
1813141,16020,0.027525224
1813154,16078,0.009324617
1813155,16078,0.031543438
1813156,16078,0.025235594
1813179,11002,0.003207839
1813180,11002,0.007173289
1813181,11002,0.00703653
1813182,11002,0.009381621
1813183,11002,0.007208139
1813184,11002,0.007483628
1813185,11002,0.011449452
1813205,11038,0.042228559
1813206,11038,0.015324832
1813207,11038,0.030228355
1813237,16017,0.015032784
1813238,16017,9.76727E-05
1813252,15085,0.003269899
1813253,15085,0.010612721
1813255,15085,0.002434333
1813256,15085,0.011886053
1813257,15085,0.009299477
1813274,15001,0.011630089
1816224,16094,0.019718443
1816225,16094,0.049481644
1816240,16067,0.036209508
1816241,16067,0.004606467
1816288,16054,0.026024383
1816296,16054,0.012451004
1816297,16054,0.023463581
1816298,16054,0.026312791
1816319,16020,0.027514499
1816331,16078,0.012440935
1816332,16078,0.02523969
1816333,16078,0.026171468
1816359,11002,0.004766501
1816360,11002,0.005522435
1816363,11002,0.007123338
1816383,11038,0.09758088
1816384,11038,0.063066525
1816385,11038,0.019811459
1816414,16017,0.01437651
1816415,16017,0.001277872
1816430,15085,0.008527442
1816432,15085,0.009734159
1816433,15085,0.010629727
1816450,15001,0.000153622
1816451,15001,0.013757253
1816452,15001,0.014458207
1819402,16094,0.068377652
1819417,16067,0.037941893
1819418,16067,0.001615608
1819465,16054,0.022964457
1819466,16054,0.016602801
1819497,16020,0.027545238
1819508,16078,0.015665321
1819509,16078,0.02277721
1819511,16078,0.026091633
1819537,11002,0.007004825
1819541,11002,0.00506904
1819542,11002,0.002718856
1819556,11002,0.004056113
1819557,11002,0.004256866
1819557,11038,0.024201879
1819558,11038,0.052258838
1819559,11038,0.052345671
1819560,11038,0.0522813
