GRIDCODE	CVENTMUN	Ft
56855	20347	0.103634474
56855	20347	0.15497863
56856	20347	0.291348785
56857	20347	0.168102861
56857	20347	0.066648079
56858	20347	0.095590497
56876	20125	0.080031067
56877	20125	0.117373851
56878	20125	0.032606738
56878	20410	0.018344253
56879	20410	0.007757578
56879	20008	0.208063122
56952	07097	0.012178276
56953	07097	0.033981096
56966	07107	0.007633301
56966	07107	0.010532518
56967	07107	0.053182442
56968	07107	0.031528743
56971	07107	0.055458869
56980	07020	0.001013378
56980	07107	0.005079136
56980	07107	0.005180757
56980	07020	0.000642162
56980	07107	0.009065898
56983	07020	0.082379237
57012	07099	0.019096972
57013	07099	0.036340572
57014	07099	0.033986415
57015	07099	0.008072445
57019	07099	0.021297734
57020	07099	0.015193813
57862	20414	0.179780235
57863	20414	0.000694873
57865	20467	0.000635354
57866	20467	0.007011228
57873	20467	0.003707641
57874	20467	0.001934897
57875	20543	0.175376976
57875	20543	0.011279894
57876	20334	0.039095621
57876	20543	0.426658346
57881	20272	0.079982316
57882	20272	0.376515058
57883	20272	0.412688618
57883	20364	0.056184499
57883	20213	0.003801733
57883	20364	0.017108791
57884	20364	0.031685884
57884	20364	0.085238028
57884	20364	0.004513842
57884	20364	0.008108293
57884	20364	0.007639485
57884	20364	0.008599343
57884	20364	0.115830907
57888	20364	0.009600594
57888	20202	0.022977828
57889	20202	0.097676374
57889	20202	0.036312687
57889	20202	0.051073723
57890	20202	0.026567058
57894	20159	0.017598227
57895	20159	0.030598777
57896	20159	0.001568188
57899	20159	0.026778991
57900	20159	0.01076556
57902	20291	0.052075332
57903	20291	0.00449178
57903	20291	0.003980502
57903	20059	0.024644018
57903	20291	0.107545401
57904	20059	0.107960159
57905	20059	0.055126452
57905	20291	0.00196749
57908	20391	0.046104332
57908	20533	0.143648122
57909	20391	0.241144227
57909	20533	0.217449593
57912	20095	0.646934913
57937	20125	0.036700513
57937	20410	0.019955649
57938	20008	0.030342382
57938	20008	0.007690017
57939	20008	0.029626304
57939	20008	0.160194986
58012	07097	0.047733592
58013	07097	0.061071018
58025	07107	0.011519222
58025	07107	0.01991698
58025	07107	0.039912101
58026	07107	0.009364987
58030	07107	0.015002388
58031	07107	0.047863518
58039	07107	0.006244433
58039	07107	0.005928108
58039	07107	0.050400268
58042	07020	0.01958906
58043	07020	0.018814776
58043	07020	0.018315816
58053	07020	0.030331096
58066	07104	0.022920855
58071	07099	0.010549937
58071	07099	0.023790976
58073	07099	0.006241706
58079	07099	0.000592814
58908	20482	0.159515245
58909	20482	0.07722877
58921	20414	0.12080483
58921	20414	0.031741494
58922	20414	0.005465886
58923	20367	0.164057578
58925	20467	0.075000988
58934	20543	0.338595681
58941	20213	0.155269116
58942	20213	0.60015414
58942	20272	0.130814007
58942	20364	0.001969117
58943	20213	0.017666578
58943	20364	0.028428819
58948	20364	0.018704411
58948	20202	0.019937774
58949	20364	0.000919199
58949	20202	0.018732868
58953	20159	0.03146674
58963	20059	0.024670743
58964	20059	0.009721768
58965	20059	0.058875921
