GRIDCODE,CVENTMUN,Fr
245577,31045,1
242397,31048,1
259353,31050,1
233946,31056,1
271000,31059,1
258328,31060,1
251955,31064,1
254067,31067,1
246667,31069,1
250887,31076,1
263615,31077,1
261489,31078,1
230773,31079,1
268909,31084,1
236060,31089,1
255160,31091,1
260419,31093,1
259359,31095,1
269993,31096,1
259383,31097,1
253044,31099,1
255113,31101,1
251990,31102,1
316089,32005,1
341504,32006,1
380731,32007,1
299158,32008,1
340407,32009,1
325617,32010,1
301273,32012,1
318206,32013,1
360575,32014,1
307622,32017,1
288578,32024,1
298099,32025,1
376462,32026,1
311854,32032,1
292819,32035,1
302331,32036,1
301304,32038,1
349965,32039,1
344662,32040,1
376513,32041,1
342532,32042,1
347866,32051,1
295998,32054,1
308680,32056,1
