GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
15703,7089,0.015103887,0.017395091,0.015727834,3522,1518,5040
15704,7089,,0.024293539,0.006615676,,2120,2120
15705,7089,,0.001249055,0.000340146,,109,109
15706,7089,0.003885327,0.000618798,0.002995778,906,54,960
15707,7089,0.136363831,0.000309399,0.099313156,31798,27,31825
15708,7089,0.067409996,,0.049052741,15719,,15719
15709,7102,,0.032040637,0.026075205,,984,984
15710,7102,0.182607458,0.118556869,0.13048202,1283,3641,4924
15711,7102,0.044264162,0.077268731,0.071123831,311,2373,2684
16752,7040,,0.000465694,0.000175237,,9,9
16757,7037,,0.029935484,0.017342423,,580,580
16758,7037,,0.010270968,0.005950245,,199,199
16759,7037,,0.004232258,0.00245186,,82,82
16760,7037,,0.000774194,0.000448511,,15,15
16760,7054,,6.46E-05,3.76E-05,,1,1
16761,7037,,0.015225806,0.008820715,,295,295
16762,7037,,0.011458065,0.006637962,,222,222
16763,7037,,0.000516129,0.000299007,,10,10
16763,7089,,0.004022185,0.001095331,,351,351
16764,7089,,0.003598194,0.000979869,,314,314
16765,7089,,0.004033644,0.001098452,,352,352
16766,7089,0.02260437,0.013395824,0.020096676,5271,1169,6440
16767,7089,0.00527907,0.019480668,0.009146484,1231,1700,2931
16768,7102,,0.061020481,0.049659485,,1874,1874
16769,7102,0.162823797,0.014913223,0.042451705,1144,458,1602
16770,7102,0.610304583,0.044902478,0.15017092,4288,1379,5667
17808,7040,,0.009158646,0.003446329,,177,177
17809,7040,,0.014798717,0.005568644,,286,286
17817,7037,,0.0816,0.047273053,,1581,1581
17819,7037,0.002700974,0.08836129,0.052326277,38,1712,1750
17820,7037,0.057999858,0.017548387,0.034565243,816,340,1156
17821,7037,,0.013832258,0.008013396,,268,268
17822,7037,,0.087070968,0.050442531,,1687,1687
17823,7037,,0.019612903,0.011362277,,380,380
17823,7089,,0.000859441,0.000234045,,75,75
17824,7089,,0.008032911,0.002187542,,701,701
17825,7089,,0.025107144,0.006837239,,2191,2191
17826,7089,,0.024453968,0.006659364,,2134,2134
17827,7102,,0.005926215,0.004822853,,182,182
17828,7015,0.042975898,,0.018762411,822,,822
17828,7102,,0.09289831,0.075602194,,2853,2853
17829,7015,0.045642286,,0.019926502,873,,873
17829,7102,,0.073459021,0.059782177,,2256,2256
18874,7037,,0.007845161,0.004544911,,152,152
18874,7040,,0.00481217,0.001810783,,93,93
18875,7037,,0.00036129,0.000209305,,7,7
18876,7037,,0.045264516,0.02622294,,877,877
18877,7037,,0.025393548,0.014711159,,492,492
18878,7037,0.019617599,0.053935484,0.039498864,276,1045,1321
18879,7037,0.570829483,0.039948387,0.263275924,8031,774,8805
18880,7037,0.348852086,0.041393548,0.170733166,4908,802,5710
18881,7037,,0.043716129,0.025325918,,847,847
18882,7089,,0.003242958,0.00088313,,283,283
18883,7089,,0.008227718,0.002240592,,718,718
18884,7089,,0.003987807,0.001085969,,348,348
18885,7089,,0.005626475,0.001532216,,491,491
18886,7089,0.011398675,0.016799212,0.012869362,2658,1466,4124
18887,7015,0.47649919,0.013368984,0.215562302,9114,330,9444
18887,7089,7.72E-05,,5.62E-05,18,,18
18888,7015,0.301249543,0.043347918,0.155942572,5762,1070,6832
19930,7040,,5.17E-05,1.95E-05,,1,1
19931,7040,,0.015057436,0.005665998,,291,291
19932,7040,,0.048690883,0.018322008,,941,941
19933,7040,,0.008020284,0.003017972,,155,155
19934,7037,,0.000258065,0.000149504,,5,5
19934,7040,,0.047656007,0.017932592,,921,921
19935,7037,,0.002580645,0.001495036,,50,50
19936,7037,,0.014193548,0.008222701,,275,275
19936,7103,,0.001805293,0.001457156,,41,41
19937,7037,,0.012954839,0.007505083,,251,251
19938,7037,,0.087587097,0.050741538,,1697,1697
19939,7037,,0.016051613,0.009299127,,311,311
19940,7037,,0.017290323,0.010016744,,335,335
19940,7089,,0.008720464,0.002374778,,761,761
19941,7089,,0.002005363,0.000546105,,175,175
19942,7089,,0.014931359,0.004066144,,1303,1303
19943,7089,,0.025966585,0.007071284,,2266,2266
19944,7015,,0.006117323,0.003446623,,151,151
19944,7089,,0.022597575,0.006153827,,1972,1972
19945,7015,0.133580802,0.009358289,0.063591336,2555,231,2786
19945,7089,,0.008330851,0.002268678,,727,727
19946,7015,,0.107843137,0.060760996,,2662,2662
19947,7015,,0.206773619,0.116500422,,5104,5104
19948,7105,0.176799876,0.159310525,0.167293633,1137,1220,2357
19949,7105,0.408179132,0.002481066,0.187664135,2625,19,2644
20982,7003,,0.00010591,7.25E-05,,2,2
20983,7003,,0.00021182,0.000145033,,4,4
20987,7071,,0.000289883,0.000215061,,6,6
20988,7071,,0.022176056,0.016452203,,459,459
20989,7071,,0.000579766,0.000430123,,12,12
20990,7040,,0.0016558,0.000623065,,32,32
20991,7040,,0.005898789,0.002219669,,114,114
20992,7040,,0.153058057,0.057594579,,2958,2958
20994,7040,,0.059194867,0.022274577,,1144,1144
20995,7103,,0.043987495,0.035504851,,999,999
20996,7037,,0.002890323,0.001674441,,56,56
20996,7103,,0.018493241,0.014926964,,420,420
20997,7037,,0.0336,0.019465375,,651,651
20997,7103,,0.000660473,0.000533106,,15,15
20998,7037,,0.109729032,0.063568951,,2126,2126
20999,7037,,0.041806452,0.024219591,,810,810
20999,7089,,5.73E-05,1.56E-05,,5,5
21000,7037,,0.014296774,0.008282502,,277,277
21000,7089,,0.019996333,0.00544545,,1745,1745
21001,7089,,0.016604405,0.004521752,,1449,1449
21002,7089,,0.0029221,0.000795753,,255,255
21003,7015,,0.074096581,0.041747506,,1829,1829
21003,7089,,0.015023033,0.004091109,,1311,1311
21004,7015,,0.080781073,0.045513684,,1994,1994
21005,7015,,0.001944579,0.001095615,,48,48
21006,7015,,0.042983309,0.024217662,,1061,1061
21006,7105,,0.252285192,0.137128256,,1932,1932
21007,7105,,0.163489162,0.088863652,,1252,1252
21008,7105,0.219406002,0.081875163,0.144651856,1411,627,2038
