GRIDCODE,CVENTMUN,Fter
1295227,15105,0.010036576
1355592,15008,0.01146395
1346058,15008,0.022986106
1349236,15008,0.014376468
1352414,15008,0.013673468
1346059,15008,0.001919891
1349237,15008,0.012839492
1352415,15008,0.011882034
1339701,15008,1.83901E-05
1342879,15008,0.009307616
1342880,15008,0.026670994
1342881,15008,0.009576261
1365141,15008,0.012505964
1368319,15008,0.005396316
1365142,15008,0.018346647
1358788,15008,0.019904165
1361964,15008,0.022210694
1361965,15008,0.026935371
1361966,15008,0.015195839
1355611,15008,0.024292718
1358789,15008,0.008063922
1288879,12031,0.415075841
1288880,12031,0.174829416
1292058,12031,0.088007997
1292059,12031,0.233179194
1295237,12031,0.088907551
1327027,12058,0.001003803
1317488,12058,0.031240574
1317489,12058,0.0450328
1317490,12058,0.044362404
1317491,12058,0.009709715
1320669,12058,0.041859952
1320670,12058,0.021353873
1323848,12058,0.043987111
1323849,12058,0.03274116
1314310,12058,0.019801322
1307951,15105,0.033757126
1307952,15105,0.02827166
1311130,15105,0.014952455
1311131,15105,0.050142175
1311132,15105,0.000338122
1314310,15105,0.037433954
1298415,15105,0.0182751
1301593,15105,0.015186543
1298416,15105,0.074664727
1301594,15105,0.079386859
1304772,15105,0.008538108
1304773,15105,0.032164623
1288878,15105,0.024269971
1288879,15105,0.028136644
1288880,15105,0.032901594
1292058,15105,0.021599487
1292059,15105,0.015663048
1295237,15105,0.045755872
1279340,15105,0.016350284
1279341,15105,0.046091827
1282519,15105,0.025684715
1282520,15105,0.033791678
1285698,15105,0.014123468
1285699,15105,0.040219181
1285700,15105,0.037154253
1272982,15105,0.011321824
1272983,15105,0.052463253
1276161,15105,0.004112157
1276162,15105,0.054667268
1327027,15080,0.016003306
1327028,15080,0.02000009
1327029,15080,0.013187119
1330207,15080,0.011635065
1327027,15008,0.004506311
1323840,15105,0.002862542
1339723,15105,0.01093452
1336546,15105,0.008971249
1336547,15105,0.024262906
1339724,15105,0.045514231
1374694,15080,0.019286687
1377872,15080,0.012487349
1377873,15080,0.000480973
1365160,15080,0.007680467
1365161,15080,0.013712913
1368338,15080,0.018842405
1371516,15080,0.018156114
1355622,15080,0.018691752
1358800,15080,0.013530327
1358801,15080,0.030738739
1358802,15080,0.01908191
1358803,15080,0.005673807
1361981,15080,0.017125354
1361982,15080,0.022347676
1361983,15080,0.000580834
1355621,15008,0.008880208
1355622,15008,0.004805359
1352443,15008,0.022928016
1336566,15080,0.004582539
1330207,15080,0.010251521
1327030,15080,0.00997745
1330208,15080,0.011206267
1330209,15080,0.019683208
1333387,15080,0.022420691
1333388,15080,0.015779794
1393727,15082,0.059383849
1393728,15082,0.230237818
1396906,15082,0.296905374
1400084,15082,0.004417671
1400085,15082,0.140982683
1390549,15082,0.206328868
1384202,15008,0.012004258
1387379,15008,0.01487291
