GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
1609822,29013,0.003383887,,0.003383887,220,,220
1609823,16112,0.000969022,,0.000969022,63,,63
1609829,15005,0.001368936,0.00077331,0.001022285,89,70,159
1609830,15070,0.000845972,0.002574017,0.001851685,55,233,288
1609831,29013,,0.012593902,0.012593902,,1140,1140
1609832,15051,0.000553727,0.020227574,0.012003806,36,1831,1867
1609833,29008,0.003876088,0.029319487,0.018684018,252,2654,2906
1609834,16112,,0.012638091,0.012638091,,1144,1144
1609835,15111,0.003522318,0.017090146,0.011418725,229,1547,1776
1609836,16112,,0.014195758,0.014195758,,1285,1285
1609837,16112,,0.008362793,0.008362793,,757,757
1609838,16112,,0.007269112,0.007269112,,658,658
1609839,16112,,0.004750331,0.004750331,,430,430
1609840,16112,,0.001027397,0.001027397,,93,93
1609852,15037,0.009837643,,0.009837643,409,,409
1609854,21134,0.00651834,,0.00651834,271,,271
1609857,29015,0.02482261,,0.02482261,1032,,1032
1609860,29013,0.030114251,,0.030114251,1252,,1252
1609862,16099,0.029969934,,0.029969934,1246,,1246
1609865,15005,0.010669082,,0.010669082,966,,966
1609868,16099,0.00220892,,0.00220892,200,,200
1609869,29008,0.014236487,,0.014236487,1289,,1289
1609878,21180,0.017097038,,0.017097038,1548,,1548
1609880,15106,0.016721522,,0.016721522,1514,,1514
1609892,15106,0.002405855,,0.002405855,213,,213
1609898,29015,0.039295638,,0.039295638,3479,,3479
1609900,15114,0.00014708,6.59E-06,1.71E-05,9,5,14
1609901,16112,,0.000752937,0.000752937,,571,571
1609902,16112,,1.58E-05,1.58E-05,,12,12
1609904,9004,0.032455753,,0.032455753,1986,,1986
1609911,29013,0.00059979,,0.00059979,32,,32
1609914,15051,0.042716299,0.00698385,0.028164163,2279,256,2535
1609915,16112,,0.030677195,0.030677195,,1147,1147
1609916,15106,,0.060133119,0.060133119,,2358,2358
1609917,15106,,0.041720858,0.041720858,,1636,1636
1609919,15087,,0.076716875,0.076716875,,2404,2404
1609920,15067,,0.131031402,0.131031402,,4106,4106
1609921,15087,,0.135722492,0.135722492,,4253,4253
1609922,15067,,0.021189686,0.021189686,,664,664
1609923,29036,0.019782162,0.054505999,0.032319392,1097,1708,2805
1609924,15115,,0.019849375,0.019849375,,622,622
1609925,9004,0.047949652,,0.047949652,2659,,2659
1609926,15106,0.00438201,,0.00438201,243,,243
1609927,15106,0.006960724,,0.006960724,386,,386
1609939,15115,,0.001633038,0.001633038,,346,346
1609940,15106,0.003169154,0.009840708,0.009006182,96,2085,2181
1609941,15070,0.012742638,0.007310914,0.007990354,386,1549,1935
1609942,15037,0.035058761,0.001892625,0.006041286,1062,401,1463
1609943,15115,,0.004733923,0.004733923,,1003,1003
1609944,15037,,0.00420059,0.00420059,,890,890
1609945,15037,,0.018529794,0.018529794,,3926,3926
1609946,15037,,0.039735693,0.039735693,,8419,8419
1609947,15037,,0.016011627,0.016011627,,3392,3392
1609948,15037,,0.015273314,0.015273314,,3468,3468
1609949,9004,,0.008139767,0.008139767,,2884,2884
1609950,9004,,0.007959473,0.007959473,,2968,2968
1609951,9016,,0.004521453,0.004521453,,1686,1686
1609952,15037,,0.000802694,0.000802694,,311,311
1609953,15037,,0.011896402,0.011896402,,5659,5659
1609954,9016,,0.042324672,0.042324672,,19240,19240
1609955,9016,,0.033954004,0.033954004,,14089,14089
1609956,9016,,0.04840143,0.04840143,,18254,18254
1609957,9010,,0.03520345,0.03520345,,15012,15012
1609958,9016,,0.035008144,0.035008144,,15392,15392
1609959,9015,,0.038465326,0.038465326,,15814,15814
1609960,9014,,0.040032404,0.040032404,,16753,16753
1609961,9015,,0.043508351,0.043508351,,18149,18149
1609962,9015,,0.044169243,0.044169243,,17321,17321
1609963,9015,,0.035289063,0.035289063,,13594,13594
1609964,9015,,0.016173643,0.016173643,,6216,6216
1609965,9006,,0.017474612,0.017474612,,6716,6716
1609966,9017,,0.014414733,0.014414733,,5540,5540
1609967,9006,,0.031015094,0.031015094,,11920,11920
1609968,9006,,0.044620625,0.044620625,,17149,17149
1609969,9006,,0.025017467,0.025017467,,20412,20412
1609970,9006,,0.021094863,0.021094863,,23710,23710
1609971,15058,,0.021354607,0.021354607,,23588,23588
1609972,9007,,0.020618585,0.020618585,,22775,22775
1609973,15058,,0.021815413,0.021815413,,24097,24097
1609974,15058,,0.022126842,0.022126842,,24441,24441
1609975,15058,,0.02147773,0.02147773,,23724,23724
1609976,15058,,0.018033906,0.018033906,,19920,19920
1609977,15058,,0.023470416,0.023470416,,17161,17161
1609978,15058,,0.029707127,0.029707127,,18267,18267
