GRIDCODE,CVE_ENTCVE_MUN,Fa
182752,15005,0.017247529
182752,15005,3.25E-05
182752,15005,0.013197743
182753,15005,0.00052906
182756,15042,0.010775374
182757,15042,0.022929248
182757,15042,0.008172313
182758,15042,0.001267554
182758,15042,0.022324083
182758,15047,0.008716869
182758,15087,0.000170565
182758,15087,0.003006221
182759,15042,0.000876941
182759,15047,0.021704782
182759,15087,0.035054827
182760,15047,0.006529215
182760,15047,0.022017216
182760,15047,0.007213959
182760,15087,0.00101866
182760,15087,0.012703011
182761,15047,0.00416486
182761,15047,0.026885319
182761,15087,0.012790882
182761,15087,0.008771949
182762,15047,0.009452194
182762,15087,0.056169719
182763,15087,0.039773346
182764,15087,0.000520096
182768,15046,0.043707629
182769,15046,0.049887668
182769,15046,0.138212125
182770,15046,0.16579643
183741,16056,0.025871939
183741,16090,0.064645665
183742,16056,1.43E-06
183742,16056,0.027954299
183742,16090,0.028029035
183743,16056,0.004520167
183743,16056,0.000128669
183743,16090,0.001549624
183744,16066,0.000962205
183744,16090,0.089821571
183745,16066,0.012215696
183745,16090,0.002936068
183746,16032,0.034485176
183746,16066,0.002303926
183747,16032,0.014736028
183748,16032,0.018696252
183748,16066,5.68E-06
183749,16066,0.00011901
183750,16066,0.008330126
183750,16100,0.006066972
183751,16066,0.014687286
183751,16100,0.01005272
183752,16066,0.02387498
183752,16066,0.022388255
183752,16100,5.17E-05
183752,16100,0.000922265
183753,16066,0.019966917
183753,16066,0.023985818
183753,16100,0.008322287
183754,16066,0.011041856
183754,16066,0.00083509
183755,16066,0.000688687
183756,16039,0.031012536
183756,16039,0.027953338
183756,16048,0.016694614
183757,16039,0.047597716
183757,16039,0.009988922
183757,16048,0.002653211
183757,16048,0.098285318
183757,16048,0.000166224
183758,16039,0.001048129
183758,16048,0.081064475
183758,16048,0.002591653
183758,16048,0.078411468
183758,16053,0.000126935
183759,16048,0.025017004
183759,16048,0.005151968
183759,16053,0.007515951
183759,16053,0.00475209
183760,16001,0.001080052
183760,16053,0.007518649
183760,16053,0.007308572
183761,16001,0.00185769
183761,16001,0.000412968
183761,16053,0.00066412
183761,16053,0.00954024
183761,16053,0.00421286
183762,16053,0.001059165
183762,16053,0.011991365
183763,16053,0.001852838
183764,16053,0.00090425
183765,16053,0.00017012
183766,16053,0.000511926
183767,16053,0.005935517
183781,16034,6.13E-05
183782,16034,0.015744825
183783,16034,0.005477592
183789,16098,0.043931075
183790,16098,0.064207653
183790,16098,0.026871433
183791,16098,0.012478253
183791,16098,0.067593045
183792,16098,0.039209741
183793,16098,0.041733834
183794,16061,0.073724883
183794,16098,0.010411055
183795,16061,0.013182793
183797,16061,0.014727163
183798,16061,0.005339644
183800,15124,0.000989086
183801,15124,0.03997846
183802,15124,0.040146079
183803,15124,0.005127337
183804,15124,0.001233819
183805,15114,0.002326364
183805,15124,0.01852382
183805,15124,0.00012974
183806,15074,3.78E-05
183806,15114,0.002676569
183806,15114,0.019890476
183806,15124,0.008331525
183806,15124,0.000143158
183807,15074,1.30E-05
183807,15074,0.00263415
183807,15114,0.01449863
183808,15074,0.007527648
183808,15074,0.003105056
183808,15114,0.003763733
183808,15114,0.012949343
183809,15005,0.00275609
183809,15005,0.001316881
183809,15074,0.008733796
183809,15074,0.001366872
183809,15114,0.014486107
183809,15114,0.001804951
183810,15005,0.02168048
183810,15005,0.003483278
183810,15042,0.003074699
183810,15074,0.005221972
183811,15005,0.019665123
183811,15005,8.45E-05
183811,15042,0.006992767
183811,15042,0.00672378
183812,15005,0.000506337
183812,15005,0.001080453
183812,15042,0.003925279
183812,15042,0.009204903
183813,15042,0.005409882
183814,15042,0.007858571
183815,15042,0.008863237
183815,15042,0.007840847
183816,15042,2.23E-05
183816,15042,0.029707627
183816,15042,1.22E-05
183816,15047,9.90E-05
183817,15042,5.80E-05
183817,15042,0.00202693
183817,15047,0.000743786
183817,15047,0.010734199
183818,15042,0.005274105
183818,15047,0.000620361
183818,15047,0.035920784
183819,15047,0.002257658
183819,15047,0.019898881
183819,15047,0.013104575
183819,15047,0.008741929
183820,15047,0.010159531
183820,15047,0.033843512
183821,15047,0.038454002
183822,15047,0.004897792
183827,15038,0.005555682
183827,15046,0.272693849
183828,15038,0.002266254
183828,15046,0.24446083
184800,16056,1.98E-05
184800,16056,0.018114149
184801,16056,0.004730416
184801,16056,0.076034025
184802,16056,0.073721029
184802,16056,0.007490064
184802,16090,0.005487869
184803,16056,0.00079222
184803,16090,0.053325323
184804,16090,0.002609861
184805,16032,0.055831905
184806,16032,0.06114319
184807,16032,0.006682223
184809,16066,3.15E-05
184809,16100,0.048985456
184810,16066,0.000108672
184810,16100,0.074013557
184811,16066,0.001018636
184811,16066,0.000743779
184811,16100,0.089953419
184811,16100,0.011546131
184812,16066,0.001364885
184812,16100,0.053894516
184812,16100,0.048482979
184813,16066,3.96E-06
184813,16100,0.069574467
184813,16100,0.00078538
184815,16048,0.034484126
184815,16100,0.018599563
184816,16048,0.000220587
184816,16048,0.117661457
184816,16100,5.85E-05
184817,16048,0.128864256
184817,16048,0.001258566
184818,16048,0.06710891
184818,16053,0.008897306
184819,16053,0.015019751
184820,16053,0.011267249
184820,16053,0.003753684
184821,16053,0.005014629
184821,16053,0.008826307
