GRIDCODE,CVENTMUN,Suma de Fc
202814,16071,0.016427245
202815,16071,0.015137191
202822,11046,0.053183873
202822,16054,0.010059455
202823,11021,0.050878916
202823,11046,0.01056128
202833,16078,0.032156297
202834,16078,0.026470832
202836,11002,0.000183278
202836,11028,0.005674233
202837,11002,0.010510301
202838,11002,0.010506373
202839,11002,0.012703339
202843,11002,0.000175676
202844,11002,0.004823858
202845,11002,0.010441509
202852,11019,0.018257244
202853,11019,0.004894061
202854,11019,0.026496627
202857,16017,0.001821195
202857,16031,0.067345607
202858,16031,0.021594893
202862,16017,0.030929011
202863,15085,0.002131742
202863,16017,0.008214764
202864,15085,0.019686021
202865,15085,0.011020386
202867,15001,0.002961101
202867,22001,0.002233868
202868,15001,0.016813995
202869,15001,0.002035108
202870,15001,0.0057758
202873,15003,0.002903129
202874,15003,0.044144789
202875,15001,0.008288413
202876,15001,0.037743774
202878,15001,0.003245426
202878,15003,0.037720641
202879,15003,0.006906511
202902,13052,0.02037138
202902,15036,0.00167924
203865,16063,0.042275983
203872,16071,0.017352487
203873,16071,0.012456619
203874,16071,0.009914675
203875,16071,0.006582076
203879,11046,0.011312538
203879,16071,0.013865564
203880,11046,0.033337619
203881,11046,0.00478999
203882,11021,0.028425006
203883,11021,0.117691877
203884,11021,0.080576701
203890,11046,0.000446742
203890,16078,0.049068513
203891,16078,0.015806881
203893,11028,0.002919652
203893,16078,0.056597107
203898,11002,0.00427249
203899,11002,0.007351279
203901,11002,0.022029213
203902,11002,0.020846867
203904,11002,0.004195337
203911,11019,0.011727858
203912,11019,0.038362455
203913,11019,0.002494886
203921,16017,0.043931462
203921,16031,0.00346411
203922,15085,0.001526136
203922,16017,0.02063627
203922,22001,0.000933368
203923,22001,0.016759152
203925,22001,0.001565647
203926,22001,0.010025464
203932,15003,0.00498058
203938,15003,0.038968136
203955,13010,0.017167788
204924,16004,0.020070467
204924,16063,0.037761843
204932,16071,0.015922479
204934,16071,0.00183108
204935,16071,0.019169997
204936,16071,0.006099713
204937,16071,0.012020027
204938,11046,0.032421711
204938,16071,0.004652956
204949,11046,0.000893974
204949,16078,0.028068161
204950,11046,0.039502294
204950,16078,0.036164096
204953,11028,0.014972167
204959,11002,0.001139724
204960,11002,0.024430944
204970,11019,0.017350197
204971,11019,0.010602763
204980,16031,0.015019533
204980,22001,0.011236306
204981,22001,0.013718754
204982,22001,0.01623668
204996,15003,0.006803917
204997,15003,0.049390111
205010,13076,0.026527535
205014,13010,0.113861144
205015,13010,0.025562019
205983,16004,0.12461434
