GRIDCODE,CVE_ENTCVE_MUN,Fb
179591,15115,0.057075497
179592,15037,0.015221901
179592,15037,5.94E-05
179592,15051,0.000334963
179592,15051,0.001958737
179592,15051,0.073191414
179592,15057,0.028697681
179592,15057,0.014119045
179592,15057,0.010540052
179592,15115,0.00207261
179593,15037,0.067597124
179593,15057,0.000558393
179593,15057,0.045760874
179593,15057,0.001110793
179594,15037,0.020365577
179594,15037,0.089744556
179594,15057,0.003871591
179594,15057,0.011450579
179595,15037,0.11286081
179595,15057,0.01130449
179596,15037,0.088782686
179596,15057,0.00121472
179597,15037,0.004224441
179597,15057,0.006248713
179603,9017,0.286205907
179604,9017,0.057880661
179604,15058,0.004531451
180564,16111,0.011930839
180565,16090,0.000814635
180566,16090,0.064592887
180567,16079,0.034391507
180567,16090,0.049091262
180568,16066,0.001689992
180568,16079,0.034615675
180569,16066,0.009576878
180569,16079,0.022919997
180570,16066,0.037684022
180570,16066,0.001963907
180570,16079,0.001871373
180570,16079,0.002500899
180571,16066,0.03881225
180571,16066,0.003067987
180572,16066,0.007000748
180572,16066,0.034879489
180573,16066,0.040525563
180574,16066,0.000372337
180574,16066,0.00012882
180575,16066,0.031743118
180576,16066,0.041430601
180577,16066,0.011046134
180578,16039,0.001513646
180578,16066,0.00880266
180579,16039,0.045745004
180579,16066,0.023233879
180580,16039,0.000888086
180580,16053,0.000448554
180580,16066,0.000565248
180581,16001,0.012564477
180581,16039,0.000772558
180581,16053,0.005812468
180581,16066,2.91E-08
180582,16001,0.039233932
180582,16053,1.51E-05
180583,16001,9.97E-05
180584,16001,0.038440147
180585,16001,0.113907914
180586,16001,0.0412999
180586,16049,0.004360025
180586,16053,0.006357404
180587,16049,0.017805226
180587,16053,0.002715809
180588,16049,0.004462814
180588,16049,0.002364127
180588,16053,0.008777699
180588,16053,0.002838497
180589,16049,0.002921193
180589,16049,0.016467457
180589,16053,0.001944431
180589,16053,0.002262168
180590,16049,0.003516561
180590,16049,0.02300366
180591,16049,0.0209996
180591,16049,0.005520621
180592,16049,0.02652022
180593,16049,0.017541286
180593,16101,0.00485679
180594,16101,0.014243158
180594,16101,0.000101878
180595,16101,0.007325784
180595,16101,0.00296462
180595,16101,0.00405463
180596,16101,0.014345035
180597,16101,0.012318315
180597,16101,0.001915913
180597,16101,0.000110807
180598,16101,0.000858182
180598,16101,0.000437666
180598,16101,0.005257375
180598,16101,0.007791812
180599,16101,6.09E-05
180599,16101,0.008954023
180599,16101,0.000138528
180599,16101,0.005191535
180600,16034,3.83E-05
180600,16101,0.002366654
180600,16101,0.010921834
180600,16101,0.000996316
180601,16034,0.001311564
180601,16034,0.001829437
180601,16034,0.002619641
180601,16101,0.003008409
180601,16101,0.002276963
180602,16034,0.003859857
180602,16034,0.005099897
180602,16101,0.000254183
180603,16034,0.008891717
180603,16034,0.000229661
180604,16034,0.002354341
180604,16034,0.006767036
180605,16034,0.002758529
180605,16034,0.006362849
180606,16034,0.006775748
180606,16034,0.002345629
180607,16034,0.009116714
180607,16034,4.66E-06
180608,16034,0.00753769
180608,16034,0.000791626
180608,16047,0.003072695
180608,16047,0.000965363
180609,16034,0.000489941
180609,16047,0.043476928
180609,16047,0.000527509
180610,16047,0.035990954
180610,16047,0.010511281
180611,16047,0.004660749
180611,16047,0.041841486
180612,16047,0.035151995
180613,16047,0.020234894
180614,16047,0.046502235
180615,16047,0.029751721
180615,16112,0.012076367
180616,16112,0.032838403
180617,16112,0.009590566
180622,16112,0.004887198
180622,16112,0.000149006
180623,15111,0.082656798
180623,16112,0.004877512
180624,15111,0.103762021
180625,15111,0.0138286
180625,15114,0.01061193
180626,15111,0.000683252
180626,15114,0.020803534
180627,15114,0.015846838
180629,15114,0.000232165
180630,15114,0.003161608
180631,15114,0.001117618
180631,15114,0.002132094
180632,15114,0.000832355
180632,15114,0.007522731
180633,15114,0.001552486
180633,15114,0.010174653
180635,15005,0.019983404
180636,15005,0.001364132
180636,15005,0.018389554
180637,15005,0.00165871
180637,15005,0.003115172
180638,15005,0.002049933
180638,15005,0.008206613
180639,15005,0.00214395
180645,15067,0.004743921
180645,15067,0.013115181
180645,15087,0.007568171
180646,15067,0.016544402
180646,15067,0.09644459
180647,15067,0.0916246
180647,15067,0.01214587
180647,15067,0.007501514
180648,15067,0.007917789
180648,15067,0.001251843
180649,15115,0.001413248
180649,15115,0.115199787
180650,15046,0.00521494
180650,15115,0.114536444
180650,15115,0.151183046
180650,15115,0.002142343
180651,15046,0.00902259
180651,15046,0.027918032
180651,15046,0.03555841
180651,15057,0.000416905
180651,15057,0.002268582
180651,15057,0.010815804
180651,15115,0.012998823
180651,15115,0.00141936
180652,15046,0.033895093
180652,15046,0.002696214
180652,15057,0.009491292
180652,15057,0.004958627
180652,15057,0.043660622
180653,15057,0.098482692
180654,15057,0.097869966
180655,15037,0.001401331
180655,15057,0.026499521
180662,9005,0.003533531
180662,9017,0.227338238
180663,9005,0.000895524
180663,9017,0.428575194
180663,15058,0.99302118
181623,16090,0.017036983
181624,16090,0.005092571
181625,16090,0.058782216
181626,16066,0.013925758
181626,16079,0.002849193
181626,16090,0.043909967
181627,16066,0.023832575
181627,16079,0.006005511
181627,16090,0.001649366
181628,16066,0.000470262
181628,16066,0.003702754
181629,16066,0.035530452
181630,16066,0.034365191
181631,16066,0.013854316
181631,16066,0.006908632
181632,16066,0.020469434
181633,16066,0.000282096
181633,16066,0.001719182
181634,16066,0.014046152
181635,16066,0.038312453
181636,16066,0.011795413
181637,16039,0.047038474
181637,16066,0.000697568
181638,16039,0.09513978
181644,16001,0.000375135
181644,16001,0.012222228
181645,16001,0.01647397
181645,16053,0.001381286
181646,16053,0.003157426
181647,16053,0.009670597
181648,16049,0.009722162
181648,16049,0.005519122
181648,16053,0.006652946
181649,16049,0.012587173
181649,16049,0.013933048
181650,16049,0.02652022
181651,16049,0.02652022
181652,16049,0.016953547
181652,16101,0.005174703
181653,16049,4.14E-05
181653,16101,0.012889838
181653,16101,0.001432828
181654,16101,0.000574764
181654,16101,0.01354927
181654,16101,0.000221002
181655,16101,0.002666573
181655,16101,0.0036979
181655,16101,0.007980562
181656,16101,0.004405606
181656,16101,0.009939429
181657,16101,0.014345035
181658,16101,0.000720956
181658,16101,0.003533659
181658,16101,0.010090421
181659,16034,0.001954078
181659,16034,3.98E-05
181659,16101,0.009197514
181659,16101,3.68E-06
181659,16101,0.002008096
181660,16034,0.001161081
181660,16034,0.005478709
181660,16034,0.002481587
181661,16034,0.008449187
181661,16034,0.00067219
181662,16034,0.009069716
181662,16034,5.17E-05
181663,16034,0.002531067
181663,16034,0.006590311
181664,16034,0.008492438
181664,16034,0.00062894
181665,16034,0.009121378
181666,16034,0.009121378
181667,16034,0.009121378
181668,16034,0.007148128
181668,16047,0.01005994
181669,16034,0.001180821
181669,16047,0.039229082
181669,16098,0.001318539
181670,16047,0.026225664
181670,16047,0.020252797
181670,16098,2.50E-05
181671,16047,0.03390312
181671,16098,0.002730519
181672,16047,0.025111285
181673,16047,0.043472977
181673,16047,0.001981182
181673,16098,0.001102773
181674,16047,0.017311091
181674,16047,0.000581186
181674,16112,0.020626493
181675,16112,0.033526019
181676,16112,0.02207444
181676,16112,0.009761274
181677,16112,0.008323788
181678,16112,0.02014023
181679,16112,0.013528502
181681,16112,0.025024283
181681,16112,3.19E-06
181682,15111,0.058907056
181682,15124,0.002537717
181682,15124,0.000249719
181682,16112,0.001576645
181682,16112,0.004531876
181682,16112,0.014277702
181683,15111,0.003787955
181683,15111,0.072220698
181683,15124,0.004990119
181683,16112,0.001422727
181683,16112,0.001100379
181684,15111,0.020337038
181684,15114,0.015066928
181684,15124,0.000586192
181685,15114,0.012520647
181685,15114,0.024924441
181686,15114,0.009001083
181686,15114,0.017078902
181686,15124,0.008344645
181687,15114,0.01568336
181687,15124,0.002788918
181688,15114,0.016032533
181688,15114,0.018350566
181689,15114,0.043221926
181690,15114,0.047113048
181691,15005,0.010097025
181691,15114,0.040728922
181692,15005,0.039795899
181692,15114,0.009789351
181693,15005,0.004158443
181693,15005,0.012782464
181694,15005,0.062605064
181695,15005,0.064641924
181696,15005,0.023641256
181696,15042,0.020412788
181697,15005,0.006190882
181697,15042,0.033531767
181698,15042,0.027797048
181699,15042,0.004774081
181699,15087,0.000548169
181700,15087,0.023356336
181701,15087,0.008420357
181701,15106,0.046837724
181702,15087,0.010139927
181703,15087,0.056703021
