GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
211376,13054,125736.8446,2732.231905
210318,13003,313309.9978,23423.90527
209259,13003,313309.9978,9088.015321
209259,13009,49359.9033,587.8082067
211377,13003,313309.9978,15583.25738
216692,13004,24469.1748,14510.44724
216693,13004,24469.1748,6617.732413
215633,13004,24469.1748,3077.401495
215634,13004,24469.1748,263.593657
206076,13005,165143.3302,43064.37446
206077,13005,165143.3302,7604.948453
205017,13005,165143.3302,20065.81382
208194,13005,165143.3302,12631.79295
208195,13005,165143.3302,27243.24648
209254,13005,165143.3302,3159.304668
209256,13005,165143.3302,41359.95351
208197,13005,165143.3302,798.542895
209255,13005,165143.3302,3427.323523
210314,13005,165143.3302,88.97296758
209257,13005,165143.3302,5699.057531
217717,13006,20947.3294,20947.32931
191275,13007,29060.4948,16280.61441
191276,13007,29060.4948,12779.88043
191275,13008,83585.6232,179.2112591
191274,13008,83585.6232,67657.0023
191273,13008,83585.6232,4748.959288
192333,13008,83585.6232,11000.45197
211378,13009,49359.9033,20624.69093
211379,13009,49359.9033,19128.82516
210320,13009,49359.9033,8124.949707
199697,15001,110927.4812,49854.37116
200756,15001,110927.4812,2561.157798
199698,15001,110927.4812,146.7196103
199695,15001,110927.4812,29883.72164
198636,15001,110927.4812,22302.76542
199694,15001,110927.4812,3416.512725
198635,15001,110927.4812,2219.489101
199696,15001,110927.4812,542.7433929
188081,15002,1079596.589,99053.81422
189140,15002,1079596.589,59805.86759
189141,15002,1079596.589,22399.22455
189141,15092,416031.8255,56300.06407
188082,15002,1079596.589,79826.47899
189140,15092,416031.8255,33301.54022
189139,15002,1079596.589,39406.10949
190198,15081,2032355.053,32410.46719
190198,15002,1079596.589,6922.762011
189139,15081,2032355.053,2166.199672
188080,15002,1079596.589,95466.96367
187022,15002,1079596.589,119671.5434
188079,15002,1079596.589,25677.96443
187020,15002,1079596.589,191136.5605
185960,15002,1079596.589,93467.58207
185961,15002,1079596.589,22571.01544
185960,15011,251952.5948,4146.46682
187019,15002,1079596.589,99071.82157
187021,15002,1079596.589,99246.80222
187022,15028,226113.7193,13738.70179
187021,15100,413962.4626,76937.2577
187023,15002,1079596.589,23865.22737
188078,15002,1079596.589,2006.849695
187022,15100,413962.4626,106375.7838
185961,15011,251952.5948,88522.85379
187020,15100,413962.4626,180705.3602
206051,15003,92623.25,1446.545449
206052,15003,92623.25,20709.81165
204993,15003,92623.25,12830.42691
208167,15003,92623.25,22357.57879
208168,15003,92623.25,9687.702734
207108,15003,92623.25,11648.99929
207109,15003,92623.25,9677.774859
209226,15003,92623.25,4264.411117
157336,15004,29283.1344,29091.77982
157337,15004,29283.1344,138.0207565
158395,15004,29283.1344,53.33346447
177461,15005,481835.599,33662.12663
177462,15005,481835.599,39837.93856
176403,15005,481835.599,110961.4342
180638,15005,481835.599,40786.04484
180639,15005,481835.599,40491.33914
181697,15005,481835.599,11641.43711
181698,15005,481835.599,8611.654003
181697,15042,965145.0088,219.5618333
181698,15042,965145.0088,4702.018033
174284,15005,481835.599,100568.9349
174283,15005,481835.599,3957.711664
174285,15005,481835.599,6588.897316
174284,15118,980411.925,18772.87055
174285,15118,980411.925,169892.0575
175344,15005,481835.599,8182.825319
176402,15005,481835.599,12988.89441
176401,15005,481835.599,23469.6082
177460,15005,481835.599,8888.822452
176400,15005,481835.599,289.3074457
176404,15005,481835.599,29255.95537
176404,15106,5193613.119,3312.056941
176404,15118,980411.925,1190.210565
175344,15118,980411.925,37220.24177
175345,15005,481835.599,275.886647
175345,15118,980411.925,7551.336478
168999,15006,76909.9724,66119.19184
170058,15006,76909.9724,8749.947152
170058,15012,37942.3135,36201.55567
168999,15012,37942.3135,976.3500668
172158,15007,19854.036,4636.054515
173216,15007,19854.036,80.28757602
