GRIDCODE	CVEENTMUN	Fter
151049	21206	0.140730303
152036	15080	0.058391899
152039	15080	0.035130633
152041	15080	0.007495932
152042	15004	0.14845672
152043	15004	0.043703629
152044	15117	0.02661292
152045	15117	0.01787594
152045	15117	0.096507229
152045	15117	0.01588175
152048	12049	0.012840597
152048	15117	0.002459463
152049	12049	0.08384991
152049	15117	0.065271284
152061	17015	0.037269718
152085	21165	0.182847514
152086	21069	0.08963066
152086	21165	0.455513434
152087	21069	0.410396998
152088	21069	0.052190677
152088	21185	0.55033823
152089	21185	0.156793051
152089	21185	0.182444304
152095	21121	0.225238374
152096	21121	0.027705619
152106	21070	0.353798973
152116	21203	0.196883896
152117	21177	0.007060407
152117	21203	0.165295413
152117	21177	0.040327456
152117	21203	0.007152617
152118	21177	0.214758986
152119	21177	0.233916439
152120	21177	0.120321938
152120	21177	0.078465914
153095	15080	0.032255009
153095	15080	0.032616624
153096	15080	0.044018398
153097	15080	0.008865257
153098	15080	0.030115462
153099	15080	0.029835591
153100	15080	0.065325198
153102	15004	0.535338136
153102	15004	0.078347199
153103	15117	0.013014557
153107	12049	0.070719966
153108	12049	0.275805192
153119	17015	0.319531019
153120	17015	0.50561401
153125	17008	0.414108942
153125	17024	0.099328037
153126	17024	0.341807546
153139	17033	0.664076906
153144	21165	0.194172282
153145	21165	0.16746677
153147	21069	0.017584355
153147	21185	0.079367948
153148	21069	0.115772856
153148	21185	0.031056466
153149	21069	0.156184032
153151	21166	0.274581343
153151	21166	0.054606755
153152	21166	0.418029628
153153	21121	0.06833679
153153	21166	0.252782274
153154	21121	0.236431272
153157	21159	0.100192905
153158	21159	0.195706682
153159	21150	0.089848806
153159	21159	0.113857669
153160	21150	0.119868689
153161	21150	0.079206396
153161	21150	0.029052371
153162	21150	0.069900384
153165	21070	0.285311353
153166	21070	0.240800368
153172	21079	0.001773411
153172	21203	0.065810923
153173	21203	0.234320604
153174	21203	0.002921
153174	21203	0.219658204
153175	21203	0.107957342
153179	21177	0.074820027
153179	21177	0.161201871
154156	15080	0.042889705
154157	15080	0.003700119
154158	15080	0.015529874
154158	15080	0.009237259
154158	15080	0.01034938
154161	15004	0.194154316
154161	15117	0.013778211
154161	15117	0.011185148
154162	15117	0.048336851
154178	17015	0.137585254
154184	17008	0.076454553
154184	17008	0.509436505
154198	17033	0.335923094
154200	21005	0.519270805
154200	21033	0.022592943
154208	21069	0.13943176
154217	21159	0.146594141
154220	21150	0.020793066
154220	21150	0.05170308
154221	21150	0.057228878
154222	21095	0.510805695
154222	21150	0.054917411
154224	21131	0.190667818
154225	21131	0.046962457
154225	21070	0.101858045
154225	21131	0.069449279
154225	21131	0.101673882
154225	21193	0.004288656
154226	21131	0.188502959
154226	21131	0.069164032
154226	21193	0.011667995
154226	21131	0.01264666
154231	21079	0.698270713
154231	21098	1
155214	15080	0.001004793
155215	15080	0.045797172
155221	15117	0.014859486
155222	15117	0.016504474
155226	15107	1
155259	21033	0.162057104
155259	21033	0.067602065
155259	21033	0.048854712
155260	21033	0.010957595
155260	21033	0.00915213
155260	21033	0.00584945
155280	21150	0.054870123
155280	21150	0.035382482
155280	21150	0.014116062
155281	21095	0.038732201
155281	21095	0.450462104
155281	21150	0.043813113
155281	21150	0.121125636
155281	21193	0.00112709
155282	21131	0.165547423
155282	21150	0.011734209
155282	21193	0.070820663
155283	21131	0.155385489
155283	21193	0.031460221
155289	21079	0.235482206
155290	21079	0.06447367
156274	15080	0.016952284
156275	15080	0.017196906
156318	21033	0.121775881
156319	21033	0.214477252
156319	21005	0.070076353
