CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",uso,pob,UTMX,Utmy,UTMZ
134094,-98.314,18.23383,6,0,2889321.774,698649.0616,14
134095,-98.28561,18.23313,6,214,2892321.774,698649.0616,14
134096,-98.25722,18.23242,6,5,2895321.774,698649.0616,14
134097,-98.22883,18.23171,6,570,2898321.774,698649.0616,14
134098,-98.20044,18.231,6,159,2901321.774,698649.0616,14
134099,-98.17205,18.23027,6,93,2904321.774,698649.0616,14
134100,-98.14366,18.22955,6,483,2907321.774,698649.0616,14
134101,-98.11528,18.22881,6,86,2910321.774,698649.0616,14
134102,-98.08689,18.22808,6,88,2913321.774,698649.0616,14
134103,-98.0585,18.22733,6,689,2916321.774,698649.0616,14
134104,-98.03011,18.22659,6,2681,2919321.774,698649.0616,14
134105,-98.00172,18.22583,6,0,2922321.774,698649.0616,14
134106,-97.97334,18.22507,6,873,2925321.774,698649.0616,14
134107,-97.94495,18.22431,6,518,2928321.774,698649.0616,14
134108,-97.91656,18.22354,6,1107,2931321.774,698649.0616,14
134109,-97.88818,18.22276,6,86,2934321.774,698649.0616,14
134110,-97.85979,18.22198,6,922,2937321.774,698649.0616,14
134111,-97.83141,18.2212,6,28,2940321.774,698649.0616,14
134112,-97.80302,18.2204,6,0,2943321.774,698649.0616,14
134113,-97.77464,18.21961,6,0,2946321.774,698649.0616,14
134114,-97.74625,18.21881,6,105,2949321.774,698649.0616,14
134115,-97.71787,18.218,6,241,2952321.774,698649.0616,14
134116,-97.68948,18.21719,6,163,2955321.774,698649.0616,14
134117,-97.6611,18.21637,6,2,2958321.774,698649.0616,14
135087,-100.18795,18.29529,6,216,2691321.774,701649.0616,14
135088,-100.15954,18.29495,6,13,2694321.774,701649.0616,14
135089,-100.13113,18.2946,6,177,2697321.774,701649.0616,14
135090,-100.10272,18.29424,6,206,2700321.774,701649.0616,14
135091,-100.07431,18.29388,6,511,2703321.774,701649.0616,14
135092,-100.0459,18.29351,6,183,2706321.774,701649.0616,14
135093,-100.01749,18.29314,6,149,2709321.774,701649.0616,14
135094,-99.98908,18.29276,6,0,2712321.774,701649.0616,14
135095,-99.96067,18.29238,6,9,2715321.774,701649.0616,14
135096,-99.93227,18.29199,6,0,2718321.774,701649.0616,14
135097,-99.90386,18.2916,6,1,2721321.774,701649.0616,14
135098,-99.87545,18.2912,6,352,2724321.774,701649.0616,14
135099,-99.84704,18.29079,6,336,2727321.774,701649.0616,14
135100,-99.81863,18.29038,6,655,2730321.774,701649.0616,14
135101,-99.79022,18.28997,6,0,2733321.774,701649.0616,14
135102,-99.76181,18.28955,6,0,2736321.774,701649.0616,14
135103,-99.73341,18.28912,6,0,2739321.774,701649.0616,14
135104,-99.705,18.28869,6,272,2742321.774,701649.0616,14
135105,-99.67659,18.28825,6,0,2745321.774,701649.0616,14
135106,-99.64818,18.28781,6,398,2748321.774,701649.0616,14
135107,-99.61977,18.28736,6,440,2751321.774,701649.0616,14
135108,-99.59137,18.28691,6,0,2754321.774,701649.0616,14
135109,-99.56296,18.28645,6,548,2757321.774,701649.0616,14
135110,-99.53455,18.28599,6,0,2760321.774,701649.0616,14
135111,-99.50615,18.28552,6,725,2763321.774,701649.0616,14
135112,-99.47774,18.28504,6,3461,2766321.774,701649.0616,14
135113,-99.44933,18.28456,6,2949,2769321.774,701649.0616,14
135114,-99.42093,18.28408,6,0,2772321.774,701649.0616,14
135115,-99.39252,18.28359,6,1765,2775321.774,701649.0616,14
135116,-99.36412,18.28309,6,0,2778321.774,701649.0616,14
135117,-99.33571,18.28259,6,3168,2781321.774,701649.0616,14
135118,-99.30731,18.28208,6,7,2784321.774,701649.0616,14
135119,-99.2789,18.28157,6,0,2787321.774,701649.0616,14
135120,-99.2505,18.28105,6,2,2790321.774,701649.0616,14
135121,-99.22209,18.28053,6,0,2793321.774,701649.0616,14
135122,-99.19369,18.28,6,0,2796321.774,701649.0616,14
