GRID,CVENTMUN,Fter
231412,11017,0.042648181
231414,11017,0.008481886
231415,11017,0.015725937
231418,11017,0.05708689
231419,11017,0.006890856
231434,11009,0.004653709
231440,11003,0.044732428
231444,22014,0.023120178
231445,22014,0.040731921
231446,22014,0.016234994
231447,22014,0.084804223
231455,22005,0.007158237
231456,22005,0.069642382
231459,22005,0.023400305
231460,22005,0.009456829
231467,22004,0.010550689
232452,11008,0.075428079
232453,11008,0.103176395
232457,11008,0.046216418
232462,11026,0.022691188
232463,11026,0.012679659
232466,11026,0.003093441
232467,11026,0.091591969
232469,11026,0.035666917
232471,11017,0.009506644
232471,11037,0.059103589
232473,11017,0.02205769
232474,11017,0.033385417
232475,11017,0.029603184
232476,11017,0.02954019
232477,11017,0.018395142
232478,11017,0.001527548
232499,11003,0.070281342
232503,22014,0.088287028
232506,22014,0.001964055
232514,22005,0.032511882
232515,22005,0.034276267
232516,22005,0.040567269
232517,22005,0.036526092
232518,22005,0.014318071
233507,14008,0.545303963
233508,11025,0.034194142
233508,14008,0.454696037
233509,11025,0.199498358
233510,11025,0.142008042
233515,11031,0.021024066
233516,11008,0.025326794
233516,11031,0.023043762
233519,11031,0.00671977
233526,11026,0.023938833
233527,11026,0.015962175
233528,11026,0.038580923
233530,11037,0.107396233
233531,11017,0.024870366
233531,11037,0.01033787
233532,11017,0.034683715
233533,11017,0.030346956
233552,11003,0.122440427
233557,11003,0.065320685
233558,11003,0.011057348
233562,22014,0.053745232
233563,22014,0.056871603
233573,22005,0.078834423
233585,22018,0.046942428
234574,11031,0.114374314
234586,11026,0.057107466
234586,11037,0.017680988
234587,11026,0.006176421
234587,11037,0.006108624
234589,11037,0.043487111
234616,11003,0.069826272
234631,22005,0.011611398
234632,22005,0.076844138
235626,14072,0.015991823
235629,11025,0.203086508
235631,11025,0.005878463
235633,11031,0.174883242
235637,11031,0.017064501
235645,11026,0.072426997
235648,11037,0.043312693
235649,11037,0.002999577
235674,11003,0.01369338
235675,11003,0.050874215
235690,22005,0.061011576
235691,22005,0.106541734
236688,11025,0.199118493
236688,14072,0.101291584
236692,11031,0.208086364
236704,11026,0.030415352
236707,11037,0.04323474
236723,11003,0.0219086
236742,11032,0.052678172
236749,22005,0.043956016
236759,22018,0.046637648
237743,14072,0.008017299
237747,14072,0.255012848
237751,11031,0.212647773
237761,11020,0.026036938
237766,11037,0.038447016
237781,11014,0.113486676
237782,11003,0.031853927
237782,11014,0.080038797
237785,11003,0.006450429
237801,11032,0.023831863
237802,11032,0.067234851
237818,22018,0.172824444
238806,14072,0.289914759
238810,11031,0.032595846
238811,11031,0.109024013
238819,11020,0.10179577
238820,11020,0.008460671
238821,11037,0.006094829
238824,11037,0.11118436
238825,11037,0.072643421
238827,11037,0.047689734
