GRIDCODE,CVENTMUN,F_pav
1431497,06009,0.002934733
1434653,06001,0.003595323
1434654,06001,0.020966266
1434655,06001,0.047675521
1434656,06001,0.01435929
1434657,06001,0.045784286
1434658,06001,0.042150342
1434659,06001,0.017141012
1434673,06009,0.017622415
1434674,06009,0.004310273
1437830,06001,0.033540555
1437831,06001,0.043519801
1437832,06001,0.032779023
1437837,06001,0.014169815
1437838,06001,0.031313274
1437839,06001,0.028580678
1437850,06009,0.010556342
1437851,06009,0.008540727
1441006,06001,0.023180105
1441007,06001,0.034114482
1441008,06001,0.00076955
1441013,06001,0.01256559
1441014,06001,0.014844328
1441015,06001,0.014799403
1441016,06001,0.014868678
1441017,06001,0.020467671
1441018,06001,0.016509649
1441019,06001,0.014893848
1441020,06001,0.014914076
1441021,06001,0.023844188
1441022,06001,0.016183694
1441027,06009,0.000883624
1441028,06009,0.018277638
1444182,06001,0.005062641
1444182,06007,0.003635206
1444183,06001,0.033504373
1444184,06001,0.011067703
1444190,06001,0.011659948
1444191,06001,0.004994556
1444200,06001,0.015051091
1444201,06009,0.011541272
1444202,06009,0.016226859
1444203,06009,0.016322948
1444204,06009,0.015942218
1444205,06009,0.024524345
1444206,06009,0.009930435
1444246,06002,0.001611729
1444247,06002,0.000663733
1444247,16026,1
1447358,06007,0.004931823
1447359,06007,0.010246743
1447360,06007,0.005103726
1447368,06001,0.016174201
1447369,06001,0.001473802
1447378,06001,0.00662652
1447378,06009,0.001126983
1447379,06009,0.005825723
1447384,06009,0.011038212
1447385,06009,0.013522907
1447424,06002,0.008933154
1450534,06007,0.005587158
1450535,06007,0.010154903
1450536,06007,0.005286665
1450545,06001,0.013635299
1450546,06001,0.009893418
1450555,06001,0.00401285
1450556,06001,0.014187598
1450563,06009,0.007589943
1450564,06009,0.016664745
1450600,06002,0.002975094
1450601,06002,0.008312627
1450602,06002,0.001173324
1453710,06007,0.008439075
1453711,06007,0.009980093
1453712,06007,0.004474803
1453722,06001,0.01402649
1453723,06001,0.005327725
1453734,06001,0.008016223
1453735,06001,0.008528811
1453742,06009,0.004305181
1453743,06009,0.021049429
1453744,06009,0.000318343
1453777,06002,0.001998355
1453778,06002,0.007836105
1456885,06007,0.001418145
1456886,06007,0.009980093
1456887,06007,0.009980093
1456888,06007,0.001541018
1456900,06001,0.01531076
1456913,06001,0.016616116
1456920,06009,0.006591156
1456921,06009,0.008067431
1456922,06009,0.020859105
1456923,06009,0.003467575
1456955,06002,0.008848049
1460061,06007,0.006784001
1460062,06007,0.009848867
1460063,06007,0.008509113
1460077,06001,0.003843376
1460078,06001,0.011526222
1460091,06001,0.009450962
