GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Ptot,PobT_urb,Ptot_rur,
1495056,06009,0.004911034,0.000301205,0.004503729,507.6873603,102766,9960,112726
1495057,06009,0.001037136,,0.001037136,106.5822785,102766,,102766
1495082,06002,,0.173826279,0.173826279,1655,,9521,9521
1495089,06002,,0.000315093,0.000315093,3,,9521,9521
1495091,06002,,0.000525155,0.000525155,5,,9521,9521
1495095,14065,,0.043173641,0.043173641,228,,5281,5281
1498183,06007,1.72807E-05,,1.72807E-05,2.424307451,140290,,140290
1498184,06007,0.000369801,,0.000369801,51.87937101,140290,,140290
1498185,06007,4.32135E-07,,4.32135E-07,0.060624246,140290,,140290
1498187,06007,0.002082642,,0.002082642,292.1739015,140290,,140290
1498188,06007,0.002617824,,0.002617824,367.2544989,140290,,140290
1498189,06007,0.035287271,,0.035287271,4950.451218,140290,,140290
1498190,06007,0.020307596,,0.020307596,2848.95266,140290,,140290
1498191,06007,2.65545E-05,9.46522E-05,3.54685E-05,5.725330976,140290,21130,161420
1498201,06007,,0.000615239,0.000615239,13,,21130,21130
1498233,06009,,0.000100402,0.000100402,1,,9960,9960
1498240,06004,,0.036619718,0.036619718,130,,3550,3550
1498245,06002,,0.000420124,0.000420124,4,,9521,9521
1498246,06002,,0.001995589,0.001995589,19,,9521,9521
1498248,06002,,0.000840248,0.000840248,8,,9521,9521
1501357,06007,0.00013036,,0.00013036,18.28818197,140290,,140290
1501362,06007,0.000919861,,0.000919861,129.0473392,140290,,140290
1501363,06007,0.001810741,,0.001810741,254.0287973,140290,,140290
1501364,06007,0.008591495,,0.008591495,1205.300881,140290,,140290
1501365,06007,0.018882608,4.73261E-05,0.016417056,2650.041121,140290,21130,161420
1501366,06007,0.029414813,,0.029414813,4126.604072,140290,,140290
1501367,06007,0.044440436,,0.044440436,6234.548702,140290,,140290
1501372,06007,,0.046568859,0.046568859,984,,21130,21130
1501379,06007,,0.000331283,0.000331283,7,,21130,21130
1501396,06001,,0.008390142,0.008390142,32,,3814,3814
1501411,06009,,0.000100402,0.000100402,1,,9960,9960
1501422,06002,,0.001155341,0.001155341,11,,9521,9521
1501423,06002,,0.000735217,0.000735217,7,,9521,9521
1501424,06002,,0.001575465,0.001575465,15,,9521,9521
1501426,06002,,0.000945279,0.000945279,9,,9521,9521
1501427,06002,,0.027938242,0.027938242,266,,9521,9521
1501438,06002,,0.000630186,0.000630186,6,,9521,9521
1504530,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1504534,06007,,0.002082347,0.002082347,44,,21130,21130
1504535,06007,0.002014945,,0.002014945,282.6766602,140290,,140290
1504536,06007,1.60478E-05,,1.60478E-05,2.25134988,140290,,140290
1504539,06007,0.000180901,,0.000180901,25.37861781,140290,,140290
1504540,06007,0.004273058,,0.004273058,599.4673083,140290,,140290
1504541,06007,0.021289331,,0.021289331,2986.680235,140290,,140290
1504542,06007,0.032953058,,0.032953058,4622.984551,140290,,140290
1504543,06007,0.014739926,0.000331283,0.012853824,2074.864205,140290,21130,161420
1504544,06007,0.01463256,,0.01463256,2052.801848,140290,,140290
1504545,06007,0,,0,0,140290,,140290
1504558,06007,,0.00023663,0.00023663,5,,21130,21130
1504561,06007,,0.000283956,0.000283956,6,,21130,21130
1504601,06002,,0.063963869,0.063963869,609,,9521,9521
1504602,06002,,0.001155341,0.001155341,11,,9521,9521
1504603,06002,,0.000105031,0.000105031,1,,9521,9521
1504604,06002,,0.000315093,0.000315093,3,,9521,9521
1504606,06002,,0.054195988,0.054195988,516,,9521,9521
1504624,06002,,0.030879109,0.030879109,294,,9521,9521
1504628,14065,,0.000378716,0.000378716,2,,5281,5281
1507713,06007,0.004400353,,0.004400353,617.3255315,140290,,140290
1507714,06007,0.003787264,,0.003787264,531.3152618,140290,,140290
1507715,06007,0.000311619,,0.000311619,43.71699562,140290,,140290
1507716,06007,0.002019913,,0.002019913,283.373646,140290,,140290
1507717,06007,0.019474868,,0.019474868,2732.129187,140290,,140290
1507718,06007,0.033172345,,0.033172345,4653.748305,140290,,140290
1507719,06007,0.03969886,,0.03969886,5569.353117,140290,,140290
1507720,06007,0.020451391,,0.020451391,2869.125628,140290,,140290
1507721,06007,0.026878333,,0.026878333,3770.761309,140290,,140290
1507722,06007,0.000656136,,0.000656136,92.0493124,140290,,140290
1507727,06007,,0.103454804,0.103454804,2186,,21130,21130
1507754,06001,,0.001835343,0.001835343,7,,3814,3814
1507770,06004,,0.137183099,0.137183099,487,,3550,3550
1507778,06002,,0.000420124,0.000420124,4,,9521,9521
1507779,06002,,0.000840248,0.000840248,8,,9521,9521
1507803,06002,,0.000420124,0.000420124,4,,9521,9521
1507807,14065,,0.000378716,0.000378716,2,,5281,5281
1510889,06007,,0.070279224,0.070279224,1485,,21130,21130
1510891,06007,0.001740554,,0.001740554,244.1823549,140290,,140290
1510892,06007,0.004987576,,0.004987576,699.7070522,140290,,140290
1510893,06007,0.000369319,0.000283956,0.000358145,57.8117049,140290,21130,161420
1510894,06007,0.000612271,,0.000612271,85.89556167,140290,,140290
1510895,06007,0.017374726,,0.017374726,2437.500294,140290,,140290
1510896,06007,0.045842064,,0.045842064,6431.183189,140290,,140290
1510897,06007,0.048510434,,0.048510434,6805.528778,140290,,140290
1510898,06007,0.013286805,,0.013286805,1864.005846,140290,,140290
1510899,06007,0.003769556,,0.003769556,528.8309548,140290,,140290
1510900,06007,5.58148E-05,9.46522E-05,6.08986E-05,9.830255858,140290,21130,161420
1510914,06007,,0.000520587,0.000520587,11,,21130,21130
1510932,06004,,0.001690141,0.001690141,6,,3550,3550
1510956,06002,,0.000210062,0.000210062,2,,9521,9521
1510957,06002,,0.000315093,0.000315093,3,,9521,9521
1510958,06002,,0.021006197,0.021006197,200,,9521,9521
1510961,06002,,0.000105031,0.000105031,1,,9521,9521
1510962,06002,,0.000105031,0.000105031,1,,9521,9521
1510971,06002,,0.000420124,0.000420124,4,,9521,9521
1510982,06002,,0.000105031,0.000105031,1,,9521,9521
1510985,14065,,0.000757432,0.000757432,4,,5281,5281
1514057,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1514065,06007,,0.062328443,0.062328443,1317,,21130,21130
1514071,06007,,4.73261E-05,4.73261E-05,1,,21130,21130
1514072,06007,4.34443E-05,,4.34443E-05,6.094801274,140290,,140290
1514073,06007,0.005924636,,0.005924636,831.1671656,140290,,140290
1514074,06007,0.019774661,0.000331283,0.017229508,2781.187127,140290,21130,161420
1514075,06007,0.012151615,0.001230478,0.01072203,1730.750072,140290,21130,161420
1514076,06007,2.5154E-05,,2.5154E-05,3.528855431,140290,,140290
1514077,06007,8.99811E-05,,8.99811E-05,12.62344531,140290,,140290
1514078,06007,7.87219E-08,,7.87219E-08,0.011043901,140290,,140290
1514098,06007,,0.000141978,0.000141978,3,,21130,21130
1514109,06004,,0.00084507,0.00084507,3,,3550,3550
1514111,06004,,0.02084507,0.02084507,74,,3550,3550
1514132,06002,,0.000945279,0.000945279,9,,9521,9521
1514133,06002,,0.000735217,0.000735217,7,,9521,9521
1514135,06002,,0.001470434,0.001470434,14,,9521,9521
1514140,06002,,0.022581662,0.022581662,215,,9521,9521
1514143,06002,,0.002415713,0.002415713,23,,9521,9521
1514147,06002,,0.000420124,0.000420124,4,,9521,9521
1514149,06002,,0.000105031,0.000105031,1,,9521,9521
1514156,06002,,0.000210062,0.000210062,2,,9521,9521
1517241,06007,,0.000141978,0.000141978,3,,21130,21130
1517242,06007,,0.00023663,0.00023663,5,,21130,21130
1517252,06007,,0.000141978,0.000141978,3,,21130,21130
1517253,06007,0.005481502,0.000189304,0.00478875,772.9999672,140290,21130,161420
1517254,06007,0.010164964,,0.010164964,1426.04281,140290,,140290
1517263,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1517285,06004,,0.00056338,0.00056338,2,,3550,3550
1517306,06004,,0.00084507,0.00084507,3,,3550,3550
1517313,06002,,0.000630186,0.000630186,6,,9521,9521
1517320,06002,,0.142001891,0.142001891,1352,,9521,9521
1517326,06002,,0.001365403,0.001365403,13,,9521,9521
1517334,06002,,0.001470434,0.001470434,14,,9521,9521
1517338,06002,,0.000525155,0.000525155,5,,9521,9521
1517339,06002,,0.011553408,0.011553408,110,,9521,9521
1517341,14065,,0.00397652,0.00397652,21,,5281,5281
1520417,06007,,0.00023663,0.00023663,5,,21130,21130
1520418,06007,,0.000378609,0.000378609,8,,21130,21130
1520419,06007,,0.000141978,0.000141978,3,,21130,21130
1520429,06007,,0.005347847,0.005347847,113,,21130,21130
1520430,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1520431,06007,,0.001751065,0.001751065,37,,21130,21130
1520432,06007,0.009472929,,0.009472929,1328.957276,140290,,140290
1520439,06007,,0.014008519,0.014008519,296,,21130,21130
1520443,06007,,0.000804543,0.000804543,17,,21130,21130
1520453,06007,,0.000331283,0.000331283,7,,21130,21130
1520473,06004,0.008758313,0.003380282,0.007773427,150.687886,15835,3550,19385
1520474,06004,0.035017889,,0.035017889,554.5082644,15835,,15835
1520475,06004,0.003098786,,0.003098786,49.06928155,15835,,15835
1520479,06004,,0.002816901,0.002816901,10,,3550,3550
1520483,06004,,0.00084507,0.00084507,3,,3550,3550
1520484,06004,,0.00028169,0.00028169,1,,3550,3550
1520485,06004,,0.002816901,0.002816901,10,,3550,3550
1520495,06002,,0.000105031,0.000105031,1,,9521,9521
