GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1348806,-104.4566968,18.6662494,6,0,2241321.774,743649.0616,13
1348807,-104.4472016,18.66640414,6,0,2242321.774,743649.0616,13
1348808,-104.4377063,18.66655829,6,0,2243321.774,743649.0616,13
1348809,-104.428211,18.66671183,6,0,2244321.774,743649.0616,13
1348810,-104.4187156,18.66686477,6,0,2245321.774,743649.0616,13
1348811,-104.4092203,18.66701712,6,0,2246321.774,743649.0616,13
1348812,-104.3997249,18.66716886,6,0,2247321.774,743649.0616,13
1348813,-104.3902295,18.66732001,6,0,2248321.774,743649.0616,13
1348814,-104.3807341,18.66747055,6,0,2249321.774,743649.0616,13
1348815,-104.3712387,18.6676205,6,0,2250321.774,743649.0616,13
1348816,-104.3617432,18.66776985,6,0,2251321.774,743649.0616,13
1348817,-104.3522477,18.6679186,6,0,2252321.774,743649.0616,13
1348818,-104.3427522,18.66806675,6,0,2253321.774,743649.0616,13
1348819,-104.3332567,18.6682143,6,0,2254321.774,743649.0616,13
1348820,-104.3237612,18.66836125,6,0,2255321.774,743649.0616,13
1348821,-104.3142656,18.6685076,6,0,2256321.774,743649.0616,13
1348822,-104.30477,18.66865336,6,0,2257321.774,743649.0616,13
1348823,-104.2952744,18.66879851,6,0,2258321.774,743649.0616,13
1348824,-104.2857788,18.66894306,6,0,2259321.774,743649.0616,13
1348825,-104.2762832,18.66908702,6,0,2260321.774,743649.0616,13
1348826,-104.2667875,18.66923038,6,0,2261321.774,743649.0616,13
1348827,-104.2572918,18.66937313,6,0,2262321.774,743649.0616,13
1348828,-104.2477961,18.66951529,6,0,2263321.774,743649.0616,13
1348829,-104.2383004,18.66965685,6,0,2264321.774,743649.0616,13
1348830,-104.2288047,18.66979781,6,0,2265321.774,743649.0616,13
1348831,-104.2193089,18.66993817,6,0,2266321.774,743649.0616,13
1348832,-104.2098131,18.67007793,6,0,2267321.774,743649.0616,13
1348833,-104.2003173,18.67021709,6,0,2268321.774,743649.0616,13
1348834,-104.1908215,18.67035566,6,0,2269321.774,743649.0616,13
1348835,-104.1813257,18.67049362,6,0,2270321.774,743649.0616,13
1348836,-104.1718298,18.67063099,6,0,2271321.774,743649.0616,13
1348837,-104.1623339,18.67076775,6,0,2272321.774,743649.0616,13
1348838,-104.152838,18.67090392,6,0,2273321.774,743649.0616,13
1348839,-104.1433421,18.67103948,6,0,2274321.774,743649.0616,13
1348840,-104.1338462,18.67117445,6,0,2275321.774,743649.0616,13
1348841,-104.1243502,18.67130882,6,0,2276321.774,743649.0616,13
1348842,-104.1148543,18.67144259,6,0,2277321.774,743649.0616,13
1348843,-104.1053583,18.67157576,6,0,2278321.774,743649.0616,13
1348844,-104.0958623,18.67170833,6,0,2279321.774,743649.0616,13
1348845,-104.0863662,18.6718403,6,0,2280321.774,743649.0616,13
1348846,-104.0768702,18.67197167,6,0,2281321.774,743649.0616,13
1348847,-104.0673741,18.67210245,6,0,2282321.774,743649.0616,13
1348848,-104.0578781,18.67223262,6,0,2283321.774,743649.0616,13
1348849,-104.048382,18.67236219,6,0,2284321.774,743649.0616,13
1348850,-104.0388859,18.67249117,6,0,2285321.774,743649.0616,13
1348851,-104.0293897,18.67261954,6,0,2286321.774,743649.0616,13
1348852,-104.0198936,18.67274732,6,0,2287321.774,743649.0616,13
1348853,-104.0103974,18.6728745,6,0,2288321.774,743649.0616,13
1348854,-104.0009012,18.67300108,6,0,2289321.774,743649.0616,13
1348855,-103.991405,18.67312706,6,0,2290321.774,743649.0616,13
1348856,-103.9819088,18.67325244,6,0,2291321.774,743649.0616,13
1348857,-103.9724125,18.67337722,6,0,2292321.774,743649.0616,13
1348858,-103.9629163,18.6735014,6,0,2293321.774,743649.0616,13
1348859,-103.95342,18.67362498,6,0,2294321.774,743649.0616,13
1348860,-103.9439237,18.67374796,6,0,2295321.774,743649.0616,13
1348861,-103.9344274,18.67387035,6,0,2296321.774,743649.0616,13
1348862,-103.9249311,18.67399213,6,0,2297321.774,743649.0616,13
1348863,-103.9154348,18.67411331,6,0,2298321.774,743649.0616,13
1348864,-103.9059384,18.6742339,6,0,2299321.774,743649.0616,13
1348865,-103.896442,18.67435389,6,0,2300321.774,743649.0616,13
1348866,-103.8869456,18.67447327,6,0,2301321.774,743649.0616,13
1348867,-103.8774492,18.67459206,6,0,2302321.774,743649.0616,13
1348868,-103.8679528,18.67471025,6,0,2303321.774,743649.0616,13
1348869,-103.8584564,18.67482784,6,0,2304321.774,743649.0616,13
1348870,-103.8489599,18.67494483,6,0,2305321.774,743649.0616,13
1348871,-103.8394634,18.67506122,6,0,2306321.774,743649.0616,13
1348872,-103.8299669,18.67517701,6,0,2307321.774,743649.0616,13
1348873,-103.8204704,18.6752922,6,0,2308321.774,743649.0616,13
1348874,-103.8109739,18.6754068,6,0,2309321.774,743649.0616,13
1348875,-103.8014774,18.67552079,6,0,2310321.774,743649.0616,13
1348876,-103.7919808,18.67563418,6,0,2311321.774,743649.0616,13
1348877,-103.7824842,18.67574698,6,0,2312321.774,743649.0616,13
1348878,-103.7729877,18.67585917,6,0,2313321.774,743649.0616,13
1348879,-103.7634911,18.67597077,6,0,2314321.774,743649.0616,13
1348880,-103.7539944,18.67608177,6,0,2315321.774,743649.0616,13
1348881,-103.7444978,18.67619217,6,0,2316321.774,743649.0616,13
1348882,-103.7350012,18.67630196,6,0,2317321.774,743649.0616,13
1348883,-103.7255045,18.67641116,6,0,2318321.774,743649.0616,13
1348884,-103.7160078,18.67651976,6,0,2319321.774,743649.0616,13
