GRIDCODE,CVENTMUN,Fter
1456907,06001,0.003714413
1456908,06001,0.027743483
1456936,06006,0.005929749
1456937,06006,0.022032315
1456938,06006,0.000531506
1456956,06002,0.025400557
1456957,06002,0.004928441
1460085,06001,0.026482843
1460113,06006,0.02108608
1460114,06006,0.010762345
1460135,06002,0.031170428
1463263,06001,0.026428101
1463290,06006,0.008962477
1463291,06006,0.001689367
1463313,06002,0.003794187
1463314,06002,0.030684189
1466441,06001,0.026354134
1466466,06006,0.029400993
1466492,06002,0.025046945
1469618,06001,0.021630557
1469619,06001,0.00476438
1469644,06006,0.033886611
1469669,06002,0.018579265
1469670,06002,0.007331259
1472796,06001,0.050028247
1472822,06006,0.034809521
1472847,06002,0.025961809
1475974,06001,0.051129021
1476000,06006,0.034498689
1476025,06002,0.009499923
1476026,06002,0.020595517
1479152,06001,0.051637705
1479178,06006,0.036508566
1479203,06002,0.021769517
1479204,06002,0.019834447
1482329,06001,0.005942689
1482330,06001,0.056865892
1482356,06006,0.027885312
1482357,06006,0.010079553
1482380,06002,0.024937996
1482381,06002,0.006413661
1485507,06001,0.052844334
1485534,06006,0.001248957
1485535,06006,0.031486614
1485558,06002,0.0342066
1488685,06001,0.051931461
1488713,06002,0.019688773
1488713,06006,0.006472501
1488735,06002,0.025655487
1488736,06002,0.002521897
1491863,06001,0.060974534
1491891,06002,0.02500279
1491913,06002,0.024986294
1495041,06001,0.056537178
1495068,06002,0.021835772
1495069,06002,0.004007389
1495091,06002,0.024315207
1498218,06001,0.057927572
1498219,06001,0.00325479
1498246,06002,0.025172871
1498269,06002,0.025755652
1501396,06001,0.057301262
1501424,06002,0.024972216
1501446,06002,0.018245494
1501447,06002,0.011999563
1504574,06001,0.05221538
1504601,06002,0.011896942
1504602,06002,0.013528136
1504624,06002,0.020263203
1504625,06002,0.006438806
1507752,06001,0.023772099
1507753,06001,0.027146443
1507770,06004,0.032223279
1507778,06002,0.019738438
1507779,06002,0.024997212
1507803,06002,0.027405418
1510931,06001,0.05222652
1510948,06004,0.001966454
1510949,06004,0.054977639
1510954,06002,0.00114481
1510955,06002,0.035243763
1510956,06002,0.007759507
1510957,06002,0.024360584
1510981,06002,0.024413198
1514109,06001,0.012623061
1514109,06004,0.0444897
1514110,06004,0.011729162
1514127,06004,0.020235146
1514128,06004,0.027717579
1514131,06002,0.00292101
1514131,06004,0.015364164
1514132,06002,0.02855241
1514135,06002,0.015828825
1514159,06002,0.024162757
1517288,06004,0.037712227
1517289,06004,0.055346126
1517290,06004,0.020785063
1517306,06004,0.04914785
1517308,06004,0.020827358
1517309,06004,0.048595616
