GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
133196,27008,,0.01065252,0.006977834,,1251,1251
133198,27008,,0.024591909,0.0161087,,2888,2888
133199,27008,,0.033166719,0.02172555,,3895,3895
133202,27002,0.01676002,,0.01083772,2693,,2693
133203,27002,0.010660941,,0.006893804,1713,,1713
133204,27002,,0.003302811,0.001167077,,290,290
133205,27002,0.027495644,,0.017779817,4418,,4418
133206,27002,,0.012687349,0.004483186,,1114,1114
133207,27002,,0.038073436,0.013453583,,3343,3343
133208,27002,0.007947473,0.002186689,0.005911849,1277,192,1469
133209,27002,0.15929176,,0.10300462,25595,,25595
133210,27002,0.070400797,0.001833629,0.046171987,11312,161,11473
133211,27002,,0.018028791,0.006370632,,1583,1583
133212,27002,,0.003621703,0.00127976,,318,318
133212,27006,,0.009001608,0.00615443,,778,778
133213,27006,0.032362945,0.010482593,0.017403273,1294,906,2200
133214,27006,0.030962385,0.004176839,0.012649016,1238,361,1599
133215,27006,,0.019461061,0.013305594,,1682,1682
133216,27006,,0.010806558,0.007388481,,934,934
133217,27004,,0.008091128,0.001806779,,1123,1123
133217,27006,,0.030290759,0.020709895,,2618,2618
133219,27006,,0.017320575,0.011842136,,1497,1497
133220,27004,,0.009078202,0.002027197,,1260,1260
133221,27004,0.002351094,0.019849561,0.006258567,1135,2755,3890
133222,27004,0.00670735,0.009676211,0.007370308,3238,1343,4581
133223,27004,0.038512369,0.028120812,0.036191895,18592,3903,22495
133224,27004,0.156267996,,0.121372766,75439,,75439
133225,27004,0.122200955,,0.094913024,58993,,58993
133226,27004,0.06358518,,0.049386371,30696,,30696
133229,27004,,0.010281424,0.002295881,,1427,1427
133230,27004,,0.006095364,0.001361118,,846,846
133231,27004,,0.00788939,0.00176173,,1095,1095
133232,27004,,0.001217632,0.000271902,,169,169
133233,27004,,0.004798478,0.001071518,,666,666
133235,27004,,0.004719224,0.00105382,,655,655
133236,27012,,0.004711286,0.002599065,,398,398
133240,27012,,0.003243448,0.001789306,,274,274
133241,27012,,0.012085987,0.00666745,,1021,1021
133247,27011,,0.009419777,0.007217648,,213,213
133247,27012,,0.000224911,0.000124076,,19,19
133248,27011,,0.001503626,0.001152113,,34,34
133249,27011,,0.091367416,0.070007794,,2066,2066
133250,27011,,0.021139218,0.01619735,,478,478
133253,27011,,0.013223067,0.010131815,,299,299
133254,27011,,0.007385459,0.005658907,,167,167
133255,27011,,0.005881833,0.004506794,,133,133
133257,27011,,0.047806474,0.036630409,,1081,1081
133258,7016,,0.010446813,0.008634772,,148,148
133258,27011,,0.000132673,0.000101657,,3,3
133260,7016,,0.014682007,0.012135356,,208,208
133260,27011,,0.029143817,0.022330656,,659,659
133261,27011,,0.02896692,0.022195114,,655,655
133263,27011,,0.000796038,0.000609942,,18,18
133264,27011,,0.03215107,0.024634882,,727,727
133265,27007,,0.000654557,0.000135511,,4,4
133266,27007,,0.001963672,0.000406532,,12,12
133268,27007,,0.000490918,0.000101633,,3,3
133270,4003,,7.53E-05,9.05E-06,,2,2
133271,4003,,0.000301364,3.62E-05,,8,8
133274,27001,,0.000656478,0.000440614,,25,25
133275,27001,,0.004148942,0.002784681,,158,158
133276,27001,,0.001995694,0.001339467,,76,76
133277,27001,,0.000341369,0.000229119,,13,13
133278,27001,,0.001417993,0.000951726,,54,54
133280,27001,,0.005593194,0.003754032,,213,213
133282,27001,,5.25E-05,3.52E-05,,2,2
133283,27001,,0.000393887,0.000264368,,15,15
133284,27001,,0.000761515,0.000511112,,29,29
133285,27001,,0.007772701,0.00521687,,296,296
133286,27001,,0.000157555,0.000105747,,6,6
133287,27001,,0.000210073,0.000140996,,8,8
133294,4011,,0.010770505,0.008205078,,338,338
133295,4011,,0.000223058,0.000169928,,7,7
133301,4011,,9.56E-05,7.28E-05,,3,3
133302,4011,,0.000318654,0.000242754,,10,10
133305,4011,,0.00560831,0.004272467,,176,176
133310,4011,,0.000669173,0.000509783,,21,21
133916,16008,,0.001055239,0.000977226,,23,23
133917,16008,,0.028216186,0.026130184,,615,615
133918,16008,,0.008396036,0.007775323,,183,183
133920,16008,,0.007570196,0.007010537,,165,165
133923,16008,,0.00013764,0.000127464,,3,3
133924,16008,,0.00055056,0.000509857,,12,12
133926,16008,,0.00082584,0.000764786,,18,18
133927,16008,,0.00013764,0.000127464,,3,3
133928,16008,,0.001376399,0.001274643,,30,30
133929,16008,,0.002936319,0.002719239,,64,64
133930,16008,,0.00082584,0.000764786,,18,18
133931,16008,,0.002293999,0.002124405,,50,50
133932,16008,,0.004587998,0.00424881,,100,100
133933,16008,,0.00096348,0.00089225,,21,21
133934,16008,,0.001101119,0.001019714,,24,24
133935,16008,,0.002156359,0.001996941,,47,47
133936,16008,,0.002156359,0.001996941,,47,47
133937,16008,,0.0004588,0.000424881,,10,10
133938,16010,,0.001462317,0.000596604,,13,13
133939,16010,,0.003149606,0.001284993,,28,28
133940,16010,,0.001012373,0.000413034,,9,9
133941,16010,,0.002249719,0.000917852,,20,20
133942,16010,,0.001574803,0.000642497,,14,14
133943,16010,,0.001012373,0.000413034,,9,9
133945,16010,,0.000674916,0.000275356,,6,6
133946,16010,,0.000899888,0.000367141,,8,8
133947,16010,,0.000899888,0.000367141,,8,8
133948,16010,,0.001687289,0.000688389,,15,15
133951,16010,,0.004386952,0.001789812,,39,39
133952,16010,,0.001912261,0.000780174,,17,17
133953,16010,,0.000224972,9.18E-05,,2,2
133954,16010,,0.000224972,9.18E-05,,2,2
133955,16010,,0.002249719,0.000917852,,20,20
133957,16010,,0.002699663,0.001101423,,24,24
133958,16010,,0.001012373,0.000413034,,9,9
133959,16010,,0.000224972,9.18E-05,,2,2
133961,16010,,0.001349831,0.000550711,,12,12
133962,16010,,0.002699663,0.001101423,,24,24
133963,16010,,0.008548931,0.003487838,,76,76
133965,16010,,0.00056243,0.000229463,,5,5
133967,16010,0.004883721,,0.002891235,63,,63
133968,16010,0.09751938,,0.057732905,1258,,1258
133970,12016,,8.66E-05,7.68E-05,,1,1
133971,12016,,0.001817867,0.001612284,,21,21
133972,12016,,0.014542936,0.012898273,,168,168
133973,12016,,0.012378809,0.010978887,,143,143
133974,12016,,0.00017313,0.000153551,,2,2
133975,12016,,0.013850416,0.012284069,,160,160
133977,12016,,0.013331025,0.011823417,,154,154
133978,12016,,0.002943213,0.002610365,,34,34
133988,12073,,0.000321357,0.000265774,,5,5
133989,12073,,0.000385629,0.000318928,,6,6
133990,12073,,0.000899801,0.000744166,,14,14
133991,12073,,0.001028344,0.000850476,,16,16
133993,12073,,0.001221158,0.00100994,,19,19
133994,12073,,0.014011183,0.011587732,,218,218
133995,12073,,0.000578443,0.000478393,,9,9
133996,12073,,0.014525355,0.01201297,,226,226
133997,12073,,0.005334533,0.004411843,,83,83
133998,12073,,0.004241918,0.003508212,,66,66
133999,12073,,0.004177646,0.003455058,,65,65
134000,12073,,0.001671059,0.001382023,,26,26
134001,12022,,0.00649051,0.00501557,,211,211
134003,12022,,0.001968686,0.00152131,,64,64
134004,12022,,9.23E-05,7.13E-05,,3,3
134006,12022,,0.000276846,0.000213934,,9,9
134009,12022,,0.017472085,0.013501628,,568,568
134010,12022,,0.000123043,9.51E-05,,4,4
134011,12022,,0.051677997,0.039934393,,1680,1680
134012,12022,0.087552301,,0.019895885,837,,837
134013,12003,,0.047300526,0.028505615,,1089,1089
134013,12050,0.046894804,0.160352219,0.073336033,1332,1384,2716
134014,12003,0.202108037,0.001129305,0.080988404,3068,26,3094
134015,12067,,0.232765957,0.100279573,,2188,2188
134016,12067,,0.193297872,0.083276044,,1817,1817
134017,12067,,0.093829787,0.040423484,,882,882
134018,12067,,0.099574468,0.042898391,,936,936
134021,12067,0.24865126,0.000531915,0.141757184,3088,5,3093
134024,12007,,0.014300533,0.005997328,,193,193
134025,12007,,0.012966805,0.005437991,,175,175
134026,12007,,0.00037048,0.000155371,,5,5
134028,12007,,0.008446947,0.003542463,,114,114
134029,12007,,0.002667457,0.001118673,,36,36
134030,12007,,0.019635448,0.008234673,,265,265
134031,12007,,0.025414938,0.010658463,,343,343
134032,12007,,0.000148192,6.21E-05,,2,2
134033,12058,,0.018530774,0.010414923,,560,560
134034,12058,,0.009166115,0.005151667,,277,277
134035,12058,,0.001853077,0.001041492,,56,56
134036,12058,,0.009993382,0.005616619,,302,302
134037,12058,,0.011813369,0.006639513,,357,357
134038,12058,,0.013401721,0.007532221,,405,405
134040,12058,,0.037756453,0.021220406,,1141,1141
