GRIDCODE	CVENTMUN	Fpav
147831	17012	0.023303629
147831	17025	0.049303061
147832	17025	0.050005572
147835	17004	0.005200324
147836	17004	0.049518236
147841	17019	0.038021947
147842	17019	0.16310476
147845	17003	0.010457452
147845	17010	0.025537806
147845	17013	0.199481243
147852	21085	0.002173358
147853	21176	0.0316246
147854	21085	0.029989956
147854	21176	0.108942237
147855	21085	0.148637695
147856	21085	0.067613596
147862	21007	0.196355612
147863	21007	0.057289384
147864	21007	0.083908289
147865	21007	0.058381973
147865	21031	0.079355742
147867	21031	0.073028658
147867	21146	0.021916939
147868	21031	0.010767052
147868	21146	0.145572605
147869	21146	0.157044785
147874	21169	0.181101429
147875	21169	0.004346046
148840	12027	0.057434545
148851	15008	0.046973435
148851	15105	0.00402192
148852	15008	0.043219809
148853	15008	0.005172716
148853	15105	0.008531958
148854	15105	0.041014616
148873	12060	0.369051137
148878	12049	0.010548432
148878	12055	0.033655874
148881	17014	0.008345959
148882	17001	0.063256234
148882	17014	0.202796176
148883	17001	0.00188817
148884	17017	0.053228558
148885	17012	0.003910272
148885	17017	0.139621587
148886	17012	0.036565502
148886	17017	0.042430628
148887	17012	0.019722833
148887	17031	0.012532177
148888	17012	0.035334783
148888	17031	0.388167129
148889	17012	0.098356685
148889	17025	0.034407462
148890	17025	0.058965352
148895	17004	0.04375341
148895	17024	0.042421807
148896	17004	0.037928542
148898	17019	0.063646612
148899	17019	0.099798893
148900	17019	0.058273405
148901	17013	0.024885407
148901	17019	0.059931175
148902	17013	0.025770694
148903	17013	0.15197363
148904	17010	0.101925756
148904	17013	0.025831153
148910	21168	0.068825145
148911	21168	0.009829614
148911	21176	0.219064333
148912	21176	0.229576218
148913	21085	0.016385081
148913	21176	0.249486683
148914	21085	0.064470473
148915	21085	0.057295666
148916	21062	0.057508497
148916	21085	0.042802056
148917	21062	0.356612684
148918	21062	0.170978042
148918	21201	0.083957831
148919	21007	0.01075205
148919	21201	0.356007633
148920	21007	0.252168639
