GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMZ
134090,-98.427569,18.236574,6,4,2877321.7742,698649.0616,14
134091,-98.399177,18.235896,6,4,2880321.7742,698649.0616,14
134092,-98.370786,18.235212,6,4,2883321.7742,698649.0616,14
134093,-98.342395,18.234522,6,4,2886321.7742,698649.0616,14
134094,-98.314004,18.233828,6,4,2889321.7742,698649.0616,14
134095,-98.285613,18.233128,6,214,2892321.7742,698649.0616,14
134096,-98.257223,18.232422,6,5,2895321.7742,698649.0616,14
134097,-98.228833,18.231711,6,570,2898321.7742,698649.0616,14
134098,-98.200443,18.230995,6,159,2901321.7742,698649.0616,14
134099,-98.172054,18.230273,6,93,2904321.7742,698649.0616,14
134100,-98.143665,18.229547,6,483,2907321.7742,698649.0616,14
134101,-98.115276,18.228814,6,86,2910321.7742,698649.0616,14
134102,-98.086888,18.228077,6,88,2913321.7742,698649.0616,14
134103,-98.058499,18.227334,6,689,2916321.7742,698649.0616,14
134104,-98.030111,18.226585,6,2681,2919321.7742,698649.0616,14
134105,-98.001724,18.225831,6,2681,2922321.7742,698649.0616,14
134106,-97.973337,18.225072,6,873,2925321.7742,698649.0616,14
134107,-97.944950,18.224308,6,518,2928321.7742,698649.0616,14
134108,-97.916563,18.223538,6,1107,2931321.7742,698649.0616,14
134109,-97.888177,18.222763,6,86,2934321.7742,698649.0616,14
134110,-97.859791,18.221982,6,922,2937321.7742,698649.0616,14
134111,-97.831405,18.221196,6,28,2940321.7742,698649.0616,14
134112,-97.803020,18.220405,6,28,2943321.7742,698649.0616,14
134113,-97.774635,18.219608,6,28,2946321.7742,698649.0616,14
134114,-97.746250,18.218806,6,105,2949321.7742,698649.0616,14
134115,-97.717866,18.217998,6,241,2952321.7742,698649.0616,14
134116,-97.689482,18.217186,6,163,2955321.7742,698649.0616,14
134117,-97.661098,18.216367,6,2,2958321.7742,698649.0616,14
135072,-100.614127,18.299833,6,1904,2646321.7742,701649.0616,14
135073,-100.585715,18.299568,6,1904,2649321.7742,701649.0616,14
135074,-100.557303,18.299297,6,1904,2652321.7742,701649.0616,14
135075,-100.528891,18.299022,6,1904,2655321.7742,701649.0616,14
135076,-100.500479,18.298741,6,56,2658321.7742,701649.0616,14
135077,-100.472067,18.298454,6,56,2661321.7742,701649.0616,14
135078,-100.443655,18.298162,6,10,2664321.7742,701649.0616,14
135079,-100.415243,18.297865,6,10,2667321.7742,701649.0616,14
135080,-100.386832,18.297563,6,10,2670321.7742,701649.0616,14
135081,-100.358420,18.297255,6,10,2673321.7742,701649.0616,14
135082,-100.330009,18.296941,6,930,2676321.7742,701649.0616,14
135083,-100.301598,18.296623,6,1021,2679321.7742,701649.0616,14
135084,-100.273187,18.296299,6,2898,2682321.7742,701649.0616,14
135085,-100.244776,18.295969,6,101,2685321.7742,701649.0616,14
135086,-100.216365,18.295634,6,101,2688321.7742,701649.0616,14
135087,-100.187954,18.295294,6,216,2691321.7742,701649.0616,14
