GRIDCODE,CID,Fracc
401941,19017,0.000111312
401942,19017,0.012799766
401942,19017,0.009220503
401943,19017,0.008899715
401943,19017,0.007811414
401943,19017,0.005063229
401944,19017,0.009485458
401944,19017,0.000829488
401945,19017,0.000247329
401945,19017,0.000117213
401946,19017,0.0085459
401946,19017,0.00174174
401946,19017,0.008031426
401947,19017,0.013717832
401947,19017,0.008221583
401947,19043,0.000163182
401948,19017,0.011877162
401948,19017,0.000100586
401948,19017,0.000150598
401948,19043,0.011311173
401948,19043,0.008653071
401949,19017,0.000324704
401949,19017,0.000727262
401949,19043,0.011976903
401949,19043,0.000719216
401949,19043,0.029077665
401949,19043,0.000545214
401950,19043,0.02031549
401950,19043,0.001800316
401950,19043,0.022326309
401951,19043,0.013479621
401951,19043,0.00093264
401951,19043,0.030029854
401952,19043,0.029093115
401952,19043,0.010791837
401953,19038,2.73815E-05
401953,19043,0.023050313
401953,19043,0.004442571
401954,19038,0.007851557
401954,19038,0.004655803
401954,19043,0.000553521
401954,19043,0.01303213
401955,19038,0.013615704
401955,19038,0.000427939
401955,19038,0.003952143
401955,19038,1.83814E-05
401956,19038,0.002530193
401956,19038,0.004176431
401956,19038,0.011307544
401957,19038,0.005460721
401957,19038,0.00097885
401957,19038,0.011574596
401958,19038,0.010219006
401958,19038,0.002132173
401958,19038,0.002042206
401958,19038,0.003620782
401959,19038,0.007319208
401959,19038,0.010679957
401959,19038,1.50031E-05
401960,19038,0.007822624
401960,19038,0.000881119
401961,19038,0.001574781
401961,19038,0.001150924
401962,19038,0.000309224
401963,19038,0.002600219
401964,19038,0.002704784
401964,19038,0.002382638
401965,19038,0.002773536
401965,19038,0.009137404
401966,19038,0.008510449
401966,19038,0.000833485
401966,19038,0.008670233
401967,19038,0.007955257
401967,19038,0.009497973
401967,19038,0.000337749
401968,19038,0.003203904
401968,19038,0.013630088
401969,19022,0.001918353
401969,19022,0.00192404
401969,19038,0.000444381
401969,19038,0.01656462
401970,19022,0.046330565
401970,19022,0.016787872
401970,19038,2.02509E-05
401970,19038,0.001482193
402980,05030,0.00471279
402981,05030,0.000607532
402981,05030,0.000660021
402982,05030,0.000573738
402982,05030,0.001402168
402982,05030,0.001916992
402982,05030,0.005225908
402983,05030,0.005497099
402983,05030,0.000329504
402983,05030,0.003446825
402984,05030,0.007232319
402984,05030,0.001229229
402984,05030,5.78484E-05
402985,05030,0.007839417
402985,05030,0.003198576
402985,05030,0.001936667
402986,05030,0.009382117
402986,05030,0.001164274
402986,05030,0.002704131
402987,05004,0.001794625
402987,05004,0.00040638
402987,05004,0.000190492
402987,05030,0.005263274
402987,05030,0.001576108
402987,05030,0.002078386
402988,05004,0.005041382
402988,05004,0.001995534
402988,05004,8.54209E-05
402988,05030,0.000346747
402989,05004,0.005938716
402989,05004,0.001036949
402990,05004,0.000304047
402990,05004,0.003052544
402991,05004,0.002290809
402991,19017,0.004903875
402992,19017,0.002100285
402992,19017,0.00062706
402993,19017,0.004526952
402993,19017,0.000366328
402993,19017,0.005952601
402994,19017,0.001729351
402994,19017,0.003657767
402994,19017,0.015962914
402995,19017,0.01621172
402995,19017,0.005808549
402996,19017,0.005725562
402996,19017,0.015341629
402996,19017,0.000415839
402997,19017,0.000940576
402997,19017,0.001011981
402997,19017,7.85791E-05
402997,19017,0.008379926
402998,19017,0.011233515
402999,19017,0.013152153
402999,19017,0.006335474
402999,19017,0.001922141
403000,19017,0.00675484
403000,19017,0.003382574
403000,19017,0.008199978
403001,19017,0.007374671
403001,19017,0.004582361
403002,19017,0.003030852
403002,19017,0.003124992
403002,19017,4.94039E-05
403003,19017,0.010289562
403003,19017,0.000527989
403004,19017,0.009765136
403004,19017,0.009432061
403005,05004,5.83669E-06
403005,05004,0.000252261
403005,05004,9.81967E-05
403005,19017,0.0015528
403005,19017,0.002716823
403005,19017,0.016652006
403005,19017,2.59055E-05
403006,05004,7.39176E-05
403006,05004,0.000123527
403006,05004,0.00079468
403006,19017,0.007108052
403006,19017,0.004544868
403006,19043,0.002818015
403006,19043,0.000636502
403006,19043,0.01144057
403007,19043,0.003034616
403007,19043,0.018325389
403007,19043,0.02308211
403008,19043,0.008022287
403008,19043,0.003252785
403008,19043,0.014744617
403008,19043,0.018422426
403009,19043,0.007757188
403009,19043,0.021461905
403009,19043,4.94059E-05
403009,19043,0.004135925
403009,19043,0.00673912
403010,19043,0.002122384
403010,19043,0.001963769
403010,19043,0.019738283
403010,19043,0.001334553
403011,19043,0.024906863
403011,19043,0.001235551
403012,19038,0.002077228
403012,19038,0.004961549
403012,19043,1.56466E-05
403012,19043,0.013986161
403012,19043,0.013058322
403013,19038,0.017351627
403013,19038,0.00066254
403014,19038,0.018014167
403015,19038,0.012322225
403015,19038,0.005691942
403016,19038,0.013250892
403016,19038,0.00050974
403016,19038,0.004253535
403017,19038,0.0076408
403017,19038,0.006356769
403017,19038,0.004016598
403018,19038,6.19815E-06
403018,19038,0.001298962
403018,19038,0.016709007
403019,19038,0.008723482
403019,19038,0.000408712
403020,19038,0.000186509
403020,19038,0.007640896
403021,19038,0.000855371
403024,19038,0.000568786
403025,19038,0.000937258
403025,19038,0.005162138
403026,19038,0.016197448
403026,19038,0.0017105
403027,19022,7.42972E-05
403027,19022,0.000227289
403027,19022,1.25805E-05
403027,19022,0.005339686
403027,19038,0.015225513
403027,19038,0.000139044
403027,19038,0.000650905
403027,19038,0.000519663
403028,19022,1.47884E-05
403028,19022,0.002767318
403028,19022,0.036331852
403028,19022,0.005015221
403028,19038,0.001167555
403028,19038,1.98287E-05
403028,19038,0.002915323
403029,19022,0.026329205
403029,19022,0.040513387
404039,05030,0.000310174
404040,05030,0.005302024
404041,05030,0.006350421
404041,05030,0.00143367
404041,05030,0.001251872
404042,05030,0.001524557
404042,05030,0.001123493
404042,05030,7.17183E-05
404042,05030,0.001261439
404042,05030,0.002644982
404043,05030,0.002472236
404043,05030,0.003132551
404043,05030,0.001908212
404043,05030,0.000102601
404044,05030,0.001751037
404044,05030,2.44669E-05
404044,05030,0.001419633
404044,05030,0.002520208
404044,05030,0.003948722
404045,05030,0.004323866
404045,05030,6.99434E-07
404045,05030,0.006691686
404045,05030,0.002234271
404046,05004,0.001367279
404046,05004,0.002576689
404046,05004,0.000298583
404046,05030,0.00281152
404046,05030,0.000763485
404046,05030,0.001989148
404047,05004,0.005522
404047,05004,0.001148007
404047,05004,0.00064372
404048,05004,0.002237153
404048,05004,6.39216E-05
404049,05004,0.000356456
404049,05004,0.001685052
404050,05004,0.002137232
404050,05004,0.001050714
404051,05004,0.000212501
404051,05004,0.002248428
404051,05004,0.001738339
404051,19017,0.002612328
404052,19017,0.00661627
404052,19017,0.001017462
404052,19017,0.001433241
404053,19017,0.002834402
404053,19017,0.016925316
404053,19017,0.000622385
404053,19017,0.001451666
404054,19017,0.008802836
404054,19017,0.006264313
404055,19017,0.003112964
404055,19017,1.38687E-05
404056,19017,0.007883433
404057,19017,0.014869973
404058,19017,0.000439478
404058,19017,0.006101435
404059,19017,0.007166532
404059,19017,3.15437E-05
404059,19017,0.000136541
404060,19017,0.009514303
404060,19017,0.004614788
404061,05004,0.000191102
404061,19017,0.000583031
404061,19017,0.011722563
404061,19017,0.008045989
404062,05004,0.000611199
404062,05004,0.000424928
404062,05004,0.00011395
404062,05004,9.8599E-05
404062,05004,0.001339293
404062,19017,0.000927034
404062,19017,0.002640152
404062,19017,0.010221889
404062,19017,0.000439303
404063,05004,0.000581164
404063,05004,0.001978949
404063,05004,1.33932E-08
404063,05004,0.002609673
404063,19017,0.004761356
404063,19017,0.00169361
404064,05004,0.000211702
404064,05004,0.004702512
404064,05004,0.000382288
