GRIDCODE	CVE_ENTMUN	Fpav
434777	19045	0.028356989
434782	19012	0.175703328
434783	19012	0.04991542
434797	19011	0.061845326
434798	19011	0.036743128
435826	19037	0.007781374
435827	19037	0.040997101
435836	19045	0.027924356
435842	19012	0.139985059
435842	19028	0.151362101
435857	19011	0.098433714
436884	19037	0.012989077
436885	19037	0.040495796
436894	19045	0.021208887
436895	19045	0.007082176
436900	19045	0.014719785
436901	19028	0.024979672
436901	19045	0.013752303
436916	19011	0.034199642
436917	19011	0.064904483
437942	19037	0.013607362
437943	19037	0.034956044
437953	19045	0.028531908
437959	19045	0.027592743
437976	19011	0.111707784
439001	19037	0.037596084
439012	19045	0.028533534
439018	19045	0.011193114
439019	19045	0.016407409
439035	19011	0.108757639
440060	19037	0.037542874
440070	19045	0.01455638
440071	19045	0.013919909
440078	19045	0.027542445
440094	19011	0.085827387
441118	19037	0.006813345
441119	19037	0.029929314
441129	19045	0.028395198
441137	19045	0.027576789
441152	19011	0.045923432
441153	19011	0.074729852
442177	19037	0.036380463
442188	19045	0.029889446
442196	19045	0.035795624
442211	19011	0.096236675
443236	19037	0.036380817
443247	19045	0.027627664
443255	19045	0.069138047
443269	19002	0.013738021
443269	19011	0.055417154
443270	19011	0.025398446
444294	19037	0.025537702
444295	19037	0.03684474
444305	19045	0.022901438
444306	19045	0.004695361
444314	19045	0.055350906
444326	19002	0.037320903
444327	19002	0.095432522
444328	19002	0.133987742
444329	19002	0.027307943
445352	19037	0.04211201
445353	19037	0.022844971
445364	19045	0.028087536
445373	19045	0.036184875
445374	19045	0.030239635
445384	19002	0.065360269
445385	19002	0.044250928
445388	19002	0.055898024
445389	19002	0.071343586
446409	19037	0.021521606
446410	19037	0.042792355
446411	19037	0.00062405
446423	19045	0.027925739
446432	19045	0.028230702
446433	19045	0.055892167
446442	19002	0.034585334
446443	19002	0.059506817
446448	19002	0.017557835
447466	19037	0.001517827
447467	19037	0.042740588
447468	19037	0.021151816
447482	19045	0.027575494
447491	19044	0.026588167
447491	19045	0.011426571
447492	19044	0.080119008
447492	19045	0.00561333
447500	19002	0.033057989
447501	19002	0.078610522
448524	19037	0.024324339
448525	19037	0.041110484
448541	19045	0.021903442
448541	19051	0.045703394
448549	19044	0.005360555
448550	19044	0.04015667
448551	19044	0.104152477
448552	19044	0.043466005
448553	19044	0.043507962
448554	19044	0.043459838
448555	19044	0.045991283
448556	19002	0.03327227
448556	19044	0.024249841
448557	19002	0.074566127
448558	19002	0.078425878
448559	19002	0.045777291
449581	19037	0.003982596
449582	19037	0.042775404
449583	19037	0.018390353
449600	19051	0.224761584
449608	19044	0.047518109
449610	19044	0.057864272
449611	19044	0.030107307
450639	19037	0.026383141
450640	19037	0.038794199
450658	19051	0.17791651
450659	19051	0.059357155
450667	19044	0.046468799
450670	19044	0.087775789
451696	19037	0.006086195
451697	19037	0.042760388
451698	19037	0.016295458
451717	19051	0.242931373
451725	19044	0.033657157
451726	19044	0.01218984
451729	19044	0.09396607
452754	5006	1
452754	19037	0.020051999
452755	19037	0.036633915
452775	19051	0.107477539
452776	19051	0.141852445
452784	19044	0.046047441
452788	19044	0.076206325
452789	19044	0.011147086
452789	19050	1
