GRIDCODE,ID,furb,frural,FpoT, PobUrb, PobR,PobU+R, PobT
0,frac,,,,,,,
409356,19049,0,0.0001977,0.000197682,0,8,8,40469
409357,19049,0,0.000593,0.000593047,0,24,24,40469
409358,19049,0,0.0010873,0.001087252,0,44,44,40469
409359,19049,0,0.0013344,0.001334355,0,54,54,40469
409360,19049,0,0.0003459,0.000345944,0,14,14,40469
409361,19049,0,0.0030888,0.003088784,0,125,125,40469
409362,19049,0,0.0103042,0.010304183,0,417,417,40469
409363,19049,0,0.0020262,0.002026242,0,82,82,40469
409365,19049,0.0000494,0.0003954,0.000444785,2,16,18,40469
409366,19049,0,0.0087474,0.008747436,0,354,354,40469
409367,19049,0.0000494,0.0004201,0.000469495,2,17,19,40469
409368,19049,0.0034347,0.0031135,0.006548222,139,126,265,40469
409369,19004,0,0.0022091,0.002209063,0,72,72,32593
409370,19004,0,0.0135612,0.013561194,0,442,442,32593
409370,19009,0,0.0000463,4.63E-05,0,4,4,86445
409371,19004,0,0.0100021,0.010002148,0,326,326,32593
409371,19009,0,0.0011684,0.001168373,0,101,101,86445
409372,19004,0,0.0011045,0.001104532,0,36,36,32593
409373,19004,0,0.0043874,0.004387445,0,143,143,32593
409373,19038,0,0.0055825,0.005582528,0,330,330,59113
409374,19038,0,0.0004737,0.000473669,0,28,28,59113
409375,19038,0,0.0003214,0.000321418,0,19,19,59113
409376,19009,0,0.0000694,6.94E-05,0,6,6,86445
409376,19038,0,0.0002876,0.000287585,0,17,17,59113
409377,19009,0,0.0002661,0.000266065,0,23,23,86445
409377,19038,0,0.001015,0.001015005,0,60,60,59113
409379,19022,0,0.0002771,0.000277066,0,4,4,14437
409381,19022,0,0.0002771,0.000277066,0,4,4,14437
409382,19022,0,0.0155157,0.015515689,0,224,224,14437
409383,19022,0,0.0277066,0.027706587,0,400,400,14437
410393,5030,0,0.0000097,9.65E-06,0,7,7,725123
410394,5030,0,0.0000165,1.65E-05,0,12,12,725123
410395,5030,0.0022382,0.0000345,0.002272718,1623,25,1648,725123
410396,5030,0.0521291,0,0.052129087,37800,0,37800,725123
410397,5030,0.0555313,0,0.055531268,40267,0,40267,725123
410398,5030,0.0087102,0.0000028,0.008713005,6316,2,6318,725123
410399,5030,0.0025775,0.0000014,0.002578873,1869,1,1870,725123
410401,5030,0,0.0000621,6.21E-05,0,45,45,725123
410402,5004,0,0.0003105,0.000310504,0,7,7,22544
410403,5004,0,0.0010202,0.001020227,0,23,23,22544
410404,5004,0,0.0007097,0.000709723,0,16,16,22544
410405,5004,0,0.000621,0.000621008,0,14,14,22544
410406,5004,0,0.0004436,0.000443577,0,10,10,22544
410408,5004,0,0.0005323,0.000532292,0,12,12,22544
410409,5004,0,0.0111781,0.011178141,0,252,252,22544
410410,5004,0,0.0035043,0.003504258,0,79,79,22544
410412,5004,0,0.0006654,0.000665366,0,15,15,22544
410414,5004,0,0.0019961,0.001996097,0,45,45,22544
410415,19049,0,0.0013096,0.001309644,0,53,53,40469
410416,19049,0,0.0027428,0.00274284,0,111,111,40469
410417,19049,0,0.0000988,9.88E-05,0,4,4,40469
410418,19049,0,0.000173,0.000172972,0,7,7,40469
410420,19049,0,0.0000741,7.41E-05,0,3,3,40469
410422,19049,0,0.0069436,0.006943586,0,281,281,40469
410424,19049,0.0000741,0,7.41E-05,3,0,3,40469
410425,19049,0.0428476,0.0040278,0.046875386,1734,163,1897,40469
410426,19049,0.1497442,0.0006672,0.150411426,6060,27,6087,40469
410427,19049,0.0246361,0.000593,0.025229188,997,24,1021,40469
410430,19009,0,0.0096593,0.009659321,0,835,835,86445
410431,19004,0,0.0006136,0.000613629,0,20,20,32593
410431,19009,0,0.0005437,0.000543698,0,47,47,86445
410432,19004,0,0.0101556,0.010155555,0,331,331,32593
410432,19009,0,0.002545,0.002544971,0,220,220,86445
410432,19038,0,0.0151912,0.015191244,0,898,898,59113
410433,19038,0,0.0026052,0.00260518,0,154,154,59113
410434,19038,0,0.0010827,0.001082672,0,64,64,59113
410435,19009,0,0.0065128,0.006512812,0,563,563,86445
410435,19038,0,0.0001015,0.000101501,0,6,6,59113
410438,19022,0,0.0002078,0.000207799,0,3,3,14437
410439,19022,0,0.0005541,0.000554132,0,8,8,14437
410442,19022,0,0.0009005,0.000900464,0,13,13,14437
411452,5030,0,0.0001572,0.000157215,0,114,114,725123
411453,5030,0,0.0000303,3.03E-05,0,22,22,725123
411454,5030,0.0144196,0,0.014419623,10456,0,10456,725123
411455,5030,0.0976207,0,0.09762068,70787,0,70787,725123
411456,5030,0.1008326,0.0000083,0.100840823,73116,6,73122,725123
411457,5030,0.0826205,0,0.082620466,59910,0,59910,725123
411458,5030,0.0572165,0,0.0572165,41489,0,41489,725123
411459,5030,0.0056115,0,0.005611462,4069,0,4069,725123
411460,5004,0,0.0000887,8.87E-05,0,2,2,22544
411465,5004,0,0.0003105,0.000310504,0,7,7,22544
411466,5004,0,0.000621,0.000621008,0,14,14,22544
411467,5004,0,0.0009315,0.000931512,0,21,21,22544
411468,5004,0,0.0040366,0.004036551,0,91,91,22544
411469,5004,0,0.0262154,0.026215401,0,591,591,22544
411470,5004,0,0.0007097,0.000709723,0,16,16,22544
411472,5004,0,0.0004879,0.000487935,0,11,11,22544
411473,5004,0,0.0008872,0.000887154,0,20,20,22544
411474,5004,0,0.0003992,0.000399219,0,9,9,22544
411475,19049,0,0.000173,0.000172972,0,7,7,40469
411476,19049,0,0.0000988,9.88E-05,0,4,4,40469
411477,19049,0,0.0001483,0.000148262,0,6,6,40469
411479,19049,0,0.0024463,0.002446317,0,99,99,40469
411480,19049,0,0.0006919,0.000691888,0,28,28,40469
411482,19049,0,0.0000494,4.94E-05,0,2,2,40469
411483,19049,0.0161111,0,0.016111097,652,0,652,40469
411484,19049,0.1471497,0.0027923,0.149941931,5955,113,6068,40469
411485,19049,0.1906397,0,0.190639749,7715,0,7715,40469
411488,19009,0,0.0000578,5.78E-05,0,5,5,86445
411489,19009,0,0.0038059,0.003805888,0,329,329,86445
411490,19009,0,0.0067095,0.006709468,0,580,580,86445
411491,19009,0,0.0022095,0.002209497,0,191,191,86445
411491,19038,0,0.0010488,0.001048839,0,62,62,59113
411492,19038,0,0.0000338,3.38E-05,0,2,2,59113
411493,19009,0,0.001446,0.001446006,0,125,125,86445
411493,19038,0,0.0000508,5.08E-05,0,3,3,59113
411495,19009,0,0.0000578,5.78E-05,0,5,5,86445
411496,19009,0,0.0019203,0.001920296,0,166,166,86445
411501,19022,0,0.0004849,0.000484865,0,7,7,14437
412513,5030,0.0101169,0,0.010116904,7336,0,7336,725123
412514,5030,0.0774531,0,0.077453067,56163,0,56163,725123
412515,5030,0.0503377,0,0.050337667,36501,0,36501,725123
412516,5030,0.0562856,0,0.056285623,40814,0,40814,725123
412517,5030,0.0386155,0,0.038615518,28001,0,28001,725123
412518,5004,0.0011533,0.0076739,0.008827182,26,173,199,22544
412518,5030,0.0114215,0,0.011421511,8282,0,8282,725123
412519,5004,0.0019074,0.0036373,0.005544713,43,82,125,22544
412520,5004,0.0799769,0.0036373,0.083614265,1803,82,1885,22544
412521,5004,0.0507009,0.0003549,0.051055713,1143,8,1151,22544
412526,5004,0,0.0003992,0.000399219,0,9,9,22544
412527,5004,0,0.030252,0.030251952,0,682,682,22544
412528,5004,0,0.0008872,0.000887154,0,20,20,22544
412529,5004,0,0.0170777,0.017077715,0,385,385,22544
412530,5004,0,0.0007097,0.000709723,0,16,16,22544
412534,19049,0,0.0000247,2.47E-05,0,1,1,40469
412542,19049,0.0134671,0.002817,0.016284069,545,114,659,40469
412543,19049,0.1003237,0,0.100323705,4060,0,4060,40469
412544,19049,0.0005189,0.0007907,0.001309644,21,32,53,40469
412545,19049,0,0.000173,0.000172972,0,7,7,40469
412546,19009,0,0.0007057,0.000705651,0,61,61,86445
412546,19049,0,0.0006178,0.000617757,0,25,25,40469
412547,19009,0,0.0015386,0.001538551,0,133,133,86445
412548,19009,0,0.0054717,0.005471687,0,473,473,86445
412549,19009,0,0.0093238,0.009323848,0,806,806,86445
412550,19009,0,0.0002082,0.000208225,0,18,18,86445
412552,19009,0,0.0009486,0.00094858,0,82,82,86445
412556,19042,0,0.0016794,0.001679418,0,9,9,5359
412559,19022,0,0.0006234,0.000623398,0,9,9,14437
412560,19022,0,0.0006927,0.000692665,0,10,10,14437
413570,5030,0,0.0000028,2.76E-06,0,2,2,725123
413571,5030,0.0001296,0.0000662,0.000195829,94,48,142,725123
413572,5030,0.0082441,0.0000055,0.008249635,5978,4,5982,725123
413573,5030,0.0888153,0,0.088815277,64402,0,64402,725123
413574,5030,0.0306348,0,0.030634803,22214,0,22214,725123
413575,5030,0.0373054,0,0.037305395,27051,0,27051,725123
413576,5030,0.0125234,0,0.012523393,9081,0,9081,725123
413577,5004,0.0067867,0.0290543,0.035841022,153,655,808,22544
413577,5030,0.007116,0,0.007116034,5160,0,5160,725123
413578,5004,0.1627041,0.0016412,0.16434528,3668,37,3705,22544
