GRIDCODE,CID,Fracc,Fracv
409379,19022,0.004355766,0.000487815
409379,19022,0.006931562,0.000776285
409380,19022,0.000804281,9.01E-05
409380,19022,0.019316083,0.002163263
409381,19022,0.028840721,0.003229955
409381,19022,0.003859845,0.000432275
409382,19022,0.025489039,0.00285459
409383,19022,0.006121469,0.000685561
409383,19022,0.016459957,0.001843398
410393,5030,0.014113597,0.000628493
410394,5030,0.020520156,0.000913783
410395,5030,0.036780819,0.001637887
410396,5030,0.006931547,0.000308669
410402,5004,0.002619944,0.000625645
410402,5030,0.000418192,1.86E-05
410407,5004,0.000611808,0.0001461
410408,5004,0.000501499,0.000119758
410408,5004,8.96E-05,2.14E-05
410408,5004,0.002369752,0.000565899
410409,5004,0.008940033,0.002134889
410409,5004,0.012078013,0.002884241
410410,5004,0.004333091,0.001034746
410410,5004,0.004548884,0.001086278
410411,5004,0.000368187,8.79E-05
410412,5004,0.004190072,0.001000593
410414,5004,0.002415342,0.000576786
410414,19049,4.65E-06,4.53E-07
410415,5004,0.000168783,4.03E-05
410415,19049,0.063494174,0.00619342
410416,19049,0.053925847,0.005260096
410417,19049,0.03172797,0.003094845
410418,19049,0.002930191,0.00028582
410425,19049,0.023244805,0.002267371
410426,19049,0.034546615,0.003369785
410426,19049,0.001944453,0.000189668
410427,19049,0.009957161,0.000971253
410429,19009,0.006205879,0.003081838
410430,19004,0.000771902,0.000253438
410430,19004,0.001892465,0.000621352
410430,19009,0.003228,0.001603024
410430,19009,0.011099423,0.005511972
410431,19004,0.033770909,0.01108798
410431,19004,0.003834636,0.001259024
410431,19009,0.002300556,0.001142456
410431,19009,0.009801385,0.004867366
410432,19004,0.03314971,0.010884023
410432,19004,0.006681712,0.002193802
410432,19009,7.27E-05,3.61E-05
410432,19009,0.000402156,0.000199711
410432,19009,0.003844676,0.001909265
410432,19038,0.001610137,0.000366332
410432,19038,8.07E-05,1.84E-05
410432,19038,0.008302885,0.001889041
410433,19038,0.001365682,0.000310715
410433,19038,0.020085781,0.004569841
