GRIDCODE,CVENTMUN,Fpv
70680,20557,0.044730145
70680,20557,0.165179442
70680,20557,0.034064737
70694,20525,0.090947279
70699,20525,0.093186132
70700,20525,0.08006845
70706,7017,0.08075005
70715,7046,0.016591338
70716,7046,0.034010546
70719,7046,0.012616934
70720,7046,0.051182534
70721,7046,0.044401786
71588,12018,0.011047429
71588,12025,0.036675919
71589,12018,0.092201175
71589,12025,0.028678237
71596,12077,0.096023578
71597,12077,0.088661264
71603,12080,0.011917436
71603,12080,0.038925221
71603,12013,0.020686743
71603,12080,0.110748459
71604,12013,0.069255921
71604,12080,0.065350562
71605,12013,0.131978712
71606,12013,0.133165947
71607,12013,0.134959511
71608,12013,0.0485476
71608,12036,0.086707865
71608,12046,0.093882221
71620,20185,0.014609568
71620,20185,0.067890673
71621,20185,0.222060921
71622,20300,0.087513095
71622,20185,0.100429471
71665,20017,0.308919865
71665,20017,0.120361294
71666,20017,0.193880179
71666,20101,0.357374967
71671,20028,0.0453392
71671,20268,0.121188726
71671,20268,0.50476327
71695,20064,0.004770068
71696,20064,0.072834557
71696,20064,0.070938149
71696,20064,0.07472235
71697,20064,0.082201534
71697,20064,0.065130611
71698,20064,0.01611
71698,20064,0.115755624
71699,20204,0.141965792
71699,20064,0.044310688
71726,20005,0.010235296
71726,20053,0.848227365
71727,20005,0.033458816
71730,20005,0.038821664
71730,20005,0.021443566
71730,20014,0.025257094
71731,20005,0.004500572
71731,20005,1.43E-05
71734,20043,0.041266046
71739,20557,0.242199767
71751,20066,0.047830268
71752,20066,0.023146438
71752,20525,0.077304322
71753,20525,0.038624552
71753,20525,0.034778122
71753,20525,0.069154347
71754,20525,0.089707304
71755,20525,0.095234173
71756,20525,0.093269911
71757,20525,0.092191673
71758,20525,0.005531628
71765,7017,0.043284909
71765,7017,0.002043398
71766,7017,0.040192748
71767,7017,0.048346062
71767,7017,0.001003262
71768,7017,0.033203354
71774,7046,0.00748631
71775,7046,0.007872713
71775,7046,0.035587514
72625,12001,0.003514888
72626,12001,0.009772311
72627,12001,0.009833815
72646,12025,0.109149046
72646,12030,0.039809014
72647,12018,0.015521206
72647,12025,0.105623511
72647,12025,0.034989696
72647,12025,0.120772792
72656,12052,0.116934889
72656,12077,0.07486459
72657,12052,0.043509853
72662,12013,0.142196347
72667,12013,0.014880618
72667,12036,0.078405826
72667,12036,0.098017653
72667,12036,0.392301728
72668,12036,0.045923856
72668,12046,0.139777886
72681,20300,0.182316268
72681,20300,0.032976986
72682,20300,0.306032951
72683,20300,0.045410694
72725,20101,0.593072397
72725,20241,0.672577804
72725,20101,0.049552636
72726,20241,0.313986611
72729,20028,0.016784784
72730,20028,0.074887981
72730,20268,0.374048004
72755,20064,0.130398452
72786,20005,0.006286521
72786,20014,0.103904858
72787,20014,0.22987133
72787,20014,0.09705511
72787,20014,0.026798587
72788,20014,0.053379715
72788,20014,0.191138653
72789,20014,0.165716858
72793,20043,0.03818617
72794,20043,0.003405787
72794,20043,0.001203463
72794,20043,0.003928468
72798,20043,0.029348982
72798,20557,0.077984127
72808,20066,0.066658318
72809,20066,0.126056129
72810,20066,0.079356815
72812,20525,0.032780708
72827,7017,0.02055602
72828,7017,0.051904213
72829,7017,0.0166558
72833,7046,0.038018944
72833,7017,0.018264728
73683,12001,0.00911761
73684,12001,0.008377575
73686,12053,0.000771699
73686,12001,0.006376852
73687,12053,0.021314652
73704,12030,0.128390392
73705,12030,0.047646661
73706,12025,0.213849689
73716,12052,0.184578616
73716,12077,0.023195225
73721,12013,0.09978296
73722,12013,0.054158576
73727,12046,0.016284165
73728,12046,0.108166914
73729,12046,0.040801736
73729,12046,0.036586408
73729,12046,0.027613588
73729,12046,0.018029795
73730,12046,0.001484357
73730,12046,0.033829475
73742,20300,0.0247116
73742,20300,0.252330674
73743,20300,0.066655339
73785,20241,0.013435585
73785,20398,0.15811877
73785,20028,0.093977444
73789,20238,0.370477498
73789,20028,0.108128737
73813,20064,0.031560423
73814,20064,0.05595121
73814,20064,0.031949333
73814,20064,0.016763876
73843,20472,0.316810506
73844,20472,0.683189494
73844,20508,0.242640315
73845,20508,0.059232499
73845,20508,0.553038079
73845,20014,0.019325638
73846,20014,0.087552157
73852,20043,0.013001425
73853,20043,0.01492182
73853,20043,0.010377896
73853,20043,0.033540723
73854,20043,0.041664684
73855,20043,0.037827926
73856,20043,0.036491994
73857,20043,0.035113989
73857,20043,0.006992137
73858,20043,0.004489824
73858,20505,0.178934978
73859,20505,0.053282549
73859,20505,0.143094913
73859,20505,0.014218183
73860,20505,0.021528288
73861,20505,0.001872393
73862,20066,0.068917644
73862,20505,0.086070737
73863,20066,0.025980903
73863,20066,0.092261409
73864,20066,0.150311987
73865,20066,0.135267391
73866,20066,0.125212346
73867,20066,0.059000352
73888,7017,0.031442703
73889,7017,0.030978969
73889,7017,0.009486839
73892,7017,0.041178105
74739,12001,0.000708815
74740,12001,0.011134796
74741,12001,0.010160595
74742,12001,0.00141161
74746,12053,0.051642123
74746,12053,0.002217813
74746,12053,0.000505905
74747,12053,0.001443834
74756,12053,0.018667726
74757,12053,0.042225391
74758,12053,0.054044165
74759,12053,0.004048221
74761,12030,0.123992801
74762,12030,0.123903096
74762,12030,0.081228076
74763,12030,0.011786072
74763,12030,0.021609346
74763,12030,0.032276349
74765,12025,0.037736062
74766,12025,0.232415475
74767,12025,0.023824147
74775,12077,0.023848067
74776,12052,0.077354391
74776,12077,0.175821456
74781,12013,0.150387066
74786,12036,0.205069706
74786,12046,0.002589004
74787,12046,0.05773897
74788,12046,0.008806448
74789,12046,0.028266308
74789,12046,0.01819753
74789,12046,0.001149337
74790,12046,0.052516928
74791,12046,0.010127049
74802,20415,1
74802,20447,0.143589862
74802,20300,0.002052392
74844,20398,0.32645766
74844,20398,0.041786252
74848,20072,0.099054343
74848,20238,0.629522502
74863,20333,0.017237591
74863,20333,0.001989905
74864,20333,0.033424881
74871,20325,0.805153323
74871,20333,0.019916293
74872,20125,0.100744778
74872,20325,0.194846677
74872,20333,0.008879748
74872,20064,0.029521914
74904,20508,0.10394371
74904,20508,0.041145396
74911,20005,0.027792346
74912,20005,0.038510195
74912,20043,0.000402619
74915,20043,0.001272706
74916,20043,0.007349665
74916,20043,0.017110841
74916,20043,0.014788885
74916,20043,0.003556115
74917,20043,0.001351257
74918,20505,0.127289042
74919,20505,0.175209532
74920,20505,0.198499384
74948,7017,0.009376866
