GRIDCODE,CVENTMUN,POB  RURAL EN CELL,POB_TOTxMUN,Frur
34740,7051,6,25982,0.000230929
34743,7051,2,25982,7.70E-05
34741,7051,4,25982,0.000153953
34769,7070,121,11765,0.010284743
34766,7070,308,11765,0.026179346
34760,7032,16,17779,0.000899938
34741,7051,8,25982,0.000307905
34741,7051,3,25982,0.000115465
34771,7053,7,6213,0.00112667
34741,7051,4,25982,0.000153953
34745,7051,3,25982,0.000115465
34741,7051,6,25982,0.000230929
34754,7001,1,9299,0.000107538
34740,7051,3,25982,0.000115465
34741,7051,17,25982,0.000654299
34738,7051,4,25982,0.000153953
34741,7051,5,25982,0.000192441
34767,7070,113,11765,0.00960476
34772,7006,126,25721,0.004898721
34738,7051,25,25982,0.000962205
34768,7070,236,11765,0.020059499
34743,7051,6,25982,0.000230929
34766,7070,51,11765,0.004334892
34744,7051,4,25982,0.000153953
34766,7070,191,11765,0.016234594
34766,7070,120,11765,0.010199745
34742,7051,2,25982,7.70E-05
34741,7051,521,25982,0.020052344
34745,7051,10,25982,0.000384882
34767,7070,104,11765,0.008839779
34746,7051,5,25982,0.000192441
34745,7051,1,25982,3.85E-05
34741,7051,2,25982,7.70E-05
34751,7001,52,9299,0.005591999
34743,7051,2,25982,7.70E-05
34741,7051,4,25982,0.000153953
34768,7070,127,11765,0.01079473
34769,7070,321,11765,0.027284318
34765,7057,10,45364,0.000220439
34741,7051,4,25982,0.000153953
34747,7051,250,25982,0.009622046
34743,7051,1,25982,3.85E-05
34741,7051,9,25982,0.000346394
34772,7053,356,6213,0.057299211
34741,7051,34,25982,0.001308598
34745,7051,1,25982,3.85E-05
34741,7051,4,25982,0.000153953
34743,7051,2,25982,7.70E-05
34743,7051,5,25982,0.000192441
34772,7053,362,6213,0.058264928
34768,7070,126,11765,0.010709732
34745,7051,4,25982,0.000153953
34772,7006,338,25721,0.013141013
34745,7051,3,25982,0.000115465
34759,7032,112,17779,0.006299567
34743,7051,7,25982,0.000269417
34745,7051,6,25982,0.000230929
34769,7070,146,11765,0.01240969
34766,7070,706,11765,0.0600085
34741,7051,3,25982,0.000115465
34745,7051,4,25982,0.000153953
34759,7032,138,17779,0.007761966
34770,7053,137,6213,0.022050539
34768,7070,38,11765,0.003229919
34746,7051,1,25982,3.85E-05
34745,7051,373,25982,0.014356093
34769,7070,45,11765,0.003824904
34767,7070,389,11765,0.033064173
34741,7051,4,25982,0.000153953
34742,7051,8,25982,0.000307905
34744,7051,1,25982,3.85E-05
34741,7051,5,25982,0.000192441
34746,7051,3,25982,0.000115465
35818,7032,33,17779,0.001856122
35804,7051,935,25982,0.035986452
35804,7051,89,25982,0.003425448
35802,7051,2,25982,7.70E-05
35805,7051,6,25982,0.000230929
35805,7051,52,25982,0.002001386
35807,7051,202,25982,0.007774613
35800,7051,6,25982,0.000230929
35799,7051,284,25982,0.010930644
35804,7051,1,25982,3.85E-05
35804,7051,6,25982,0.000230929
35803,7051,4,25982,0.000153953
35818,7032,48,17779,0.002699814
35816,7032,103,17779,0.005793352
35800,7051,5,25982,0.000192441
35801,7051,5,25982,0.000192441
35803,7051,6,25982,0.000230929
35805,7051,6,25982,0.000230929
35817,7032,124,17779,0.006974521
35810,7001,36,9299,0.003871384
35829,7053,318,6213,0.051183003
35807,7051,5,25982,0.000192441
35832,7006,126,25721,0.004898721
35814,7001,127,9299,0.013657383
35802,7051,2,25982,7.70E-05
35825,7070,68,11765,0.005779856
35807,7051,566,25982,0.021784312
35827,7070,466,11765,0.03960901
35811,7001,6,9299,0.000645231
35826,7070,7,11765,0.000594985
35825,7070,121,11765,0.010284743
35802,7051,1,25982,3.85E-05
35792,7069,74,33162,0.00223147
35828,7070,419,11765,0.03561411
35824,7080,74,34743,0.002129925
35813,7001,8,9299,0.000860308
35803,7051,5,25982,0.000192441
35804,7051,2,25982,7.70E-05
35830,7053,221,6213,0.035570578
35811,7001,39,9299,0.004193999
35828,7070,178,11765,0.015129622
35803,7051,2,25982,7.70E-05
35800,7051,4,25982,0.000153953
35812,7001,40,9299,0.004301538
35826,7070,68,11765,0.005779856
35804,7051,9,25982,0.000346394
35793,7069,1135,33162,0.034225921
35805,7051,1,25982,3.85E-05
35803,7051,80,25982,0.003079055
35805,7051,2,25982,7.70E-05
35803,7051,27,25982,0.001039181
35804,7051,5,25982,0.000192441
35800,7069,7,33162,0.000211085
35830,7053,289,6213,0.046515371
35813,7001,58,9299,0.00623723
35803,7051,7,25982,0.000269417
35829,7070,167,11765,0.014194645
35805,7051,6,25982,0.000230929
35831,7006,83,25721,0.003226935
35827,7070,317,11765,0.026944326
35828,7070,585,11765,0.049723757
35803,7051,9,25982,0.000346394
35802,7051,15,25982,0.000577323
35803,7051,1,25982,3.85E-05
35802,7051,11,25982,0.00042337
35674,20324,1059,27530,0.038467127
35805,7051,7,25982,0.000269417
35826,7070,69,11765,0.005864853
35803,7051,5,25982,0.000192441
35826,7070,237,11765,0.020144496
35826,7070,128,11765,0.010879728
35673,20439,291,22468,0.012951754
35831,7010,170,7308,0.023262178
35796,7069,4,33162,0.00012062
35803,7051,8,25982,0.000307905
35830,7053,113,6213,0.018187671
35825,7070,377,11765,0.032044199
35673,20439,873,22468,0.038855261
35832,7006,155,25721,0.006026204
35800,7069,7,33162,0.000211085
35825,7080,256,34743,0.007368391
35805,7051,2,25982,7.70E-05
35805,7051,12,25982,0.000461858
35674,20439,258,22468,0.011482998
35828,7070,641,11765,0.054483638
35675,20324,323,27530,0.011732655
35825,7070,503,11765,0.042753931
