GRIDCODE,CVENTMUN,Fb
38979,7051,0.008125753
38980,7051,0.008125753
38981,7051,0.007738582
38982,7051,0.007248022
38983,7051,0.007478941
38984,7051,0.003434523
38985,7051,0.006696937
38986,7051,0.008125753
38987,7051,0.008125753
38988,7051,0.006375832
38988,7080,0.002483725
38989,7080,0.011533164
38990,7080,0.011533164
38991,7080,0.011533164
38992,7080,0.011533164
38993,7080,0.011533164
38994,7080,0.011533164
38995,7080,0.008479264
38996,7080,0.009615905
38997,7080,0.011533164
38998,7080,0.00977036
38999,7080,0.011533164
39000,7080,0.011517332
39001,7080,0.011383838
39002,7080,0.003694038
39003,7080,0.007662308
39004,7036,0.006176665
39004,7080,0.007085938
39005,7036,0.167295997
39005,7080,0.000104203
39006,7010,0.055327631
39006,7036,0.12968095
39007,7010,0.128064064
39008,7006,0.003295532
39008,7010,0.102052299
39009,7006,0.021678151
39009,7010,0.042521144
39010,7006,0.040057099
39011,7006,0.007883076
39894,20401,0.005010379
39895,20401,0.004465227
39896,20401,0.014206263
39897,20401,0.014189642
39898,20401,0.003712737
39898,20439,0.007194378
39899,20439,0.007899114
39900,20439,0.014128559
39901,20439,0.017245065
39902,20439,0.023657348
39903,20439,0.026792388
39904,20439,0.022146601
39905,20439,0.02007433
39906,20439,0.025911701
39907,20439,0.024167234
39908,20439,0.026513601
39909,20439,0.025267538
39910,20324,0.008804351
39910,20439,0.008617398
39911,20324,0.016094331
39912,20324,0.021230153
39913,20324,0.025788815
39914,20324,0.019889289
39915,20324,0.025763598
39916,20324,0.022503933
39916,20413,0.002668981
39917,20413,0.0188649
39918,20413,0.018675336
39919,20413,0.020111321
39920,20413,0.019496366
39921,20413,0.02072707
39922,20413,0.02072707
39923,20413,0.018977396
39924,20413,0.00304903
39925,20413,0.000124412
40022,7069,4.94E-05
40023,7069,0.001813648
40024,7069,0.004327694
40025,7069,0.004950412
40026,7069,0.005255637
40027,7069,0.005098473
40028,7069,0.004833994
40029,7069,0.005302136
40030,7069,0.005302136
40031,7069,0.00511107
40032,7069,0.005302136
40033,7069,0.005302136
40034,7069,0.005302136
40035,7069,0.005302136
40036,7069,0.005302136
40037,7051,0.002437966
40037,7069,0.003711338
40038,7051,0.006780632
40038,7069,0.000877705
40039,7051,0.005955628
40039,7069,0.001416028
40040,7051,0.007899938
40041,7051,0.007908087
40042,7051,0.008125753
40043,7051,0.008125753
40044,7051,0.008125753
40045,7051,0.008125753
40046,7051,0.008125753
40047,7051,0.007838485
40047,7080,0.00040773
40048,7051,0.000148981
40048,7080,0.011321711
40049,7080,0.011533164
40050,7080,0.011533164
40051,7080,0.011533164
40052,7080,0.011533164
40053,7080,0.011533164
40054,7080,0.011354366
40055,7080,0.011442455
40056,7080,0.011533164
40057,7080,0.011500088
40058,7080,0.011200339
40059,7080,0.006726611
40060,7080,0.002227389
40061,7011,0.002452383
40061,7080,0.008777816
40062,7011,0.027813622
40062,7080,0.001600556
40063,7011,0.007127163
40063,7036,0.008861863
40063,7080,0.000863432
40064,7011,0.004297178
40064,7036,0.137754135
40065,7006,0.001938047
40065,7010,0.025433205
40065,7011,0.01448805
40065,7036,0.114680587
40066,7006,0.025840417
40066,7010,0.045675743
40067,7006,0.045387534
40067,7010,0.002576052
40068,7006,0.039869354
40068,7010,0.007496639
40069,7006,0.046995486
40070,7006,0.033392329
40951,20401,0.004290885
40952,20401,0.006836406
40953,20401,0.009795147
40954,20401,0.0167505
40955,20401,0.01229659
40956,20401,0.024631794
40957,20401,0.010322022
40957,20439,0.002297532
