GRIDCODE,CVENTMUN,Ft
59111,7020,0.004966096
59112,7020,0.079552757
59129,7099,0.031994248
59130,7099,0.031468006
59130,7099,0.006392758
59131,7099,0.023494295
59131,7099,0.026711479
59131,7099,0.009073258
59132,7099,0.021410003
59132,7099,0.010801559
59133,7099,0.03685336
59134,7099,0.006504912
59136,7099,0.004933185
59137,7099,0.008312992
59138,7099,0.030271578
59139,7099,0.024550929
59961,20485,0.295318168
59964,20507,0.464824918
59965,20507,0.466468586
59966,20482,0.143551973
59966,20507,0.068706496
59967,20482,0.01470096
59980,20090,0.188899738
59980,20090,0.119525397
59980,20414,0.013200972
59982,20367,0.194605864
59983,20367,0.253932796
59983,20367,0.008254084
59984,20467,0.053267809
59985,20489,0.29656525
59985,20467,0.015604799
59985,20489,0.169174602
59985,20489,0.158778638
59986,20489,0.193339891
59986,20489,0.067309688
59993,20543,0.048089104
60001,20213,0.223108434
60024,20059,0.0399861
60024,20362,0.138179098
60025,20059,0.009527515
60025,20362,0.270819201
60027,20533,0.025287375
60029,20059,0.051153782
60030,20059,0.018117258
60035,20126,0.138123218
60036,20126,0.080013876
60037,20209,0.331858755
60038,20209,0.222899883
60038,20319,1
60038,20209,0.054768183
60038,20209,0.124422728
60047,20428,0.746578463
60048,20410,0.001679257
60048,20410,0.040161453
60048,20428,0.098633398
60048,20410,0.000786773
60049,20410,0.081957714
60050,20410,0.039347752
60050,20410,0.076293618
60051,20410,0.082914847
60057,20052,0.109788344
60057,20008,0.059781824
60058,20052,0.037988369
60079,20248,0.030177391
60079,20308,0.885470336
60080,20248,0.148474913
60081,20248,0.132640957
60082,20248,0.132357938
60083,20248,0.134638523
60084,20248,0.137043067
60085,20248,0.051395637
60085,20248,0.082050512
60086,20248,0.134924915
60087,20043,0.070326446
60087,20248,0.001513375
60088,20043,0.070255194
60089,20043,0.0703252
60090,20043,0.070130279
60131,7097,0.003446259
60132,7097,0.082655393
60133,7097,0.055300628
60136,7107,0.039033012
60144,7107,0.000250994
60150,7107,0.056243336
60158,7107,0.021477856
60162,7020,0.00785037
60170,7020,0.076863301
60171,7020,0.010910776
60186,7099,0.01100432
60186,7019,0.050656446
60187,7099,0.037850462
60188,7099,0.001761949
60193,7099,0.029589349
60194,7099,0.033656178
60195,7099,0.042306502
60196,7099,0.028266241
60197,7099,0.00618993
61020,20485,0.626596692
61034,20482,0.41436112
61039,20090,0.09688128
61040,20090,0.355340162
61042,20082,0.02147149
61042,20367,0.379149677
61044,20489,0.073051312
61044,20467,0.024576049
61045,20467,0.034390126
61069,20314,0.581072774
61069,20159,0.016127429
61070,20159,0.026839874
61080,20059,0.080468598
61080,20353,0.071875261
61081,20353,0.149192094
61083,20384,0.037015468
61084,20362,0.116632606
61084,20362,0.107370979
61084,20384,0.034125043
61085,20059,0.016237475
61085,20362,0.358832583
61086,20059,0.005415731
61087,20059,0.069669847
61088,20059,0.023085141
61089,20059,0.017087184
61089,20167,1
61093,20126,0.146445832
61094,20126,0.105771424
61095,20126,0.114734404
61096,20209,0.266050451
